OTUID	T00C01	T00C02	T00C03	T00C04	T00C05	T00C06	T00C07	T00C08	T00C09	T00C10	T00C11	T00C12	T00C13	T00C14	T00C15	T00C16	T00C17	T00C18	T00C19	T00C20	T05M01	T05M02	T05M03	T05M04	T05M05	T05M06	T05M07	T05M08	T05M09	T05M10	T05M11	T05M12	T05M13	T05M14	T05M15	T05M16	T05M17	T05M18	T05M19	T05M20	T12M01	T12M02	T12M03	T12M04	T12M05	T12M06	T12M07	T12M08	T12M09	T12M10	T12M11	T12M12	T12M13	T12M14	T12M15	T12M16	T12M17	T12M18	T12M19	T12M20	T21M01	T21M02	T21M03	T21M04	T21M05	T21M06	T21M07	T21M08	T21M09	T21M10	T21M11	T21M12	T21M13	T21M14	T21M15	T21M16	T21M17	T21M18	T21M19	T21M20	T30M01	T30M02	T30M03	T30M04	T30M05	T30M06	T30M07	T30M08	T30M09	T30M10	T30M11	T30M12	T30M13	T30M14	T30M15	T30M16	T30M17	T30M18	T30M19	T30M20
OTU2250	0	1	1	1	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2251	6	8	1	3	1	5	5	14	32	9	14	4	24	4	0	3	3	2	1	1	6	0	1	2	6	0	1	2	3	0	2	6	4	5	0	1	0	0	0	2	0	1	0	2	0	0	2	1	3	2	0	1	0	0	1	0	1	0	2	2	0	0	1	1	2	0	0	0	0	0	3	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	13	0	0	2	0	1	1	0	0	1	0
OTU2252	2	4	5	1	6	2	2	2	2	1	6	2	1	2	6	3	2	1	13	7	0	3	0	2	1	3	0	0	1	0	1	1	0	1	0	1	3	0	1	0	4	1	1	0	1	2	1	1	0	5	0	0	1	3	2	2	3	2	4	2	0	0	3	0	0	0	1	6	3	1	5	2	3	5	2	3	0	2	2	1	1	0	6	0	1	2	3	0	2	3	1	2	0	0	1	1	3	0	5	4
OTU2254	2	1	0	1	1	0	2	0	1	0	0	3	1	0	2	1	0	0	4	3	0	1	1	2	0	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	2	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	3	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0
OTU2255	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2256	1	0	1	1	0	4	2	0	0	3	3	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2262	4	14	12	2	6	9	6	5	9	15	14	16	2	15	10	7	5	5	9	6	0	1	2	1	1	2	0	0	2	1	0	5	0	2	0	1	0	1	0	4	1	3	1	0	0	0	0	0	1	0	0	0	3	0	1	0	1	1	5	0	1	0	1	0	3	1	0	1	0	1	1	0	0	1	2	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2264	1	1	0	1	0	1	3	0	2	2	3	1	0	0	0	1	2	1	2	1	1	2	0	0	0	0	1	1	5	0	1	2	0	0	0	1	0	0	0	1	2	0	3	0	0	2	0	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	3	1	2	2	3	0	0	0	3	0	0	2	0	0	1	0	0	0	2	1	1	3	3	4	1	1	0	2	1	2	2	0	3	4
OTU2265	1	0	1	0	3	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2268	0	2	0	0	0	0	1	1	0	0	3	2	1	1	5	1	1	4	4	0	0	1	0	1	0	4	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	1	1	0	0	0	0	0	0	1	1	1	2	0	0	0	0	1	0	0	2	2	1	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0
OTU2270	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2271	0	2	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	2	0	2	3	0	0	0	0	4	0	0	0	1	1	1	2	2	0	1	0	0	0	1	0	1	0	1	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2
OTU2273	7	1	0	1	2	7	1	4	4	9	2	2	0	3	4	2	1	2	2	1	0	0	1	2	1	3	3	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	2	6	3	2	1	2	1	0	1	0	3	2	1	2	2	2	7	2	0	1	1	0	0	1	0	4	0	2	1	0	3	2	1	2	0	1	2	0	3	1	1	0	3	1
OTU2274	148	169	131	254	127	230	108	212	243	132	177	67	289	236	17	84	213	94	41	102	135	154	77	69	71	47	151	70	48	46	72	105	158	116	105	74	76	50	74	41	19	8	16	2	22	8	14	14	65	48	15	74	10	15	28	15	46	24	32	10	39	24	13	21	14	9	12	17	13	10	2	25	10	27	17	16	15	17	17	8	1	7	8	41	23	24	4	18	6	10	25	7	15	12	9	24	8	15	9	3
OTU2275	1	3	1	0	3	0	3	3	0	0	1	0	0	0	1	3	0	2	1	3	1	0	0	0	0	1	0	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2276	1	7	1	4	19	8	8	1	7	14	9	21	3	2	10	8	2	2	18	8	2	0	4	3	3	5	0	0	5	4	1	2	3	2	1	3	1	1	1	2	4	4	1	0	2	2	2	1	0	0	2	0	0	4	1	2	4	1	1	1	2	2	0	0	0	1	2	2	1	3	1	1	1	3	8	1	0	0	1	2	0	1	2	0	0	3	2	2	2	5	3	1	1	0	2	1	0	1	0	1
