Compares	diff	lwr	upr	p.adj
T05C-T00C	-923.530399999996	-1103.52442046055	-743.536379539437	0
T05M-T00C	-847.371450000001	-1027.36547046056	-667.377429539443	0
T12C-T00C	-776.0989	-956.092920460558	-596.104879539441	0
T12M-T00C	-755.88365	-935.877670460559	-575.889629539442	0
T21C-T00C	-960.738749999999	-1140.73277046056	-780.74472953944	0
T21M-T00C	-623.973349999999	-803.967370460558	-443.979329539441	4.07451850037432e-14
T30C-T00C	-872.8412	-1052.83522046056	-692.847179539442	0
T30M-T00C	-720.689299999999	-900.683320460558	-540.695279539441	0
T05M-T05C	76.1589499999948	-103.835070460564	256.152970460553	0.921162794468627
T12C-T05C	147.431499999997	-32.562520460562	327.425520460555	0.205674851097129
T12M-T05C	167.646749999996	-12.347270460563	347.640770460554	0.0896720615360097
T21C-T05C	-37.2083500000026	-217.202370460561	142.785670460556	0.999266265425108
T21M-T05C	299.557049999997	119.563029539438	479.551070460555	1.72542815128907e-05
T30C-T05C	50.6891999999957	-129.304820460563	230.683220460554	0.993511139021115
T30M-T05C	202.841099999997	22.8470795394384	382.835120460555	0.0147665740028841
T12C-T05M	71.2725500000017	-108.721470460557	251.26657046056	0.945338517783241
T12M-T05M	91.4878000000008	-88.5062204605578	271.481820460559	0.8053014794155
T21C-T05M	-113.367299999997	-293.361320460556	66.6267204605612	0.560148165445563
T21M-T05M	223.398100000002	43.4040795394434	403.39212046056	0.0042896605860725
T30C-T05M	-25.4697499999991	-205.463770460558	154.524270460559	0.999957374761714
T30M-T05M	126.682150000002	-53.3118704605564	306.676170460561	0.403129799877652
T12M-T12C	20.2152499999991	-159.778770460559	200.209270460558	0.999992860670469
T21C-T12C	-184.639849999999	-364.633870460558	-4.64582953944057	0.0395725213154841
T21M-T12C	152.12555	-27.8684704605583	332.119570460559	0.172128622417516
T30C-T12C	-96.7423000000008	-276.736320460559	83.2517204605577	0.75264551929205
T30M-T12C	55.4096000000004	-124.584420460558	235.403620460559	0.988286475061485
T21C-T12M	-204.855099999998	-384.849120460557	-24.8610795394396	0.0131549845796013
T21M-T12M	131.910300000001	-48.0837204605574	311.90432046056	0.346454362824165
T30C-T12M	-116.95755	-296.951570460558	63.0364704605587	0.516783589940624
T30M-T12M	35.1943500000014	-144.799670460557	215.18837046056	0.999512302936362
T21M-T21C	336.765399999999	156.771379539441	516.759420460558	7.53409316489595e-07
T30C-T21C	87.8975499999983	-92.0964704605602	267.891570460557	0.83777753490645
T30M-T21C	240.04945	60.055429539441	420.043470460558	0.00144548096985841
T30C-T21M	-248.867850000001	-428.86187046056	-68.8738295394425	0.000789310283670241
T30M-T21M	-96.7159499999998	-276.709970460558	83.2780704605588	0.752923218545164
T30M-T30C	152.151900000001	-27.8421204605573	332.14592046056	0.171952227032423
