Compares	diff	lwr	upr	p.adj
T05C-T00C	-16.0236	-27.1927756556878	-4.8544243443121	0.000406869328237192
T05M-T00C	-26.3334000000001	-37.5025756556879	-15.1642243443122	2.02231897894478e-10
T12C-T00C	-0.678200000000018	-11.8473756556879	10.4909756556879	0.99999994384088
T12M-T00C	-27.1228000000001	-38.2919756556879	-15.9536243443122	5.65213431613643e-11
T21C-T00C	-4.63410000000002	-15.8032756556879	6.53507565568786	0.929116492517241
T21M-T00C	-23.2604	-34.4295756556879	-12.0912243443121	2.40858505362596e-08
T30C-T00C	-8.10270000000002	-19.2718756556879	3.06647565568786	0.360527739603232
T30M-T00C	-24.98935	-36.1585256556879	-13.8201743443121	1.69963121354755e-09
T05M-T05C	-10.3098000000001	-21.478975655688	0.859375655687778	0.0959050734774911
T12C-T05C	15.3454	4.17622434431209	26.5145756556878	0.000880502943041761
T12M-T05C	-11.0992000000001	-22.2683756556879	0.0699756556877968	0.0528605065181789
T21C-T05C	11.3895	0.220324344312086	22.5586756556878	0.0418439514201027
T21M-T05C	-7.23680000000002	-18.4059756556879	3.93237565568786	0.520812949166442
T30C-T05C	7.92089999999996	-3.24827565568791	19.0900756556878	0.392379082101236
T30M-T05C	-8.96575000000004	-20.1349256556879	2.20342565568784	0.228908180816176
T12C-T05M	25.6552000000001	14.4860243443122	36.8243756556879	5.96168225897031e-10
T12M-T05M	-0.789399999999981	-11.9585756556879	10.3797756556879	0.999999812859683
T21C-T05M	21.6993000000001	10.5301243443122	32.8684756556879	2.40158430475645e-07
T21M-T05M	3.07300000000008	-8.09617565568779	14.242175655688	0.994457937701397
T30C-T05M	18.2307000000001	7.06152434431218	29.3998756556879	2.73898837542808e-05
T30M-T05M	1.34405000000006	-9.82512565568781	12.5132256556879	0.999987790790122
T12M-T12C	-26.4446	-37.6137756556879	-15.2754243443122	1.69161684659969e-10
T21C-T12C	-3.9559	-15.1250756556879	7.21327565568787	0.971628619417883
T21M-T12C	-22.5822	-33.7513756556879	-11.4130243443121	6.61733088325178e-08
T30C-T12C	-7.4245	-18.5936756556879	3.74467565568787	0.484593265017628
T30M-T12C	-24.31115	-35.4803256556879	-13.1419743443121	4.86791928988595e-09
T21C-T12M	22.4887	11.3195243443122	33.6578756556879	7.5962453993661e-08
T21M-T12M	3.86240000000006	-7.30677565568781	15.0315756556879	0.975494855416476
T30C-T12M	19.0201	7.85092434431216	30.1892756556879	9.79472738138476e-06
T30M-T12M	2.13345000000004	-9.03572565568783	13.3026256556879	0.999589676308646
T21M-T21C	-18.6263	-29.7954756556878	-7.4571243443121	1.64241414557509e-05
T30C-T21C	-3.4686	-14.6377756556879	7.70057565568787	0.98759926211901
T30M-T21C	-20.35525	-31.5244256556879	-9.18607434431212	1.60640694202296e-06
T30C-T21M	15.1577	3.9885243443121	26.3268756556879	0.00108467329378781
T30M-T21M	-1.72895000000002	-12.8981256556879	9.44022565568785	0.999915381721671
T30M-T30C	-16.88665	-28.0558256556879	-5.71747434431212	0.000146344147500921
