Compares	diff	lwr	upr	p.adj
T05C-T00C	-195.925749999999	-239.943246727141	-151.908253272857	0
T05M-T00C	-188.27295	-232.290446727142	-144.255453272859	0
T12C-T00C	-154.3774	-198.394896727142	-110.359903272858	3.33066907387547e-14
T12M-T00C	-168.6593	-212.676796727142	-124.641803272858	0
T21C-T00C	-183.0648	-227.082296727142	-139.047303272858	0
T21M-T00C	-132.5224	-176.539896727142	-88.5049032728582	7.09432512735475e-14
T30C-T00C	-172.321	-216.338496727142	-128.303503272858	0
T30M-T00C	-159.24315	-203.260646727142	-115.225653272858	1.53210777398272e-14
T05M-T05C	7.65279999999885	-36.3646967271429	51.6702967271406	0.999796529898784
T12C-T05C	41.5483499999992	-2.46914672714257	85.5658467271409	0.0809523991693625
T12M-T05C	27.266449999999	-16.7510467271428	71.2839467271407	0.582776950873111
T21C-T05C	12.8609499999993	-31.1565467271424	56.878446727141	0.991695742433069
T21M-T05C	63.4033499999992	19.3858532728575	107.420846727141	0.000377457702459449
T30C-T05C	23.6047499999991	-20.4127467271426	67.6222467271409	0.754949706148659
T30M-T05C	36.6825999999992	-7.33489672714256	80.7000967271409	0.186789881342343
T12C-T05M	33.8955500000003	-10.1219467271414	77.9130467271421	0.280286038456735
T12M-T05M	19.6136500000001	-24.4038467271416	63.6311467271419	0.896510638351321
T21C-T05M	5.20815000000044	-38.8093467271413	49.2256467271422	0.999989291266991
T21M-T05M	55.7505500000004	11.7330532728586	99.7680467271421	0.00320520645034283
T30C-T05M	15.9519500000003	-28.0655467271415	59.969446727142	0.967408713725557
T30M-T05M	29.0298000000003	-14.9876967271414	73.0472967271421	0.495803187803668
T12M-T12C	-14.2819000000002	-58.2993967271419	29.7355967271415	0.983563703205266
T21C-T12C	-28.6873999999999	-72.7048967271416	15.3300967271419	0.512581759834573
T21M-T12C	21.855	-22.1624967271417	65.8724967271418	0.824843132143873
T30C-T12C	-17.9436000000001	-61.9610967271418	26.0738967271417	0.935673756912034
T30M-T12C	-4.86574999999999	-48.8832467271417	39.1517467271417	0.999993691692277
T21C-T12M	-14.4054999999997	-58.4229967271414	29.6119967271421	0.982638767363258
T21M-T12M	36.1369000000003	-7.88059672714149	80.154396727142	0.203120238943787
T30C-T12M	-3.66169999999985	-47.6791967271416	40.3557967271419	0.999999321715444
T30M-T12M	9.41615000000021	-34.6013467271415	53.433646727142	0.999058619861984
T21M-T21C	50.5423999999999	6.52490327285819	94.5598967271417	0.0118376829777964
T30C-T21C	10.7437999999998	-33.2736967271419	54.7612967271416	0.99758150178843
T30M-T21C	23.8216499999999	-20.1958467271418	67.8391467271416	0.745564367419756
T30C-T21M	-39.7986000000001	-83.8160967271419	4.21889672714163	0.111321823620918
T30M-T21M	-26.72075	-70.7382467271418	17.2967467271417	0.60966587535009
T30M-T30C	13.0778500000001	-30.9396467271417	57.0953467271418	0.990721438294901
