NMDS1	NMDS2	dclass	TaxLevel
-0.342409961063891	-0.211655253088348	T00C	Family
-0.347018073902553	-0.185748551741011	T00C	Family
-0.371305577802344	-0.174763004560101	T00C	Family
-0.298736037363941	-0.165982272622009	T00C	Family
-0.304878879963204	-0.223785602539822	T00C	Family
-0.3339866809748	-0.190075651197719	T00C	Family
-0.331013368214416	-0.222196273738384	T00C	Family
-0.281016645986283	-0.20761810975004	T00C	Family
-0.300501510897665	-0.237350050672543	T00C	Family
-0.332640211722814	-0.16923865754662	T00C	Family
-0.332534463926934	-0.17805852536677	T00C	Family
-0.351983958580494	-0.244321843711036	T00C	Family
-0.137263715738435	-0.25001431472914	T00C	Family
-0.268939118245937	-0.191496036747463	T00C	Family
-0.351854443875652	-0.28813495605279	T00C	Family
-0.313700429387862	-0.215830947833946	T00C	Family
-0.187638825231721	-0.259329686974657	T00C	Family
-0.29601697996367	-0.228824458806672	T00C	Family
-0.319877919325234	-0.298389500162224	T00C	Family
-0.303248715279268	-0.184027935512413	T00C	Family
0.274440722884785	0.347493377758367	T05C	Family
0.0646846607453049	0.184851126726432	T05C	Family
0.0413881895197721	0.0415760859619707	T05C	Family
0.170951445420046	0.48727200752508	T05C	Family
0.0937202497222495	0.103012901500876	T05C	Family
0.0908599768391068	0.24492693145407	T05C	Family
0.0524735248587239	0.102193621067999	T05C	Family
0.187614028083289	0.295185051122578	T05C	Family
0.0245688641524125	0.0175800683137103	T05C	Family
0.00809794973689565	-0.00439890999837818	T05C	Family
0.101307548188395	0.147251644928489	T05C	Family
0.0298002778052995	0.110337695027342	T05C	Family
0.0653681983711918	0.108308793058216	T05C	Family
0.0892737628231025	0.0820764940516452	T05C	Family
0.115960585967367	0.195893846909569	T05C	Family
0.0420817646684231	0.176201673920612	T05C	Family
-0.0056744492808553	0.172222527302573	T05C	Family
0.21048318864593	0.360972950398809	T05C	Family
0.0660256788247112	0.123596196407496	T05C	Family
0.178252657744556	0.305879415856681	T05C	Family
-0.125660918387908	0.024381472966668	T05M	Family
-0.193745149976411	0.202299689920456	T05M	Family
-0.118686085917465	0.0545752912059572	T05M	Family
-0.150137508232167	0.0568640207082867	T05M	Family
