OTUID	T05M01	T05M02	T05M03	T05M04	T05M05	T05M06	T05M07	T05M08	T05M09	T05M10	T05M11	T05M12	T05M13	T05M14	T05M15	T05M16	T05M17	T05M18	T05M19	T05M20	T12M01	T12M02	T12M03	T12M04	T12M05	T12M06	T12M07	T12M08	T12M09	T12M10	T12M11	T12M12	T12M13	T12M14	T12M15	T12M16	T12M17	T12M18	T12M19	T12M20	T21M01	T21M02	T21M03	T21M04	T21M05	T21M06	T21M07	T21M08	T21M09	T21M10	T21M11	T21M12	T21M13	T21M14	T21M15	T21M16	T21M17	T21M18	T21M19	T21M20	T30M01	T30M02	T30M03	T30M04	T30M05	T30M06	T30M07	T30M08	T30M09	T30M10	T30M11	T30M12	T30M13	T30M14	T30M15	T30M16	T30M17	T30M18	T30M19	T30M20
OTU100	0	0	1	0	1	3	1	0	1	1	2	2	2	1	0	1	2	0	1	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	3	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0
OTU1003	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	6	0	4	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	6	0	2	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU1006	0	0	0	0	2	3	1	0	2	0	0	2	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	2	0	0	1	0	1	0	2	3	1	0	2	0	0	0	1	0	0	1	1	0	0	3	0	0	0	1	0	1	1	1	0	0	4	0	2	0	0	1	2	1	1	0	0	1	1	3	1	0	0	0
OTU101	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
OTU1011	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	1	0	1	0	1	2
OTU1012	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
OTU1013	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU1025	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	0	0
OTU1028	0	3	3	1	9	5	3	5	5	12	3	3	2	0	2	1	3	3	3	3	2	3	2	0	0	3	1	4	1	4	2	1	7	9	2	7	3	6	9	8	4	2	2	0	5	6	3	7	2	9	8	11	7	2	6	5	6	8	3	5	2	3	6	3	6	3	1	4	9	4	4	6	1	3	6	3	1	0	13	7
OTU103	4	5	2	13	10	13	4	12	7	4	3	11	3	3	2	4	4	6	4	4	15	4	5	0	6	5	1	7	14	6	3	6	10	6	6	9	4	3	11	4	4	4	11	2	8	3	8	13	6	2	15	7	5	13	14	11	3	5	9	7	3	4	7	2	4	13	3	2	3	2	22	2	2	3	0	4	4	8	3	10
OTU1030	1	0	1	2	2	1	0	2	2	0	0	2	0	0	3	1	0	3	0	3	1	4	2	0	0	1	1	2	0	2	0	0	0	0	1	3	2	2	3	5	0	2	3	0	1	0	0	0	2	3	4	1	6	3	2	0	2	0	3	2	2	0	5	1	2	3	3	0	0	3	1	0	0	0	1	2	1	0	2	0
OTU1036	2	0	0	5	4	4	0	2	3	2	3	4	4	0	1	1	4	1	0	4	3	5	1	0	3	5	2	0	3	6	1	5	5	1	3	2	7	4	10	4	5	4	1	0	4	2	5	3	7	6	4	2	3	4	9	3	3	8	2	1	5	5	0	0	2	3	2	2	4	2	4	3	4	1	1	5	2	0	5	4
OTU1039	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
OTU104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
OTU1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU1051	0	2	1	1	1	2	0	1	0	0	1	0	0	0	0	0	0	1	0	1	2	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	1	1	0	3	0	1	0	0	0	1	0	4	0	0	0	1	0	0	0	0	1	2	1	0	1	0	2	0	0
OTU1052	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	4	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	2	0
OTU1054	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
OTU1068	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU107	0	0	1	1	0	0	0	0	4	0	1	0	2	0	0	1	1	1	3	0	5	1	1	0	0	1	1	0	4	0	0	2	0	1	1	1	2	0	1	0	3	0	0	0	3	1	1	1	1	2	2	0	1	2	0	1	1	2	1	2	2	0	2	0	0	1	1	0	1	0	4	0	1	1	0	6	0	1	0	2
OTU1072	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1
OTU1074	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1
OTU1077	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	1	1	0
OTU108	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	2	1	1	0	1	0	0	0	0	2	0	0	0	0	1
OTU1080	30	44	23	30	36	45	17	29	33	44	54	52	36	21	11	40	37	30	12	34	44	54	50	1	30	67	24	65	38	46	27	33	44	44	52	36	46	27	70	68	43	31	47	55	74	29	60	54	50	99	88	31	43	53	66	65	46	98	70	57	29	52	53	28	52	56	64	30	76	32	79	18	39	37	26	33	38	33	36	64
OTU1082	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1094	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	2	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU1096	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
OTU1099	2	2	0	5	0	4	1	5	2	2	2	3	1	0	0	1	1	1	1	0	6	3	9	0	4	6	1	3	2	2	6	1	5	2	7	3	0	0	5	1	0	0	3	0	0	1	4	7	4	9	6	0	0	1	7	4	3	7	1	2	3	0	9	2	2	3	7	6	3	6	11	3	2	7	3	1	5	4	6	6
OTU11	2	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU110	879	1198	1459	620	721	480	3875	548	393	466	722	1418	1556	1679	2283	511	1193	674	407	441	215	85	100	33	164	50	144	175	414	271	77	705	109	160	171	145	304	297	212	105	195	166	95	222	152	60	148	93	123	25	60	130	51	250	122	192	208	145	135	79	26	88	68	244	195	158	52	85	43	142	329	56	102	76	132	136	179	76	60	70
OTU1104	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1105	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU1108	818	1161	108	534	241	267	248	550	343	99	448	348	483	260	124	430	400	227	328	419	652	17	47	1	164	39	53	38	975	594	43	865	153	17	461	124	256	3	320	34	601	360	400	517	184	36	252	279	281	20	127	4	53	306	273	216	642	196	367	127	3	136	72	6	186	423	54	28	98	2	515	48	841	156	4	308	21	262	8	21
OTU1109	0	1	0	0	3	0	0	1	1	0	2	2	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	2	1	0	0	1	0	0	3	2	0	0	0	1	0	0	2	0	0	0	2	2	1	2	2	0	2	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	3	2
OTU1111	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU1113	0	4	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0
OTU1115	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	1	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0
OTU1117	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	2	0	0	1	1	1	2	1	0	0	0	1	1	2	2	2	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	4	1	2	2
OTU1118	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1119	12	11	12	11	11	21	6	9	15	16	10	17	4	2	2	8	7	2	5	10	6	9	13	0	4	6	8	5	5	5	3	1	2	2	9	8	5	8	15	8	6	1	9	0	6	4	3	6	5	8	19	13	4	10	5	5	7	1	7	16	3	6	9	4	3	6	2	5	3	1	19	1	3	4	3	5	8	4	17	6
OTU1120	0	2	0	2	0	4	0	3	0	1	1	1	0	0	0	3	4	1	3	1	2	1	0	0	1	3	1	3	2	2	1	2	0	0	5	3	3	1	3	1	4	0	2	0	0	0	2	3	4	3	1	0	4	1	2	0	2	6	1	2	0	0	2	0	1	3	4	0	1	2	1	2	0	0	1	0	0	1	3	0
OTU1121	0	0	1	2	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	2	1	1	0	0	0	1	3
OTU1122	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	1	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU1123	0	4	1	2	1	6	0	2	2	1	1	3	0	1	0	1	2	1	0	0	1	1	4	1	0	1	1	1	1	1	1	1	0	1	1	3	0	1	2	2	0	0	3	0	0	0	1	0	1	0	3	0	1	0	0	2	0	1	0	0	0	0	1	0	0	2	1	0	1	1	4	0	0	0	1	1	2	0	3	1
OTU1124	0	0	2	0	1	5	0	0	0	1	1	2	0	0	0	1	2	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1125	2	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	1	2	1	0	4	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	1
OTU1126	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU113	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0
OTU1131	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
OTU1133	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	2	1	1	0	0	0	0	1	0	1	0	0	1	0	3	0	3	0	0	1	0	0	0	0	1	0	0	0	4	2	3	1	0	1	3	1	0	3	0	0	1	1	0	1	1	2	1	1	1	0	0	1	1	1	0	0	2	0
OTU1136	0	0	0	1	1	0	0	2	1	1	0	2	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	3	0	1	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	0	1	2	1	1	1	0	1	3	0	0	1	2	0	0	0	0	1	1	0	0	0	0	1	2	1	0	0	0
OTU114	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
OTU1145	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
OTU1164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
OTU1166	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	4	0
OTU1170	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU1174	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	1	0	0	2	0
OTU1176	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
OTU118	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	3	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	2	0	1	2	1	0	0	0	1	0	0	0	2	0	1	1	1	1	2	0	0	0	0	1	0	2	0	0	3	0	1	0	1	0
OTU1181	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	3	0	0	1	1	0	0	1	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1
OTU1186	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0
OTU1189	8	1	6	11	6	7	1	9	6	9	4	7	2	1	1	8	6	5	4	1	9	5	8	2	2	9	4	3	6	8	6	5	11	6	6	6	11	5	9	14	11	5	8	4	3	1	8	13	6	15	27	12	9	4	18	6	9	8	12	11	3	12	13	5	1	6	8	6	11	10	7	3	11	7	7	3	3	4	25	15
OTU12	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	2	1	0	0	1	0	1	2	1	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0
OTU1206	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU1208	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	2	0	1	2	0	0	0	1	0	0	3	1	2	0	0	0	1	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
OTU1209	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU1224	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU1225	2	5	2	2	2	7	1	3	8	4	5	6	5	0	0	2	2	2	3	3	2	0	11	1	4	3	1	2	1	3	1	1	1	2	6	0	4	1	6	4	3	7	2	0	11	1	1	5	2	6	8	0	1	3	4	1	3	3	2	7	1	4	4	1	5	3	2	4	7	2	8	3	1	1	1	3	1	1	13	0
OTU1227	0	0	0	0	0	0	0	1	1	5	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	1	0	0	3	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
OTU123	3	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	1	0	0	5	0	0	0	0	2	0	0	3	0	2	0	0	0	0	2	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	2	1	1
OTU1234	0	0	2	2	5	2	1	0	2	0	0	0	1	0	1	1	0	0	0	0	1	3	0	0	1	1	1	0	1	1	2	0	3	1	0	0	1	1	3	0	0	0	0	0	2	0	0	3	0	0	3	0	3	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1
OTU1235	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	3	0	1	0	0	2	0	1	0	0	1	0	0	1	0	1	0	0	4	2	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0
OTU1239	0	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU124	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1
OTU1240	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	3	0	1	0	0	2	0	0	0	0
OTU1242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
OTU1243	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	2	0	0	0	1	1	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	2	2	1	0	0	0	1	2	0	1	0	0	1	0	1	0	2	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0
OTU1246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1247	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	1	2	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1
OTU1248	0	1	0	0	0	2	0	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	1	0	1	2	0	0	1	0	0	0	0	1	0	0	3	0	0	0	2	1	0	0	1	1	1	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	1
