OTUID	T05M01	T05M02	T05M03	T05M04	T05M05	T05M06	T05M07	T05M08	T05M09	T05M10	T05M11	T05M12	T05M13	T05M14	T05M15	T05M16	T05M17	T05M18	T05M19	T05M20	T12M01	T12M02	T12M03	T12M04	T12M05	T12M06	T12M07	T12M08	T12M09	T12M10	T12M11	T12M12	T12M13	T12M14	T12M15	T12M16	T12M17	T12M18	T12M19	T12M20	T21M01	T21M02	T21M03	T21M04	T21M05	T21M06	T21M07	T21M08	T21M09	T21M10	T21M11	T21M12	T21M13	T21M14	T21M15	T21M16	T21M17	T21M18	T21M19	T21M20	T30M01	T30M02	T30M03	T30M04	T30M05	T30M06	T30M07	T30M08	T30M09	T30M10	T30M11	T30M12	T30M13	T30M14	T30M15	T30M16	T30M17	T30M18	T30M19	T30M20
OTU7731	0	0	0	0	1	1	1	0	0	0	1	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	2	0
OTU7732	0	2	1	2	0	1	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0	2	1	0	0	0	0	1	0	0	1	0	1	1	0	2	0	1	1	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	2	1	0	1	0	0	1	0	1	1	0
OTU7736	0	1	4	2	2	5	0	1	4	3	2	3	0	0	3	4	5	0	0	1	4	7	1	0	7	3	1	2	2	2	1	0	0	0	2	3	4	4	1	5	2	1	0	1	8	1	1	7	2	7	3	4	6	2	2	5	2	1	0	4	0	4	3	0	0	3	4	1	4	1	0	2	2	1	2	2	3	1	3	4
OTU7738	0	1	0	0	0	0	0	1	1	1	0	5	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0
OTU7741	1	0	0	0	0	2	1	0	0	0	1	1	3	0	0	1	0	2	0	0	2	1	1	0	1	0	0	0	5	1	0	3	3	0	1	0	1	0	2	1	1	2	0	0	3	0	0	1	0	1	2	1	2	1	0	0	2	1	1	4	0	1	0	1	2	2	0	1	2	4	1	0	0	0	0	1	0	0	2	0
OTU7743	0	0	1	0	2	1	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
OTU7744	88	112	54	80	75	119	24	63	103	96	60	156	43	20	17	75	59	68	33	83	120	100	99	9	94	127	72	73	55	73	85	39	90	124	142	81	59	66	123	174	63	43	97	42	98	26	90	108	97	216	220	72	95	84	128	83	82	151	103	117	53	70	170	36	111	121	111	58	76	66	167	62	76	60	38	55	57	55	134	104
OTU7760	0	0	0	1	0	0	0	0	1	3	0	3	1	0	0	2	2	1	0	0	3	0	1	0	2	0	0	0	0	2	0	0	3	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	3	3	1	2	0	2	0	0	1	1	0	4	0	0	5	0	1	2	0	1	2	0	5	0	0	0	0	3	1	0	2	0
OTU7761	21	33	52	18	23	33	27	17	37	41	57	16	68	35	14	12	20	28	37	217	114	341	94	167	125	112	395	404	75	163	276	91	56	463	212	87	243	145	191	128	1051	942	83	757	367	675	263	160	181	134	148	415	383	187	291	320	229	183	360	158	616	326	615	621	110	336	282	769	877	1457	168	1369	567	312	503	188	328	337	254	577
OTU7764	0	3	1	2	1	2	1	0	2	0	2	2	1	1	1	1	1	0	0	1	1	3	3	0	2	0	0	2	0	2	2	2	1	2	3	0	4	1	3	2	0	0	0	0	2	1	1	5	3	3	5	0	1	2	2	2	3	4	2	3	3	0	3	0	1	0	3	2	4	0	0	0	1	0	1	2	0	2	1	2
OTU7765	3	5	2	6	2	5	3	3	0	4	4	7	2	1	2	1	3	6	0	1	6	4	11	0	1	2	1	5	3	4	1	1	2	8	13	3	6	1	8	11	0	8	2	1	14	1	5	7	7	8	7	3	5	2	8	5	3	8	5	8	2	1	16	0	4	9	4	3	5	2	12	4	3	3	2	3	2	2	11	6
OTU7767	5	4	1	2	1	4	2	4	0	2	1	2	0	0	0	1	1	2	0	1	5	0	2	0	2	2	0	3	1	0	5	1	5	1	2	2	1	1	3	2	2	1	0	1	2	2	0	2	4	7	5	1	3	2	4	1	4	1	3	8	0	4	4	0	2	5	1	1	3	0	4	1	1	3	0	1	0	1	0	1
