from	to	corP
OTU1028	OTU1508	0.9112344
OTU1028	OTU2442	0.9398269
OTU1028	OTU4803	0.8804704
OTU1028	OTU4838	0.8697244
OTU1028	OTU5783	0.8907875
OTU1028	OTU7173	0.8903243
OTU103	OTU778	0.8757674
OTU1099	OTU2442	0.9169312
OTU1099	OTU4132	0.8783692
OTU1099	OTU4803	0.9019752
OTU110	OTU3523	0.8691849
OTU110	OTU8418	0.8778953
OTU1108	OTU1305	0.9180779
OTU1108	OTU8583	0.8591771
OTU1119	OTU1936	0.9190234
OTU1119	OTU3067	0.8916272
OTU1119	OTU4838	0.903846
OTU1119	OTU530	0.9191808
OTU1119	OTU6039	0.8887706
OTU1119	OTU791	0.8646092
OTU1120	OTU6847	0.8665804
OTU1189	OTU1402	0.8605214
OTU1189	OTU1425	0.8839853
OTU1189	OTU1452	0.870198
OTU1189	OTU1874	0.8731877
OTU1189	OTU2285	0.8884064
OTU1189	OTU2396	0.9113263
OTU1189	OTU2420	0.887777
OTU1189	OTU2481	0.8895683
OTU1189	OTU2537	0.9173262
OTU1189	OTU3422	0.8925178
OTU1189	OTU438	0.867295
OTU1189	OTU5570	0.9484794
OTU1189	OTU5877	0.8697738
OTU1189	OTU637	0
OTU1189	OTU7881	0
OTU1189	OTU8182	0.898888
OTU1189	OTU8235	0.8842782
OTU1189	OTU8678	0.9456725
OTU1225	OTU2537	0.8610773
OTU1234	OTU1425	0.9118858
OTU1234	OTU1621	0.8710758
OTU1234	OTU2396	0.862566
OTU1234	OTU2598	0.9334648
OTU1234	OTU3984	0.8661295
OTU1234	OTU4132	0.8850735
OTU1234	OTU438	0.920977
OTU1234	OTU4665	0.9064538
OTU1234	OTU6602	0.8635126
OTU1234	OTU7092	0.8649125
OTU1234	OTU791	0.8789005
OTU1234	OTU8490	0.864781
OTU1234	OTU8678	0.8670738
OTU1234	OTU8876	0
OTU1280	OTU1452	0.8627594
OTU1280	OTU2086	0.8892407
OTU1280	OTU3992	0.8896556
OTU1280	OTU4214	0.8653061
OTU1280	OTU442	0.8672885
OTU1280	OTU5092	0.862753
OTU1280	OTU5340	0.8599922
OTU1280	OTU5465	0.8610308
OTU1280	OTU6543	0.882492
OTU1280	OTU8199	0.8681306
OTU1282	OTU2283	0.8681627
OTU1282	OTU2715	0.8874934
OTU1282	OTU5455	0.8687023
OTU1287	OTU2715	0.896157
OTU1287	OTU5455	0.8601403
OTU1287	OTU8643	0.8883606
OTU1288	OTU1675	0.8601306
OTU1288	OTU4331	0.8883237
OTU1305	OTU3523	0.9360307
OTU1305	OTU7038	0.8930702
OTU1319	OTU318	0.8601077
OTU1319	OTU530	0.8594032
OTU1321	OTU1945	0.8607933
OTU1321	OTU2086	0.883329
OTU1321	OTU2141	0.8883557
OTU1321	OTU2340	0.8959003
OTU1321	OTU3992	0.8713011
OTU1321	OTU442	0.8811239
OTU1321	OTU533	0.9020715
OTU1321	OTU5765	0.8602754
OTU1321	OTU6195	0
OTU1321	OTU7744	0.8956985
OTU1321	OTU8288	0.8735433
OTU1321	OTU964	0.867451
OTU1345	OTU1382	0.8817308
OTU1345	OTU408	0.8716497
OTU1372	OTU7994	0.868369
OTU1372	OTU8689	0.8666746
OTU1382	OTU8446	-0.8901591
OTU1382	OTU8751	-0.8818805
OTU1393	OTU1508	0.8693105
OTU1393	OTU438	0.8718935
OTU1393	OTU4665	0
OTU1402	OTU1675	0.886145
OTU1402	OTU2420	0.8720814
OTU1402	OTU5765	0.8838967
OTU1402	OTU7782	0.8587124
OTU1402	OTU7976	0.8857316
OTU1402	OTU8490	0.8632038
OTU1402	OTU8658	0.8695483
OTU1402	OTU8678	0.8911557
OTU1425	OTU1464	0.8947407
OTU1425	OTU1557	0.8609081
OTU1425	OTU1642	0.8868155
OTU1425	OTU1810	0.9263237
OTU1425	OTU2285	0.9179916
OTU1425	OTU2396	0
OTU1425	OTU2481	0.902274
OTU1425	OTU2623	0.9035735
OTU1425	OTU2770	0.8661528
OTU1425	OTU284	0.9078011
OTU1425	OTU3068	0.8749171
OTU1425	OTU3422	0.9526752
OTU1425	OTU3806	0.8716853
OTU1425	OTU3909	0.8832079
OTU1425	OTU4132	0.8673901
OTU1425	OTU4231	0.899945
OTU1425	OTU5058	0.8971584
OTU1425	OTU5455	0.8652131
OTU1425	OTU5570	0.8646339
OTU1425	OTU5638	0.8804442
OTU1425	OTU5732	0.8992756
OTU1425	OTU6257	0.8800452
OTU1425	OTU6602	0
OTU1425	OTU7304	0.9404024
OTU1425	OTU7880	0.9094715
OTU1425	OTU7881	0.8654143
OTU1425	OTU7976	0.9214919
OTU1425	OTU8182	0.9172605
OTU1425	OTU8275	0.8732686
OTU1425	OTU8490	0.9298457
OTU1425	OTU8678	0.9294801
OTU1425	OTU8844	0.8849162
OTU1425	OTU8876	0.877197
OTU1425	OTU8880	0.9162482
OTU1452	OTU1557	0
OTU1452	OTU2086	0.8759478
OTU1452	OTU2396	0.8759028
OTU1452	OTU2506	0
OTU1452	OTU2537	0.886321
OTU1452	OTU2589	0.8989438
OTU1452	OTU3169	0.8969242
OTU1452	OTU3422	0.863319
OTU1452	OTU3806	0.8804239
OTU1452	OTU3992	0.8839366
OTU1452	OTU4132	0.9052169
OTU1452	OTU4214	0.8690256
OTU1452	OTU442	0.8971753
OTU1452	OTU4815	0.8836811
OTU1452	OTU5128	0.9038839
OTU1452	OTU5455	0.8634525
OTU1452	OTU5570	0.9042369
OTU1452	OTU5576	0.8733152
OTU1452	OTU5765	0.8967241
OTU1452	OTU5783	0.8757393
OTU1452	OTU5789	0.8630539
OTU1452	OTU6602	0.8792332
OTU1452	OTU7976	0.8612494
OTU1452	OTU8182	0.8642381
OTU1452	OTU8275	0.8995825
OTU1452	OTU8288	0.8677416
OTU1452	OTU8657	0.9247715
OTU1452	OTU8658	0.8667673
OTU1452	OTU8678	0.8954254
OTU1463	OTU1508	0.9188146
OTU1463	OTU2442	0.9641081
OTU1463	OTU4132	0.8719651
OTU1463	OTU4803	0.875188
OTU1463	OTU4838	0.8687889
OTU1463	OTU5444	0.86733
OTU1463	OTU5528	0.8897101
OTU1463	OTU5653	0.8634942
OTU1463	OTU7173	0.8650698
OTU1464	OTU6602	0.898529
OTU1464	OTU7881	0.8621709
OTU1464	OTU8490	0.879454
OTU1508	OTU1621	0.8617694
OTU1508	OTU1645	0
OTU1508	OTU1661	0.8836121
OTU1508	OTU1693	0
OTU1508	OTU1936	0.8611618
OTU1508	OTU2183	0.880849
OTU1508	OTU2285	0.8724078
OTU1508	OTU2297	0.9352157
OTU1508	OTU2442	0.905246
OTU1508	OTU2481	0.8803118
OTU1508	OTU250	0
OTU1508	OTU2598	0.8751478
OTU1508	OTU2623	0.8792934
OTU1508	OTU2756	0.894139
OTU1508	OTU3422	0.8675775
OTU1508	OTU3909	0.8687091
OTU1508	OTU3968	0.8798738
OTU1508	OTU3983	0
OTU1508	OTU4023	0.9307636
OTU1508	OTU4080	0.8695701
OTU1508	OTU4132	0.9198007
OTU1508	OTU4214	0.910367
OTU1508	OTU4231	0.868241
OTU1508	OTU438	0.8709889
OTU1508	OTU4665	0.8788689
OTU1508	OTU4803	0.8964424
OTU1508	OTU4848	0.8595405
OTU1508	OTU5058	0.8779726
OTU1508	OTU5151	0.8650202
OTU1508	OTU5429	0.9143752
OTU1508	OTU5653	0.8966217
OTU1508	OTU5890	0.9163679
OTU1508	OTU6039	0.8661045
OTU1508	OTU673	0.8788006
OTU1508	OTU7394	0.9347339
OTU1508	OTU7560	0.872416
OTU1508	OTU7880	0.8807542
OTU1508	OTU8649	0.9272482
OTU1508	OTU8828	0
OTU1508	OTU983	0.8929538
OTU1513	OTU3259	0.8632265
OTU1513	OTU3536	0.8803595
OTU1513	OTU6195	0.8846485
OTU1513	OTU6622	0.9000013
OTU1513	OTU7527	0.9131523
OTU1513	OTU7907	0.9097882
OTU1513	OTU8446	0.8851117
OTU1557	OTU1810	0.8587377
OTU1557	OTU2086	0.8763315
OTU1557	OTU2285	0.8695941
OTU1557	OTU2297	0.8617632
OTU1557	OTU2396	0.9131357
OTU1557	OTU250	0.8956842
OTU1557	OTU2623	0.8643628
OTU1557	OTU284	0.8641592
OTU1557	OTU3068	0.8746501
OTU1557	OTU3422	0.9034205
OTU1557	OTU3806	0.8869321
OTU1557	OTU3968	0.8613171
OTU1557	OTU3984	0.8709113
OTU1557	OTU3992	0.8785109
OTU1557	OTU4132	0.9128524
OTU1557	OTU4214	0.8888718
OTU1557	OTU4231	0.8826612
OTU1557	OTU442	0.9150618
OTU1557	OTU5444	0.8948013
OTU1557	OTU5455	0.9110851
OTU1557	OTU5465	0.8715336
OTU1557	OTU5638	0.8804923
OTU1557	OTU5653	0.9124398
OTU1557	OTU5783	0.8601167
OTU1557	OTU6195	0.8645621
OTU1557	OTU6987	0.8774311
OTU1557	OTU7083	0.8590879
OTU1557	OTU718	0.8714224
OTU1557	OTU7304	0.8886616
OTU1557	OTU7782	0.8854161
OTU1557	OTU791	0
OTU1557	OTU7997	0.8696016
OTU1557	OTU8195	0.8706937
OTU1557	OTU8275	0.931392
OTU1557	OTU8288	0.8873135
OTU1557	OTU8657	0.9463379
OTU1557	OTU8678	0.8616177
OTU1557	OTU8804	0.8681014
OTU1557	OTU8876	0.9016319
OTU1557	OTU8880	0.8723989
OTU1557	OTU896	0.8598976
OTU1605	OTU1874	0.8919862
OTU1605	OTU2538	0.8929684
OTU1605	OTU3422	0.8601
OTU1605	OTU3806	0.9011533
OTU1605	OTU4132	0.8783371
OTU1605	OTU4331	0
OTU1605	OTU455	0.8609269
OTU1605	OTU4665	0.8892733
OTU1605	OTU5455	0.8623122
OTU1605	OTU5576	0.872793
OTU1605	OTU5789	0.8726467
OTU1605	OTU7083	0.8801468
OTU1605	OTU7449	0.9181594
OTU1605	OTU7644	0.8617386
OTU1605	OTU8195	0.8806616
OTU1605	OTU8275	0.8922308
OTU1605	OTU8657	0.8636169
OTU1605	OTU8678	0.8898505
OTU1605	OTU8876	0.8597429
OTU1605	OTU8919	0.8770135
OTU1621	OTU1810	0.87318
OTU1621	OTU250	0.8825958
OTU1621	OTU2756	0.8942437
OTU1621	OTU284	0.8627218
OTU1621	OTU3422	0.8696782
OTU1621	OTU3984	0.901256
OTU1621	OTU4023	0.9054287
OTU1621	OTU4132	0.8905587
OTU1621	OTU4214	0.8688004
OTU1621	OTU438	0.8626607
OTU1621	OTU5334	0.8830179
OTU1621	OTU5444	0.8674769
OTU1621	OTU5455	0.877066
OTU1621	OTU5653	0.87856
OTU1621	OTU5709	0.8752635
OTU1621	OTU5783	0.8750536
OTU1621	OTU791	0.862668
OTU1621	OTU8876	0.9213513
OTU1642	OTU2598	0.9186244
OTU1642	OTU438	0.8681035
OTU1642	OTU5783	0.8694092
OTU1642	OTU6602	0.8779548
OTU1644	OTU4257	-0.9214582
OTU1645	OTU2442	0.8928708
OTU1645	OTU3142	0.8699367
OTU1645	OTU3968	0.8626916
OTU1645	OTU4803	0.8765051
OTU1645	OTU4848	0.885129
OTU1645	OTU5653	0.8772682
OTU1645	OTU8657	0.8979152
OTU1661	OTU2442	0.8831626
OTU1661	OTU3142	0.8753473
OTU1661	OTU4132	0.8694331
OTU1661	OTU442	0.8641207
OTU1661	OTU4803	0.8998425
OTU1661	OTU8657	0
OTU1675	OTU1874	0.8998946
OTU1675	OTU2086	0.916431
OTU1675	OTU2340	0.908452
OTU1675	OTU2420	0.8727829
OTU1675	OTU2487	0.8597293
OTU1675	OTU3422	0.8646553
OTU1675	OTU3806	0.907234
OTU1675	OTU3968	0.8687278
