id	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
OTU1028	3	330.41304233401	7159	0.000388039107181807	0	3	0.505649896847432	0
OTU103	19	35.414129233032	1481	0.0474089982700943	0.830409356725146	2	-0.367114078948155	0.188365650969529
OTU1036	1	0	0	0.00266168585906287	0	2	-1.22437506330277	0
OTU1080	85	223.820063038359	26873	0.145090034857075	0.456302521008403	2	1.93677481650486	0.421868512110727
OTU110	6	0.4	2	4.15836699034534e-07	0.933333333333333	7	0.337526370277807	0
OTU1108	7	193.428571428571	41253	7.14026507809344e-06	0.428571428571429	7	0.675052740555614	0
OTU1119	33	6.39251280112323	219	0.0806801698008615	0.831439393939394	2	-0.206377644381666	0.477502295684114
OTU1287	1	0	0	4.16928634177214e-52	0	26	0	0
OTU1307	1	0	0	7.60951691727443e-09	0	7	-1.35010548111123	0
OTU1321	36	459.067665533539	55050	0.0819231786396353	0.70952380952381	2	0.00793760170698718	0.444444444444444
OTU1345	7	284.321428571429	41255	7.14547993335265e-06	0.476190476190476	7	0.675052740555614	0
OTU1402	51	43.1407662081323	6627	0.102970731240102	0.689411764705882	2	0.704462151495109	0.398308342945021
OTU1425	7	0.0727513227513227	2	0.0120849549272234	0.904761904761905	1	-0.780323710622617	0.244897959183674
OTU1452	20	16.5163645197898	340	0.0404122804891629	0.826315789473684	1	0.0987156501390057	0.255
OTU1480	1	0	0	0.00149864344932461	0	2	-1.22437506330277	0
OTU1504	1	0	0	0.000849758932210912	0	1	-1.17988705642335	0
OTU1508	10	2.18208431547209	43	0.014657777144441	0.666666666666667	1	-0.620498372302322	0.32
OTU1540	1	0	0	0.00266168585906287	0	2	-1.22437506330277	0
OTU1605	95	412.543034537348	31336	0.159812373849116	0.442553191489362	2	1.93677481650486	0.472908587257618
OTU1621	36	23.0471124392802	1511	0.0706081364687293	0.653968253968254	2	-0.152798832859503	0.486111111111111
OTU1675	1	0	0	0.000507043119491222	0	1	-1.17988705642335	0
