from	to	corP
OTU1080	OTU3015	0.8161039
OTU1080	OTU3536	0.8294535
OTU1080	OTU5508	0.8212812
OTU1080	OTU5837	0.8736666
OTU1080	OTU7471	0.8317401
OTU1080	OTU7527	0.8096661
OTU1080	OTU7744	0.8163516
OTU110	OTU2179	0.8864589
OTU110	OTU2198	0.8506582
OTU110	OTU8554	0.8521526
OTU1108	OTU1345	0.828877
OTU1108	OTU3638	0.8356125
OTU1108	OTU6042	0.8121563
OTU1108	OTU8197	0.8465416
OTU1119	OTU1936	0.8543367
OTU1119	OTU2340	0.8897283
OTU1119	OTU2396	0.8644481
OTU1119	OTU3806	0.8749527
OTU1119	OTU442	0.8525949
OTU1119	OTU455	0.8103377
OTU1119	OTU530	0.8560279
OTU1119	OTU5653	0.817691
OTU1119	OTU8446	0.8291235
OTU1119	OTU8876	0.8840561
OTU1189	OTU4815	0.8307451
OTU1189	OTU5570	0.8392079
OTU1189	OTU7976	0.83083
OTU1225	OTU3536	0.84117
OTU1225	OTU3806	0.8277984
OTU1225	OTU4147	0.8861184
OTU1225	OTU8446	0.8114187
OTU1225	OTU8700	0.8814272
OTU1301	OTU8658	0.868362
OTU1321	OTU1402	0.8817674
OTU1321	OTU2623	0.8575254
OTU1321	OTU2935	0.8493468
OTU1321	OTU3806	0.8170348
OTU1321	OTU3984	0.849127
OTU1321	OTU5039	0.8471683
OTU1321	OTU7440	0.8193505
OTU1321	OTU7744	0.8470885
OTU1321	OTU8646	0.8139013
OTU1321	OTU8751	0.8325855
OTU1321	OTU8862	0.8265659
OTU1339	OTU8554	0.8231114
OTU1345	OTU3227	0.8421142
OTU1345	OTU3638	0.8170297
OTU1345	OTU8197	0.8418959
OTU1402	OTU3984	0.8322674
OTU1402	OTU7440	0.8420046
OTU1402	OTU8658	0.8431423
OTU1425	OTU7976	0.9176057
OTU1425	OTU8822	0.8113304
OTU1452	OTU7440	0.81018
OTU1508	OTU8275	0.8101216
OTU1540	OTU3245	0.8082746
OTU1540	OTU3806	0.8203223
OTU1540	OTU4147	0.8721482
OTU1540	OTU4883	0.8357228
OTU1540	OTU7527	0.8261757
OTU1540	OTU7744	0.8434924
OTU1540	OTU8446	0.8417476
OTU1540	OTU8700	0.9141554
OTU1546	OTU1645	0.8208862
OTU1546	OTU8195	0.8239804
OTU1557	OTU3169	0.8302528
OTU1557	OTU6403	0.8207128
OTU1605	OTU1936	0.8317809
OTU1605	OTU2283	0.8956812
OTU1605	OTU3806	0.8389578
OTU1605	OTU4132	0.8520215
OTU1605	OTU442	0.8279218
OTU1605	OTU5653	0.8672459
OTU1605	OTU7644	0.8473942
OTU1605	OTU8657	0.8218597
OTU1605	OTU8678	0.8874746
OTU1621	OTU8055	0.8295258
OTU1677	OTU2086	0.811359
OTU1677	OTU5039	0.8367527
OTU1677	OTU6622	0.8493682
OTU1677	OTU7744	0.8668067
OTU1694	OTU2086	0.8645639
OTU1694	OTU3536	0.8378446
OTU1694	OTU4147	0.8597266
OTU1694	OTU4883	0.8538879
OTU1694	OTU8446	0.8303955
OTU1694	OTU8700	0.8828121
OTU1707	OTU8804	0.878986
OTU1874	OTU8678	0.8613105
OTU1898	OTU6932	0.8103687
OTU1936	OTU2340	0.8174757
OTU1936	OTU2506	0.817284
OTU1936	OTU2536	0.8593245
OTU1936	OTU3806	0.9060503
OTU1936	OTU3860	0.8320627
OTU1936	OTU3992	0.8495332
OTU1936	OTU4132	0.8982655
OTU1936	OTU442	0.877985
OTU1936	OTU5151	0.8604686
OTU1936	OTU5528	0.8284337
OTU1936	OTU5653	0.8951211
OTU1936	OTU7644	0.8926576
OTU1936	OTU8055	0.8670599
OTU1936	OTU8275	0.8512145
OTU1936	OTU8876	0.9154277
OTU2086	OTU2340	0.9061607
OTU2086	OTU2396	0.8454157
OTU2086	OTU3536	0.8120574
OTU2086	OTU3806	0.8861275
OTU2086	OTU3992	0.8119855
OTU2086	OTU442	0.888044
OTU2086	OTU455	0.8383435
OTU2086	OTU4815	0.841367
OTU2086	OTU5465	0.9219932
OTU2086	OTU6403	0.8839463
OTU2086	OTU7440	0.824666
OTU2086	OTU7744	0.8972569
OTU2086	OTU8434	0.8803878
OTU2086	OTU8446	0.9340158
OTU2086	OTU8700	0.8849589
OTU2086	OTU8881	0.8422564
OTU2179	OTU2198	0.9546652
OTU2179	OTU2274	0.9191797
OTU2179	OTU3523	0.8664344
OTU2198	OTU2274	0.8871661
OTU2224	OTU2506	0.8211048
OTU2274	OTU3523	0.8859183
OTU2274	OTU8418	0.8700507
OTU2283	OTU3806	0.8508384
OTU2283	OTU442	0.860928
OTU2283	OTU455	0.8679383
OTU2283	OTU5465	0.8857844
OTU2283	OTU6403	0.8290422
OTU2283	OTU6841	0.8273683
OTU2283	OTU6880	0.8508012
OTU2283	OTU7471	0.8290414
OTU2283	OTU7644	0.8153679
OTU2283	OTU8490	0.8106159
OTU2283	OTU8678	0.8442049
OTU2283	OTU8876	0.8592607
OTU2340	OTU2396	0.8761174
OTU2340	OTU3245	0.8206277
OTU2340	OTU3992	0.8334726
OTU2340	OTU442	0.8701389
OTU2340	OTU5195	0.8372509
OTU2340	OTU5465	0.8968916
OTU2340	OTU6403	0.8176292
OTU2340	OTU7440	0.8505956
OTU2340	OTU7644	0.8230932
OTU2340	OTU7744	0.9349107
OTU2340	OTU8446	0.8961692
OTU2340	OTU8657	0.8183494
OTU2340	OTU8700	0.821192
OTU2340	OTU8751	0.8134395
OTU2396	OTU3806	0.819633
OTU2396	OTU455	0.8103168
OTU2396	OTU530	0.8248262
OTU2396	OTU5465	0.8706084
OTU2396	OTU6880	0.8173925
OTU2396	OTU7471	0.8106043
OTU2396	OTU8275	0.8301884
OTU2396	OTU8446	0.8306565
OTU2396	OTU8804	0.8241516
OTU2414	OTU7527	0.8518496
OTU2442	OTU8876	0.8179771
OTU2477	OTU8643	0.83271
OTU2506	OTU4132	0.8237177
OTU2506	OTU5570	0.8775826
OTU2506	OTU5765	0.837274
OTU2506	OTU6602	0.8154506
OTU2506	OTU8055	0.8674142
OTU2536	OTU5151	0.8353578
OTU2536	OTU5653	0.8131698
OTU2536	OTU7644	0.8649453
OTU2537	OTU8226	0.9037363
OTU2589	OTU8804	0.8534085
OTU2623	OTU8658	0.822668
OTU2707	OTU3463	-0.9060608
OTU2727	OTU7527	0.8128988
OTU2727	OTU8446	0.8171411
OTU2727	OTU8804	0.8204041
OTU2771	OTU3536	0.8378275
OTU2771	OTU5465	0.8595364
OTU2771	OTU6403	0.8394515
OTU2771	OTU7527	0.8782254
OTU2771	OTU8446	0.8455307
OTU2771	OTU8700	0.8408158
OTU2771	OTU8804	0.8971745
OTU2866	OTU7527	0.8710793
OTU2935	OTU3536	0.8348623
OTU2935	OTU3806	0.8387679
OTU2935	OTU3984	0.8444683
OTU2935	OTU4815	0.856301
OTU2935	OTU7249	0.8203495
OTU2935	OTU7527	0.84629
OTU2935	OTU8751	0.8124776
OTU2961	OTU7116	-0.8496186
OTU3030	OTU8907	0.8499249
OTU3096	OTU7644	0.8106765
OTU3096	OTU8700	0.808174
OTU3245	OTU3984	0.8308669
OTU3245	OTU4331	0.8126329
OTU3245	OTU4883	0.8087426
OTU3245	OTU5837	0.8459024
OTU3245	OTU7744	0.8608434
OTU3245	OTU7907	0.823059
OTU3475	OTU3984	0.8893615
OTU3483	OTU5444	0.8242562
OTU3523	OTU8418	0.9409217
OTU3536	OTU3806	0.8256276
OTU3536	OTU4147	0.8509774
OTU3536	OTU5039	0.8121931
OTU3536	OTU5340	0.8518743
OTU3536	OTU5465	0.8396542
OTU3536	OTU6403	0.8463443
OTU3536	OTU7527	0.8840118
OTU3536	OTU7744	0.8643363
OTU3536	OTU8434	0.8419059
