from	to	corP
OTU1036	OTU1321	0.8277639
OTU1036	OTU2506	0.8230971
OTU1036	OTU8700	0.8134946
OTU110	OTU2179	0.9433082
OTU110	OTU2847	0.8834118
OTU110	OTU3294	0.9001962
OTU110	OTU4541	0.8874405
OTU110	OTU4542	0.8805468
OTU110	OTU4691	0.8085528
OTU110	OTU4745	0.8464634
OTU110	OTU5475	0.8270981
OTU110	OTU6042	0.8419618
OTU110	OTU6609	0.8165816
OTU110	OTU6750	0.8418633
OTU110	OTU7900	0.834044
OTU110	OTU8418	0.9318703
OTU1119	OTU1605	0.9069604
OTU1119	OTU2086	0.8503396
OTU1119	OTU2506	0.8130252
OTU1119	OTU3806	0.9538735
OTU1119	OTU3992	0.8787534
OTU1119	OTU4132	0.9361454
OTU1119	OTU455	0.9497377
OTU1119	OTU5465	0.8471337
OTU1119	OTU5653	0.9236824
OTU1119	OTU5783	0.8303143
OTU1119	OTU6841	0.828263
OTU1119	OTU7083	0.9584451
OTU1119	OTU7440	0.816355
OTU1119	OTU7744	0.8157875
OTU1119	OTU8657	0.8849511
OTU1119	OTU8876	0.889993
OTU1189	OTU1677	0.8372322
OTU1280	OTU3992	0.8190151
OTU1280	OTU455	0.8462729
OTU1280	OTU5465	0.8716115
OTU1319	OTU2756	0.824346
OTU1319	OTU5151	0.822037
OTU1319	OTU8235	0.8186291
OTU1321	OTU2771	0.8143248
OTU1321	OTU3656	0.8739677
OTU1321	OTU7087	0.8099619
OTU1321	OTU8291	0.8280437
OTU1402	OTU4544	0.8085501
OTU1402	OTU4831	0.8677032
OTU1402	OTU5090	0.8273681
OTU1402	OTU8261	0.8249802
OTU1423	OTU4412	0.8533285
OTU1423	OTU7423	0.8212421
OTU1423	OTU8195	0.8190364
OTU1452	OTU1605	0.8905523
OTU1452	OTU2086	0.8505753
OTU1452	OTU2506	0.8548646
OTU1452	OTU3992	0.9113583
OTU1452	OTU4132	0.9469404
OTU1452	OTU442	0.931244
OTU1452	OTU455	0.9587961
OTU1452	OTU4815	0.8565309
OTU1452	OTU5465	0.8548751
OTU1452	OTU5653	0.9390299
OTU1452	OTU5783	0.8576819
OTU1452	OTU6841	0.8307165
OTU1452	OTU7083	0.9565295
OTU1452	OTU7440	0.8571569
OTU1452	OTU7744	0.8279638
OTU1452	OTU8657	0.8982388
OTU1452	OTU8876	0.8892127
OTU1463	OTU3062	0.8217963
OTU1463	OTU8538	0.823662
OTU1508	OTU2141	0.8330251
OTU1508	OTU2753	0.8377213
OTU1508	OTU3806	0.8332576
OTU1508	OTU3992	0.8379532
OTU1508	OTU455	0.8968015
OTU1508	OTU5465	0.8558996
OTU1508	OTU7083	0.8323593
OTU1508	OTU7831	0.8529557
OTU1508	OTU8881	0.8123194
OTU1508	OTU994	0.809862
OTU1557	OTU1605	0.8337797
OTU1557	OTU3806	0.8593079
OTU1557	OTU4132	0.8168027
OTU1557	OTU455	0.8131365
OTU1557	OTU7083	0.8577612
OTU1605	OTU1723	0.872155
OTU1605	OTU1898	0.8686353
OTU1605	OTU1936	0.8250363
OTU1605	OTU2086	0.8707626
OTU1605	OTU2283	0.9579267
OTU1605	OTU2442	0.882636
OTU1605	OTU2756	0.9243477
OTU1605	OTU3169	0.8597434
OTU1605	OTU360	0.8338783
OTU1605	OTU3781	0.9375574
OTU1605	OTU3806	0.895948
OTU1605	OTU3968	0.8743148
OTU1605	OTU4132	0.9242546
OTU1605	OTU442	0.9213805
OTU1605	OTU455	0.8199257
OTU1605	OTU4703	0.8535125
OTU1605	OTU4762	0.8302272
OTU1605	OTU4815	0.9312667
OTU1605	OTU4848	0.8375072
OTU1605	OTU5151	0.9051496
OTU1605	OTU530	0.9067609
OTU1605	OTU5429	0.8716704
OTU1605	OTU5455	0.9497445
OTU1605	OTU5528	0.8602375
OTU1605	OTU5576	0.8686754
OTU1605	OTU5653	0.888301
OTU1605	OTU5783	0.9438015
OTU1605	OTU5974	0.8557367
OTU1605	OTU6195	0.8943464
OTU1605	OTU6594	0.8892066
OTU1605	OTU6680	0.92871
OTU1605	OTU6816	0.9230485
OTU1605	OTU6870	0.8696166
OTU1605	OTU7083	0.896375
OTU1605	OTU7092	0.846903
OTU1605	OTU7440	0.8142967
OTU1605	OTU7831	0.8144566
OTU1605	OTU791	0.9445409
OTU1605	OTU8195	0.8970631
OTU1605	OTU8275	0.9476762
OTU1605	OTU8342	0.9097024
OTU1605	OTU8678	0.8253484
OTU1605	OTU8804	0.8248733
OTU1605	OTU8881	0.9200369
OTU1621	OTU3439	0.89223
OTU1621	OTU6841	0.843193
OTU1621	OTU7744	0.8472134
OTU1621	OTU8700	0.8115528
OTU1661	OTU4758	0.9157053
OTU1675	OTU2086	0.8988746
OTU1675	OTU2506	0.813705
OTU1675	OTU3806	0.8082434
OTU1675	OTU3984	0.8818697
OTU1675	OTU4132	0.9055448
OTU1675	OTU442	0.9110668
OTU1675	OTU5653	0.8257193
OTU1675	OTU7440	0.8406972
OTU1675	OTU7744	0.8759444
OTU1675	OTU8700	0.812643
OTU1677	OTU2296	0.8657549
OTU1677	OTU2340	0.8980304
OTU1677	OTU2771	0.8103073
OTU1677	OTU3483	0.8331495
OTU1677	OTU5128	0.8335812
OTU1677	OTU5649	0.8266265
OTU1677	OTU6403	0.8967287
OTU1677	OTU8370	0.843416
OTU1685	OTU3987	0.8203441
OTU1685	OTU5570	0.8186855
OTU1685	OTU6403	0.8153783
OTU1685	OTU6602	0.8097261
OTU1685	OTU7440	0.8216725
OTU1700	OTU7882	0.8187624
OTU1707	OTU3009	-0.8613746
OTU1723	OTU3806	0.8684239
OTU1723	OTU442	0.8087143
OTU1723	OTU5653	0.8154831
OTU1723	OTU7083	0.8726181
OTU1723	OTU8876	0.8106806
OTU1853	OTU3009	-0.8413161
OTU1853	OTU7612	-0.8090276
OTU1853	OTU8881	0.8753708
OTU1874	OTU1936	0.8811875
OTU1874	OTU2086	0.8541559
OTU1874	OTU2141	0.8313367
OTU1874	OTU2753	0.8322814
OTU1874	OTU3781	0.8427817
OTU1874	OTU3987	0.8747638
OTU1874	OTU4132	0.877091
OTU1874	OTU442	0.8729373
OTU1874	OTU4923	0.861099
OTU1874	OTU5653	0.8143627
OTU1874	OTU637	0.8703866
OTU1874	OTU6578	0.8742636
OTU1874	OTU6680	0.814501
OTU1874	OTU6816	0.8317298
OTU1874	OTU73	0.8127992
OTU1874	OTU7544	0.8428065
OTU1874	OTU7831	0.8613408
OTU1874	OTU8657	0.8298208
OTU1898	OTU3806	0.8758529
OTU1898	OTU455	0.8089917
OTU1898	OTU7083	0.8652394
OTU1936	OTU2086	0.8839333
OTU1936	OTU2141	0.8999757
OTU1936	OTU2283	0.8141013
OTU1936	OTU2753	0.9167347
OTU1936	OTU2756	0.8320375
OTU1936	OTU373	0.8415741
OTU1936	OTU3781	0.8746932
OTU1936	OTU3806	0.8258658
OTU1936	OTU3984	0.8094952
OTU1936	OTU4132	0.8936029
OTU1936	OTU442	0.885519
OTU1936	OTU533	0.8696944
OTU1936	OTU5653	0.8548077
OTU1936	OTU6594	0.8655471
OTU1936	OTU6680	0.8206389
OTU1936	OTU6816	0.8540592
OTU1936	OTU7083	0.822896
OTU1936	OTU73	0.8875058
OTU1936	OTU7544	0.9068407
OTU1936	OTU7831	0.8998169
OTU1936	OTU8235	0.8558579
OTU1936	OTU8881	0.8388042
OTU1936	OTU8919	0.8681183
OTU1936	OTU994	0.9000714
OTU1945	OTU2141	0.8858827
OTU1945	OTU2753	0.8469767
OTU1945	OTU3987	0.8166527
OTU1945	OTU533	0.8485309
OTU1945	OTU73	0.8604068
OTU1945	OTU7544	0.8106419
OTU1945	OTU7744	0.8183908
OTU1945	OTU7831	0.8409827
OTU1945	OTU8235	0.8404093
OTU1945	OTU994	0.853141
OTU2009	OTU3899	0.8358579
OTU2009	OTU4759	0.8862378
OTU2009	OTU4767	0.8129444
OTU2009	OTU4812	0.8257599
OTU2009	OTU8285	0.8103672
OTU2086	OTU2141	0.9100556
OTU2086	OTU2283	0.8456035
OTU2086	OTU2753	0.8974545
OTU2086	OTU2756	0.8424202
OTU2086	OTU3391	0.8389428
OTU2086	OTU3488	0.8180032
OTU2086	OTU373	0.819764
OTU2086	OTU3781	0.9245829
OTU2086	OTU3806	0.9192555
OTU2086	OTU3984	0.9338918
OTU2086	OTU3987	0.9320889
OTU2086	OTU3992	0.8648006
OTU2086	OTU4132	0.9523733
OTU2086	OTU442	0.9583611
OTU2086	OTU455	0.870793
OTU2086	OTU4762	0.8597066
OTU2086	OTU4803	0.8555349
OTU2086	OTU4815	0.829736
OTU2086	OTU4838	0.869318
OTU2086	OTU4848	0.8567905
OTU2086	OTU4884	0.8705975
OTU2086	OTU4923	0.9248955
OTU2086	OTU5195	0.8253578
OTU2086	OTU530	0.8498879
OTU2086	OTU533	0.8828854
OTU2086	OTU5455	0.8292387
OTU2086	OTU5465	0.8471787
OTU2086	OTU5570	0.8624488
OTU2086	OTU5576	0.8340338
OTU2086	OTU5653	0.9399392
OTU2086	OTU6195	0.8620875
OTU2086	OTU637	0.9096563
OTU2086	OTU6403	0.8211489
OTU2086	OTU6543	0.8911625
OTU2086	OTU6578	0.9156162
OTU2086	OTU6594	0.8797237
OTU2086	OTU6680	0.8807143
OTU2086	OTU6816	0.8924961
OTU2086	OTU6841	0.8800472
OTU2086	OTU6880	0.857456
OTU2086	OTU7083	0.9115098
OTU2086	OTU73	0.9012609
OTU2086	OTU7440	0.932069
OTU2086	OTU7471	0.8600908
OTU2086	OTU7544	0.8928271
OTU2086	OTU7644	0.8663362
OTU2086	OTU7744	0.9120013
OTU2086	OTU7831	0.9047425
OTU2086	OTU791	0.8172064
OTU2086	OTU8055	0.848626
OTU2086	OTU8235	0.8785353
OTU2086	OTU8342	0.847522
OTU2086	OTU8657	0.8903322
OTU2086	OTU8678	0.8510201
OTU2086	OTU8700	0.8709207
OTU2086	OTU8804	0.8420387
OTU2086	OTU8881	0.8803524
OTU2086	OTU8919	0.8301939
OTU2086	OTU994	0.8953981
OTU2141	OTU2283	0.8908793
OTU2141	OTU2756	0.8149795
OTU2141	OTU3282	0.8664733
OTU2141	OTU3488	0.811904
OTU2141	OTU3806	0.8507663
OTU2141	OTU3987	0.8432613
OTU2141	OTU4132	0.851052
OTU2141	OTU4387	0.8258199
OTU2141	OTU442	0.8322785
OTU2141	OTU455	0.8302574
OTU2141	OTU4884	0.8900392
OTU2141	OTU5653	0.8882778
OTU2141	OTU6543	0.8227743
OTU2141	OTU6578	0.8476991
OTU2141	OTU7083	0.8395555
OTU2141	OTU7782	0.8620734
OTU2141	OTU7882	0.8288921
OTU2141	OTU8285	0.862409
OTU2141	OTU8976	0.8100894
OTU2179	OTU2198	0.9571453
OTU2179	OTU2835	0.8469836
OTU2179	OTU2847	0.8276443
OTU2179	OTU3294	0.8613699
OTU2179	OTU4541	0.831198
OTU2179	OTU4542	0.8655034
OTU2179	OTU6042	0.9196928
OTU2179	OTU8228	0.9130818
OTU2179	OTU8418	0.9062575
OTU2183	OTU442	0.813722
OTU2183	OTU7083	0.8179331
OTU2198	OTU6042	0.902583
OTU2198	OTU6512	0.8899667
OTU2262	OTU2756	0.845287
OTU2262	OTU3992	0.8240815
OTU2262	OTU4884	0.8217499
OTU2262	OTU5653	0.8378279
OTU2262	OTU6403	0.8231326
OTU2262	OTU6543	0.8166178
