from	to	corP
OTU107	OTU3764	-0.8720371
OTU107	OTU5938	0.8257403
OTU107	OTU8078	-0.8922404
OTU1080	OTU7549	0.810918
OTU110	OTU2179	0.9049108
OTU110	OTU2198	0.8605859
OTU110	OTU8418	0.8812636
OTU1108	OTU1345	0.8402712
OTU1108	OTU2211	0.8339055
OTU1108	OTU7767	0.8439315
OTU1108	OTU8583	0.9340331
OTU118	OTU8121	-0.8401085
OTU118	OTU8991	-0.8327538
OTU1225	OTU2224	0.8354635
OTU1321	OTU8876	0.8493245
OTU1385	OTU8732	-0.832396
OTU1388	OTU3583	-0.8316487
OTU1402	OTU2086	0.8455435
OTU1402	OTU2340	0.9061369
OTU1402	OTU2405	0.8615478
OTU1402	OTU3475	0.8772423
OTU1402	OTU6403	0.8292309
OTU1402	OTU654	0.8208569
OTU1402	OTU7527	0.8091033
OTU1402	OTU7644	0.8089463
OTU1402	OTU7907	0.8199984
OTU1402	OTU8804	0.8428666
OTU1425	OTU4001	0.8125254
OTU1425	OTU8695	0.8263496
OTU1452	OTU5570	0.821684
OTU1452	OTU5765	0.8270256
OTU1508	OTU1936	0.8846651
OTU1508	OTU2283	0.8090701
OTU1508	OTU3992	0.8337874
OTU1508	OTU4132	0.892742
OTU1508	OTU5783	0.8395091
OTU1508	OTU8195	0.8532529
OTU1508	OTU8657	0.8275222
OTU1557	OTU3475	0.8708507
OTU1605	OTU1621	0.8097982
OTU1605	OTU1936	0.8213385
OTU1605	OTU2442	0.8104005
OTU1605	OTU3987	0.8308438
OTU1605	OTU3992	0.8493651
OTU1605	OTU4132	0.8593198
OTU1605	OTU4387	0.8714882
OTU1605	OTU4838	0.8604066
OTU1605	OTU5465	0.8345081
OTU1605	OTU5653	0.8213
OTU1605	OTU5783	0.8336673
OTU1605	OTU7083	0.8752904
OTU1605	OTU7440	0.8431629
OTU1605	OTU7471	0.8233812
OTU1605	OTU8195	0.836518
OTU1605	OTU8657	0.8977714
OTU1621	OTU4891	0.8567943
OTU1704	OTU2753	0.9056278
OTU1704	OTU5128	0.8450947
OTU1704	OTU5653	0.8524303
OTU1704	OTU6234	-0.9074501
OTU1704	OTU6442	0.8218753
OTU1874	OTU4665	0.8155769
OTU1874	OTU4838	0.8567921
OTU1874	OTU5465	0.8133445
OTU1874	OTU5653	0.8136957
OTU1874	OTU637	0.8723535
OTU1874	OTU7207	0.8170037
OTU1874	OTU7644	0.8322778
OTU1874	OTU8275	0.8393928
OTU1874	OTU8657	0.8424346
OTU1889	OTU8825	0.8228435
OTU1898	OTU6847	0.828366
OTU1936	OTU3806	0.8707244
OTU1936	OTU3983	0.827915
OTU1936	OTU3984	0.8409617
OTU1936	OTU4132	0.9316992
OTU1936	OTU442	0.9017943
OTU1936	OTU455	0.8386393
OTU1936	OTU5151	0.8371802
OTU1936	OTU5455	0.8343071
OTU1936	OTU5783	0.8543881
OTU1936	OTU7440	0.8937887
OTU1936	OTU8195	0.9325329
OTU1936	OTU8657	0.8899783
OTU1999	OTU244	0.9256941
OTU2086	OTU2340	0.8509552
OTU2086	OTU3806	0.8359755
OTU2086	OTU442	0.8131967
OTU2086	OTU455	0.8516899
OTU2086	OTU5455	0.8631864
OTU2086	OTU6403	0.914702
OTU2086	OTU7527	0.8697108
OTU2086	OTU7644	0.8662656
OTU2086	OTU8804	0.8707721
OTU2086	OTU8876	0.8273147
OTU2174	OTU2421	0.8497185
OTU2179	OTU2198	0.8599747
OTU2179	OTU7038	0.8131097
OTU2198	OTU2274	0.8658952
OTU2198	OTU8418	0.8710015
OTU2211	OTU3638	0.834263
OTU2211	OTU8078	-0.8394445
OTU2211	OTU8583	0.8392585
OTU2274	OTU8418	0.8790733
OTU2283	OTU3987	0.8506237
OTU2283	OTU3992	0.8655551
OTU2283	OTU4132	0.8537905
OTU2283	OTU442	0.843465
OTU2283	OTU5455	0.8083315
OTU2283	OTU5653	0.8956005
OTU2283	OTU7083	0.8197446
OTU2283	OTU7440	0.8167376
OTU2283	OTU8195	0.8438535
OTU2283	OTU8657	0.8970471
OTU2340	OTU3536	0.8140394
OTU2340	OTU6403	0.8448513
OTU2340	OTU7527	0.8400638
OTU2340	OTU7549	0.8794429
OTU2340	OTU7644	0.8523816
OTU2340	OTU7744	0.9354004
OTU2340	OTU7907	0.8422814
OTU2405	OTU3536	0.8281144
OTU2405	OTU3987	0.8506999
OTU2405	OTU455	0.8385426
OTU2405	OTU5465	0.818636
OTU2405	OTU7471	0.8177417
OTU2405	OTU7549	0.8722952
OTU2405	OTU7744	0.8788287
OTU2405	OTU8876	0.8269973
OTU242	OTU2753	0.8165643
OTU242	OTU5377	-0.8217273
OTU242	OTU6234	-0.8278244
OTU2427	OTU5128	0.8447363
OTU2427	OTU5653	0.8292023
OTU2427	OTU6234	-0.8899897
OTU2536	OTU5151	0.8616512
OTU2537	OTU3593	0.8277572
OTU2537	OTU6234	-0.8517766
OTU2561	OTU7424	0.8119205
OTU2598	OTU5576	0.8496952
OTU2686	OTU3764	-0.8321705
OTU2686	OTU7243	-0.8145525
OTU2753	OTU3992	0.8343545
OTU2753	OTU4282	0.8106913
OTU2753	OTU4387	0.8248905
OTU2753	OTU5128	0.8198356
OTU2753	OTU6999	0.8268845
OTU2753	OTU7087	0.8815756
OTU2753	OTU8055	0.85342
OTU2753	OTU8649	0.8783559
OTU2753	OTU8711	0.8344095
OTU2753	OTU8876	0.835607
OTU2756	OTU896	0.818281
OTU2770	OTU6234	-0.8470059
OTU2815	OTU3984	0.8416702
OTU2828	OTU4812	0.8624345
OTU2828	OTU5599	0.8685254
OTU2828	OTU8026	0.8631948
OTU2874	OTU5039	0.8442003
OTU2874	OTU6841	0.815692
OTU321	OTU7359	-0.8166101
OTU3475	OTU4803	0.84566
OTU3475	OTU7907	0.8292555
OTU3524	OTU7549	0.8111195
OTU3573	OTU4274	-0.8278128
OTU3593	OTU6254	0.8244209
OTU3593	OTU8186	0.8311855
OTU3638	OTU8583	0.9181315
OTU3764	OTU4461	-0.8360443
OTU3764	OTU5593	-0.8090598
OTU3764	OTU5979	-0.8157059
OTU3764	OTU7393	-0.8284148
OTU3764	OTU8991	-0.8082472
OTU3806	OTU3984	0.907786
OTU3806	OTU442	0.9255517
OTU3806	OTU455	0.9563821
OTU3806	OTU5151	0.8419872
OTU3806	OTU5340	0.8389611
OTU3806	OTU5455	0.9150863
OTU3806	OTU5465	0.8763298
OTU3806	OTU6403	0.8476317
OTU3806	OTU7440	0.9092623
OTU3806	OTU7644	0.8963046
OTU3806	OTU8657	0.816624
OTU3860	OTU7527	0.8194162
OTU3984	OTU442	0.842065
OTU3984	OTU455	0.876503
OTU3984	OTU5465	0.8362996
OTU3984	OTU7440	0.8527028
OTU3984	OTU7644	0.8196704
OTU3987	OTU442	0.8150128
OTU3987	OTU455	0.8128727
OTU3987	OTU4883	0.8331462
OTU3987	OTU5653	0.818798
OTU3987	OTU6816	0.830831
OTU3987	OTU7471	0.8413216
OTU3987	OTU8657	0.8615522
OTU3987	OTU8876	0.8626449
OTU3992	OTU4132	0.8973299
OTU3992	OTU442	0.9169494
OTU3992	OTU455	0.8537527
OTU3992	OTU5092	0.8112842
OTU3992	OTU5151	0.8380295
OTU3992	OTU5455	0.8411639
OTU3992	OTU5472	0.8300537
OTU3992	OTU5653	0.8582334
OTU3992	OTU5783	0.8133884
OTU3992	OTU7440	0.9654439
OTU3992	OTU7527	0.8295269
OTU3992	OTU8490	0.8538101
OTU3992	OTU8876	0.8589058
OTU409	OTU7423	0.8468382
OTU4132	OTU4387	0.83057
OTU4132	OTU442	0.9181396
OTU4132	OTU4838	0.8299657
OTU4132	OTU5653	0.820046
OTU4132	OTU7083	0.8641394
OTU4132	OTU7440	0.9053431
OTU4132	OTU8195	0.8730756
OTU4132	OTU8657	0.9144151
OTU4132	OTU8876	0.8121092
OTU4147	OTU6403	0.8176212
OTU4176	OTU5495	0.8242769
OTU418	OTU5997	-0.9070095
OTU4186	OTU8976	0.8224127
OTU4234	OTU5783	0.8151602
OTU4282	OTU4387	0.8230041
OTU4387	OTU5653	0.8424093
OTU4387	OTU8657	0.8150768
OTU4387	OTU8711	0.8098082
OTU4400	OTU7416	-0.8384002
OTU442	OTU455	0.9038832
OTU442	OTU4838	0.8507181
OTU442	OTU5151	0.818469
OTU442	OTU5465	0.9292877
OTU442	OTU5783	0.8805522
OTU442	OTU7083	0.8803219
OTU442	OTU7440	0.9354299
OTU442	OTU791	0.8183638
OTU442	OTU8195	0.8726406
OTU442	OTU8275	0.8294027
OTU442	OTU8490	0.8227701
OTU442	OTU8657	0.9346646
OTU442	OTU8804	0.8397826
OTU442	OTU8876	0.8605306
OTU4461	OTU4539	-0.8311948
OTU4461	OTU6688	-0.8107755
OTU4461	OTU7832	-0.8422491
OTU4461	OTU8192	-0.8085786
OTU455	OTU5340	0.8148022
OTU455	OTU5455	0.9388113
OTU455	OTU5653	0.8270533
OTU455	OTU5783	0.8091832
