from	to	corP
OTU1028	OTU2224	0.8189929
OTU1028	OTU5092	0.8372758
OTU1028	OTU7825	0.8373442
OTU103	OTU1080	0.91563
OTU103	OTU1605	0
OTU103	OTU1945	0.8509607
OTU103	OTU2086	0.8281521
OTU103	OTU2340	0.8133438
OTU103	OTU3536	0
OTU103	OTU3984	0.8113426
OTU103	OTU5128	0.8603477
OTU103	OTU5340	0.8276806
OTU103	OTU5455	0.8167962
OTU103	OTU5465	0.839878
OTU103	OTU6841	0.8483222
OTU103	OTU7440	0.8414992
OTU103	OTU7527	0.8717294
OTU103	OTU7549	0
OTU103	OTU7644	0.8388428
OTU103	OTU7907	0.8201817
OTU103	OTU8603	-0.8608022
OTU103	OTU8700	0.8478474
OTU1036	OTU6403	0.8195855
OTU1080	OTU1119	0.8965772
OTU1080	OTU1321	0.9258534
OTU1080	OTU1402	0.8254743
OTU1080	OTU1605	0.9237967
OTU1080	OTU1677	0.9623988
OTU1080	OTU1685	0.8658959
OTU1080	OTU1694	0.9067606
OTU1080	OTU1704	0.906573
OTU1080	OTU1898	0.913227
OTU1080	OTU1945	0.8531014
OTU1080	OTU1954	0.8885765
OTU1080	OTU2086	0.9062518
OTU1080	OTU2340	0.9098372
OTU1080	OTU2405	0.8392017
OTU1080	OTU2477	0.8800702
OTU1080	OTU2538	0.8154119
OTU1080	OTU2766	0
OTU1080	OTU2778	0.8949155
OTU1080	OTU2874	0.9323532
OTU1080	OTU3169	0.8904657
OTU1080	OTU3245	0.9438386
OTU1080	OTU3536	0.9304732
OTU1080	OTU373	0.9033278
OTU1080	OTU3748	0.8581983
OTU1080	OTU3860	0.8370626
OTU1080	OTU3984	0.8848306
OTU1080	OTU3992	0.8874814
OTU1080	OTU4132	0.8582011
OTU1080	OTU4214	0.8539151
OTU1080	OTU4331	0.843071
OTU1080	OTU4412	0.8917632
OTU1080	OTU442	0.8196754
OTU1080	OTU455	0.8135061
OTU1080	OTU4649	0.8107225
OTU1080	OTU4778	0.9102449
OTU1080	OTU5039	0.8711069
OTU1080	OTU5054	0.819906
OTU1080	OTU5128	0.9164283
OTU1080	OTU5146	0.9344465
OTU1080	OTU5151	0.8115001
OTU1080	OTU5340	0.8476265
OTU1080	OTU5455	0
OTU1080	OTU5465	0.9152108
OTU1080	OTU5497	0.9461785
OTU1080	OTU5576	0.904382
OTU1080	OTU5638	0.8367676
OTU1080	OTU5649	0.9145041
OTU1080	OTU5653	0.8584893
OTU1080	OTU5709	0.8555623
OTU1080	OTU5732	0.9233115
OTU1080	OTU5795	0.9088985
OTU1080	OTU5890	0.8474431
OTU1080	OTU5974	0.9169631
OTU1080	OTU6257	0.9242989
OTU1080	OTU6403	0.8321928
OTU1080	OTU6602	0.8982219
OTU1080	OTU6622	0.9130109
