OTU2179	389	448	367	253	258	180	577	203	144	167	243	447	666	327	378	212	282	214	178	150
OTU3523	121	154	64	89	59	41	132	64	43	42	94	102	150	93	102	61	85	56	54	70
OTU8700	14	15	15	17	11	18	9	14	21	15	10	28	10	3	2	19	18	12	9	10
OTU5653	79	79	90	58	79	95	68	83	86	90	43	90	47	20	34	73	79	44	44	45
OTU8434	6	7	3	7	3	7	1	6	7	7	5	14	3	NA	NA	7	4	4	4	6
OTU455	62	83	41	81	56	76	35	58	87	91	46	94	32	26	17	65	68	38	25	36
OTU1425	12	1	10	12	9	25	5	8	20	18	13	14	7	3	3	14	9	16	9	9
OTU3992	88	63	69	107	79	126	31	78	148	126	74	147	57	24	32	115	100	58	34	77
OTU8055	19	10	17	12	18	22	10	14	16	26	12	27	9	6	8	20	15	13	6	13
OTU6403	43	32	24	59	58	56	17	47	62	43	28	75	37	15	7	49	47	26	21	29
OTU2086	74	68	40	84	82	110	30	51	77	85	38	97	33	16	11	72	50	47	60	55
OTU2707	2	NA	NA	NA	NA	2	1	NA	NA	1	NA	1	1	NA	1	NA	1	NA	2	1
OTU1936	51	45	58	48	58	81	37	53	72	62	40	84	28	10	29	52	37	32	23	43
OTU8446	16	21	11	17	16	27	6	11	21	13	9	17	9	5	2	13	13	8	10	13
OTU2537	7	2	7	4	8	6	4	5	9	11	5	11	1	NA	4	6	6	9	1	NA
OTU5128	39	16	32	38	31	39	12	33	49	60	35	62	40	14	14	36	38	24	21	25
OTU4132	117	78	129	143	151	243	68	107	174	148	80	167	73	44	59	123	106	71	56	81
OTU3984	20	34	23	17	31	30	5	17	37	33	19	41	18	3	11	23	24	18	19	19
OTU3583	NA	1	33	2709	91	68	68	3733	NA	NA	NA	NA	NA	3779	2596	2	NA	198	NA	34
OTU1605	49	54	64	53	58	88	41	58	73	70	26	81	40	17	24	51	28	21	27	20
OTU7744	88	112	54	80	75	119	24	63	103	96	60	156	43	20	17	75	59	68	33	83
OTU4147	8	9	7	10	6	6	5	5	10	10	4	10	11	1	1	5	7	10	5	5
OTU3475	4	2	5	1	2	6	NA	1	1	3	1	4	1	NA	1	1	2	1	2	1
OTU3987	16	17	21	20	16	32	7	16	19	33	17	24	7	8	6	13	13	7	2	10
OTU4214	5	2	4	3	4	5	2	5	5	3	4	5	3	NA	NA	5	4	6	5	1
OTU2198	458	424	383	230	322	181	586	169	171	220	280	439	840	394	439	234	353	237	203	113
OTU7644	26	22	16	22	19	23	11	18	22	22	10	32	11	2	5	24	17	10	7	7
OTU8275	14	9	15	10	13	23	9	13	9	19	12	19	8	4	5	14	12	10	7	9
OTU110	879	1198	1459	620	721	480	3875	548	393	466	722	1418	1556	1679	2283	511	1193	674	407	441
OTU8438	1	NA	NA	NA	1	1	NA	1	2	2	1	2	NA	NA	NA	1	2	1	NA	NA
OTU2274	135	154	77	69	71	47	151	70	48	46	72	105	158	116	105	74	76	50	74	41
OTU5465	50	54	40	56	49	59	24	45	45	59	30	75	21	17	9	35	35	29	27	28
OTU6602	15	1	12	14	11	15	4	12	20	14	6	16	6	1	7	6	12	7	5	5
OTU1321	8	11	13	8	15	10	1	6	12	13	8	17	6	3	2	12	7	6	6	11
OTU1707	5	5	5	5	5	4	2	3	2	8	4	4	1	3	NA	5	2	3	2	7
OTU8646	5	2	7	2	2	4	NA	NA	7	6	4	3	1	NA	NA	3	2	4	1	1
OTU3806	85	87	113	97	100	136	38	89	128	124	66	135	61	18	25	100	71	55	52	60
OTU4815	28	14	20	29	28	36	5	19	43	41	20	38	16	6	7	20	16	21	21	13
OTU442	75	49	62	65	62	88	36	54	90	77	29	105	29	19	19	48	43	42	35	46
OTU4883	9	11	3	16	9	12	4	12	6	9	11	28	9	NA	1	9	6	8	7	12
