Compares	diff	lwr	upr	p.adj
T05C-T00C	-0.0298000000000012	-0.0749762119928375	0.0153762119928352	0.495516631305524
T05M-T00C	-0.0595000000000016	-0.104676211992838	-0.0143237880071652	0.00176623164460132
T12C-T00C	0.00939999999999874	-0.0357762119928376	0.0545762119928351	0.999230448146445
T12M-T00C	-0.0707000000000014	-0.115876211992838	-0.025523788007165	7.07237542098005e-05
T21C-T00C	0.00794999999999868	-0.0372262119928377	0.0531262119928351	0.99977718159256
T21M-T00C	-0.0358000000000013	-0.0809762119928377	0.00937621199283511	0.244344558621515
T30C-T00C	0.0104999999999987	-0.0346762119928377	0.0556762119928351	0.998290148114306
T30M-T00C	-0.0500500000000013	-0.0952262119928377	-0.00487378800716488	0.0179252671538481
T05M-T05C	-0.0297000000000004	-0.0748762119928368	0.015476211992836	0.500280541099596
T12C-T05C	0.0391999999999999	-0.00597621199283648	0.0843762119928363	0.146497899858031
T12M-T05C	-0.0409000000000003	-0.0860762119928367	0.00427621199283611	0.110296958207182
T21C-T05C	0.0377499999999998	-0.00742621199283654	0.0829262119928362	0.183925637030833
T21M-T05C	-0.00600000000000012	-0.0511762119928365	0.0391762119928363	0.999973814760091
T30C-T05C	0.0402999999999999	-0.00487621199283649	0.0854762119928363	0.122170837390697
T30M-T05C	-0.0202500000000001	-0.0654262119928365	0.0249262119928363	0.893310422570615
T12C-T05M	0.0689000000000003	0.0237237880071639	0.114076211992837	0.000122292289216008
T12M-T05M	-0.0111999999999999	-0.0563762119928363	0.0339762119928365	0.997301251599785
T21C-T05M	0.0674500000000002	0.0222737880071638	0.112626211992837	0.000188572366745299
T21M-T05M	0.0237000000000003	-0.0214762119928361	0.0688762119928367	0.776542369543908
T30C-T05M	0.0700000000000003	0.0248237880071639	0.115176211992837	8.76235790134849e-05
T30M-T05M	0.00945000000000029	-0.0357262119928361	0.0546262119928367	0.999200098026888
T12M-T12C	-0.0801000000000002	-0.125276211992837	-0.0349237880071638	3.42485069282361e-06
T21C-T12C	-0.00145000000000006	-0.0466262119928364	0.0437262119928363	0.999999999649994
T21M-T12C	-0.0452	-0.0903762119928364	-2.37880071636346e-05	0.0497657352220024
T30C-T12C	0.00109999999999999	-0.0440762119928364	0.0462762119928364	0.999999999961519
T30M-T12C	-0.05945	-0.104626211992836	-0.0142737880071636	0.00178986195065634
T21C-T12M	0.0786500000000001	0.0334737880071637	0.123826211992836	5.55936134627455e-06
T21M-T12M	0.0349000000000002	-0.0102762119928362	0.0800762119928365	0.276151778474753
T30C-T12M	0.0812000000000002	0.0360237880071638	0.126376211992837	2.36216051252569e-06
T30M-T12M	0.0206500000000002	-0.0245262119928362	0.0658262119928366	0.882210851776709
T21M-T21C	-0.04375	-0.0889262119928363	0.00142621199283643	0.0658743821166069
T30C-T21C	0.00255000000000005	-0.0426262119928363	0.0477262119928364	0.999999968551734
T30M-T21C	-0.0579999999999999	-0.103176211992836	-0.0128237880071636	0.00261967471742419
T30C-T21M	0.0463	0.00112378800716362	0.0914762119928364	0.0399145588506679
T30M-T21M	-0.01425	-0.0594262119928364	0.0309262119928364	0.986282662290002
T30M-T30C	-0.06055	-0.105726211992836	-0.0153737880071636	0.00133295883922457
