OTUID	T00C01	T00C02	T00C03	T00C04	T00C05	T00C06	T00C07	T00C08	T00C09	T00C10	T00C11	T00C12	T00C13	T00C14	T00C15	T00C16	T00C17	T00C18	T00C19	T00C20	T05C01	T05C02	T05C03	T05C04	T05C05	T05C06	T05C07	T05C08	T05C09	T05C10	T05C11	T05C12	T05C13	T05C14	T05C15	T05C16	T05C17	T05C18	T05C19	T05C20	T12C01	T12C02	T12C03	T12C04	T12C05	T12C06	T12C07	T12C08	T12C09	T12C10	T12C11	T12C12	T12C13	T12C14	T12C15	T12C16	T12C17	T12C18	T12C19	T12C20	T21C01	T21C02	T21C03	T21C04	T21C05	T21C06	T21C07	T21C08	T21C09	T21C10	T21C11	T21C12	T21C13	T21C14	T21C15	T21C16	T21C17	T21C18	T21C19	T21C20	T30C01	T30C02	T30C03	T30C04	T30C05	T30C06	T30C07	T30C08	T30C09	T30C10	T30C11	T30C12	T30C13	T30C14	T30C15	T30C16	T30C17	T30C18	T30C19	T30C20
OTU3062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	11	8	20	15	7	7	3	0	6	9	5	8	6	1	0	10	10	4	5	4	3	10	9	3	2	3	10	7	7	4	0	3	3	1	2	0	2	1	9	1	1	19	3	6	5	5	1	1	6	4	1	4	3	1	5	6	7	8
OTU3063	1	1	1	2	3	2	3	3	1	4	2	2	1	5	3	6	3	2	3	6	0	0	0	0	0	1	4	0	1	1	1	4	0	0	0	0	0	1	2	0	0	0	0	2	2	6	0	2	0	0	0	3	1	2	1	3	0	1	1	0	4	2	0	0	1	0	0	1	1	1	2	2	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	2	1	1	0	1	0	0	2	0	0	1	4	1
OTU3064	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	2	0	0	0	1	1	3	3	2	4	5	1	3	1	2	7	0	3	5	1	7	1	12	6	6	4	21	18	16	9	11	7	7	22	30	23	7	23	7	21	7	6	14	13	25	7	13	21	6	2	14	2	12	27	1	22	10	1	8	9	8	5	36	10	8	30	7	10	17	32	8	22	18	11	3	27	17	7	11	3	23	27
OTU3066	1	4	2	0	1	1	3	1	3	1	3	4	0	5	2	1	0	0	1	1	0	1	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU3067	12	7	12	8	16	9	17	14	8	23	21	11	2	15	12	7	6	8	17	12	1	6	1	0	1	1	3	1	4	6	5	2	0	3	0	2	6	0	4	2	0	0	4	0	5	5	6	9	3	2	2	4	6	7	3	10	3	4	2	0	8	5	12	7	3	2	3	6	8	7	2	4	2	4	7	4	0	1	0	0	4	4	1	7	2	1	4	9	1	3	7	6	1	4	1	2	3	7	8	5
OTU3068	7	2	6	4	2	4	7	1	1	4	7	3	0	3	13	8	0	5	4	5	0	0	2	2	3	1	1	0	1	4	3	2	1	0	1	1	2	0	1	1	0	0	0	2	1	5	4	2	0	1	0	2	2	0	0	1	0	4	5	0	0	6	0	0	3	1	0	3	0	0	3	7	2	4	3	1	1	0	0	1	2	0	0	1	1	1	2	0	1	1	0	0	0	1	0	0	0	3	3	0
OTU3069	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	1	0	1	0	0	3	1	0	0	5	0	0	1	1	1	0	2	0	2	2	4	2	0	1	1	1	1	1	1	6	3	7	2	3	3	1	3	4	5	5	1	2	0	5	4	5	2	3	10	7	10	4
OTU3073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3075	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
