Measure	Value	SampleID	Group
Simpson	0.972	T12C13	T12C
Simpson	0.977	T12C14	T12C
Simpson	0.971	T12C15	T12C
Simpson	0.976	T12C16	T12C
Simpson	0.775	T12C17	T12C
Simpson	0.973	T12C18	T12C
Simpson	0.976	T12C19	T12C
Simpson	0.957	T12C20	T12C
Simpson	0.917	T12M01	T12M
Simpson	0.91	T12M02	T12M
Simpson	0.871	T12M03	T12M
Simpson	0.807	T12M04	T12M
Simpson	0.901	T12M05	T12M
Simpson	0.857	T12M06	T12M
Simpson	0.874	T12M07	T12M
Simpson	0.855	T12M08	T12M
Simpson	0.909	T12M09	T12M
Simpson	0.915	T12M10	T12M
Simpson	0.877	T12M11	T12M
Simpson	0.817	T12M12	T12M
Simpson	0.855	T12M13	T12M
Simpson	0.878	T12M14	T12M
Simpson	0.914	T12M15	T12M
Simpson	0.872	T12M16	T12M
Simpson	0.897	T12M17	T12M
Simpson	0.885	T12M18	T12M
Simpson	0.925	T12M19	T12M
Simpson	0.908	T12M20	T12M
Simpson	0.974	T21C01	T21C
Simpson	0.976	T21C02	T21C
Simpson	0.973	T21C03	T21C
Simpson	0.968	T21C04	T21C
Simpson	0.97	T21C05	T21C
Simpson	0.967	T21C06	T21C
Simpson	0.971	T21C07	T21C
Simpson	0.969	T21C08	T21C
Simpson	0.969	T21C09	T21C
Simpson	0.969	T21C10	T21C
Simpson	0.963	T21C11	T21C
Simpson	0.979	T21C12	T21C
Simpson	0.854	T21C13	T21C
Simpson	0.98	T21C14	T21C
Simpson	0.974	T21C15	T21C
Simpson	0.956	T21C16	T21C
Simpson	0.972	T21C17	T21C
Simpson	0.918	T21C18	T21C
Simpson	0.961	T21C19	T21C
Simpson	0.954	T21C20	T21C
Simpson	0.938	T21M01	T21M
Simpson	0.906	T21M02	T21M
Simpson	0.905	T21M03	T21M
Simpson	0.919	T21M04	T21M
Simpson	0.958	T21M05	T21M
Simpson	0.876	T21M06	T21M
Simpson	0.898	T21M07	T21M
Simpson	0.91	T21M08	T21M
Simpson	0.901	T21M09	T21M
Simpson	0.932	T21M10	T21M
Simpson	0.947	T21M11	T21M
Simpson	0.911	T21M12	T21M
Simpson	0.901	T21M13	T21M
Simpson	0.918	T21M14	T21M
Simpson	0.952	T21M15	T21M
Simpson	0.923	T21M16	T21M
Simpson	0.904	T21M17	T21M
Simpson	0.907	T21M18	T21M
Simpson	0.927	T21M19	T21M
Simpson	0.909	T21M20	T21M
Simpson	0.965	T30C01	T30C
Simpson	0.974	T30C02	T30C
Simpson	0.961	T30C03	T30C
Simpson	0.962	T30C04	T30C
Simpson	0.947	T30C05	T30C
Simpson	0.964	T30C06	T30C
Simpson	0.974	T30C07	T30C
Simpson	0.965	T30C08	T30C
Simpson	0.963	T30C09	T30C
Simpson	0.958	T30C10	T30C
Simpson	0.964	T30C11	T30C
Simpson	0.962	T30C12	T30C
Simpson	0.966	T30C13	T30C
Simpson	0.963	T30C14	T30C
Simpson	0.961	T30C15	T30C
Simpson	0.954	T30C16	T30C
Simpson	0.971	T30C17	T30C
Simpson	0.956	T30C18	T30C
Simpson	0.969	T30C19	T30C
Simpson	0.969	T30C20	T30C
Simpson	0.844	T30M01	T30M
Simpson	0.887	T30M02	T30M
Simpson	0.925	T30M03	T30M
Simpson	0.893	T30M04	T30M
Simpson	0.935	T30M05	T30M
Simpson	0.942	T30M06	T30M
Simpson	0.885	T30M07	T30M
Simpson	0.905	T30M08	T30M
Simpson	0.895	T30M09	T30M
Simpson	0.925	T30M10	T30M
Simpson	0.955	T30M11	T30M
Simpson	0.892	T30M12	T30M
Simpson	0.894	T30M13	T30M
Simpson	0.879	T30M14	T30M
Simpson	0.908	T30M15	T30M
Simpson	0.896	T30M16	T30M
Simpson	0.908	T30M17	T30M
Simpson	0.868	T30M18	T30M
Simpson	0.93	T30M19	T30M
Simpson	0.891	T30M20	T30M
InvSimpson	8.832	T00C01	T00C
InvSimpson	32.88	T00C02	T00C
InvSimpson	7.723	T00C03	T00C
InvSimpson	24.796	T00C04	T00C
InvSimpson	39.19	T00C05	T00C
InvSimpson	10.662	T00C06	T00C
InvSimpson	38.75	T00C07	T00C
InvSimpson	24.756	T00C08	T00C
InvSimpson	15.44	T00C09	T00C
InvSimpson	30.652	T00C10	T00C
InvSimpson	24.47	T00C11	T00C
InvSimpson	40.653	T00C12	T00C
InvSimpson	11.409	T00C13	T00C
InvSimpson	24.026	T00C14	T00C
InvSimpson	63.359	T00C15	T00C
InvSimpson	50.335	T00C16	T00C
InvSimpson	12.84	T00C17	T00C
InvSimpson	63.169	T00C18	T00C
InvSimpson	118.718	T00C19	T00C
InvSimpson	81.348	T00C20	T00C
InvSimpson	20.515	T05C01	T05C
InvSimpson	16.233	T05C02	T05C
InvSimpson	17.073	T05C03	T05C
InvSimpson	1.877	T05C04	T05C
InvSimpson	27.804	T05C05	T05C
InvSimpson	17.097	T05C06	T05C
InvSimpson	30.438	T05C07	T05C
InvSimpson	13.303	T05C08	T05C
InvSimpson	25.84	T05C09	T05C
InvSimpson	38.435	T05C10	T05C
InvSimpson	17.017	T05C11	T05C
InvSimpson	29.972	T05C12	T05C
InvSimpson	19.518	T05C13	T05C
InvSimpson	36.329	T05C14	T05C
InvSimpson	15.606	T05C15	T05C
InvSimpson	13.635	T05C16	T05C
InvSimpson	13.092	T05C17	T05C
InvSimpson	13.655	T05C18	T05C
InvSimpson	18.834	T05C19	T05C
InvSimpson	17.263	T05C20	T05C
InvSimpson	11.622	T05M01	T05M
InvSimpson	16.184	T05M02	T05M
InvSimpson	9.117	T05M03	T05M
InvSimpson	11.889	T05M04	T05M
InvSimpson	9.642	T05M05	T05M
InvSimpson	10.855	T05M06	T05M
InvSimpson	10.901	T05M07	T05M
InvSimpson	12.222	T05M08	T05M
InvSimpson	9.263	T05M09	T05M
InvSimpson	7.709	T05M10	T05M
InvSimpson	9.221	T05M11	T05M
InvSimpson	13.429	T05M12	T05M
InvSimpson	8.896	T05M13	T05M
InvSimpson	8.921	T05M14	T05M
InvSimpson	8.218	T05M15	T05M
InvSimpson	6.695	T05M16	T05M
InvSimpson	10.204	T05M17	T05M
InvSimpson	7.198	T05M18	T05M
InvSimpson	6.62	T05M19	T05M
InvSimpson	8.534	T05M20	T05M
InvSimpson	38.944	T12C01	T12C
InvSimpson	36.777	T12C02	T12C
InvSimpson	34.237	T12C03	T12C
InvSimpson	38.526	T12C04	T12C
InvSimpson	52.669	T12C05	T12C
InvSimpson	43.325	T12C06	T12C
InvSimpson	37.935	T12C07	T12C
InvSimpson	41.477	T12C08	T12C
InvSimpson	28.584	T12C09	T12C
InvSimpson	25.598	T12C10	T12C
InvSimpson	30.967	T12C11	T12C
InvSimpson	40.468	T12C12	T12C
InvSimpson	35.943	T12C13	T12C
InvSimpson	43.123	T12C14	T12C
InvSimpson	34.569	T12C15	T12C
InvSimpson	41.468	T12C16	T12C
InvSimpson	4.449	T12C17	T12C
InvSimpson	36.473	T12C18	T12C
InvSimpson	41.775	T12C19	T12C
InvSimpson	23.137	T12C20	T12C
InvSimpson	12.038	T12M01	T12M
InvSimpson	11.152	T12M02	T12M
InvSimpson	7.746	T12M03	T12M
InvSimpson	5.183	T12M04	T12M
InvSimpson	10.118	T12M05	T12M
InvSimpson	6.978	T12M06	T12M
InvSimpson	7.944	T12M07	T12M
InvSimpson	6.88	T12M08	T12M
InvSimpson	11.029	T12M09	T12M
InvSimpson	11.743	T12M10	T12M
InvSimpson	8.159	T12M11	T12M
InvSimpson	5.476	T12M12	T12M
InvSimpson	6.893	T12M13	T12M
InvSimpson	8.228	T12M14	T12M
InvSimpson	11.565	T12M15	T12M
InvSimpson	7.82	T12M16	T12M
InvSimpson	9.716	T12M17	T12M
InvSimpson	8.684	T12M18	T12M
InvSimpson	13.319	T12M19	T12M
InvSimpson	10.881	T12M20	T12M
InvSimpson	38.666	T21C01	T21C
InvSimpson	42.373	T21C02	T21C
InvSimpson	36.724	T21C03	T21C
InvSimpson	31.596	T21C04	T21C
InvSimpson	32.893	T21C05	T21C
InvSimpson	30.1	T21C06	T21C
InvSimpson	34.265	T21C07	T21C
InvSimpson	32.361	T21C08	T21C
InvSimpson	32.687	T21C09	T21C
InvSimpson	32.677	T21C10	T21C
InvSimpson	27.304	T21C11	T21C
InvSimpson	46.851	T21C12	T21C
InvSimpson	6.87	T21C13	T21C
InvSimpson	50.122	T21C14	T21C
InvSimpson	38.399	T21C15	T21C
InvSimpson	22.848	T21C16	T21C
InvSimpson	35.359	T21C17	T21C
InvSimpson	12.158	T21C18	T21C
InvSimpson	25.425	T21C19	T21C
InvSimpson	21.648	T21C20	T21C
InvSimpson	16.165	T21M01	T21M
InvSimpson	10.632	T21M02	T21M
InvSimpson	10.523	T21M03	T21M
InvSimpson	12.273	T21M04	T21M
InvSimpson	23.778	T21M05	T21M
InvSimpson	8.049	T21M06	T21M
InvSimpson	9.768	T21M07	T21M
InvSimpson	11.158	T21M08	T21M
InvSimpson	10.064	T21M09	T21M
InvSimpson	14.649	T21M10	T21M
InvSimpson	18.761	T21M11	T21M
InvSimpson	11.262	T21M12	T21M
InvSimpson	10.094	T21M13	T21M
InvSimpson	12.142	T21M14	T21M
InvSimpson	20.694	T21M15	T21M
InvSimpson	13.059	T21M16	T21M
InvSimpson	10.408	T21M17	T21M
InvSimpson	10.708	T21M18	T21M
InvSimpson	13.672	T21M19	T21M
InvSimpson	10.941	T21M20	T21M
InvSimpson	28.624	T30C01	T30C
InvSimpson	38.549	T30C02	T30C
InvSimpson	25.586	T30C03	T30C
InvSimpson	26.511	T30C04	T30C
InvSimpson	18.82	T30C05	T30C
InvSimpson	28.104	T30C06	T30C
InvSimpson	37.883	T30C07	T30C
InvSimpson	28.591	T30C08	T30C
InvSimpson	26.825	T30C09	T30C
InvSimpson	23.632	T30C10	T30C
InvSimpson	27.857	T30C11	T30C
InvSimpson	26.233	T30C12	T30C
InvSimpson	29.319	T30C13	T30C
InvSimpson	26.712	T30C14	T30C
InvSimpson	25.489	T30C15	T30C
InvSimpson	21.923	T30C16	T30C
InvSimpson	34.277	T30C17	T30C
InvSimpson	22.738	T30C18	T30C
InvSimpson	32.21	T30C19	T30C
InvSimpson	32.071	T30C20	T30C
InvSimpson	6.414	T30M01	T30M
InvSimpson	8.828	T30M02	T30M
InvSimpson	13.374	T30M03	T30M
InvSimpson	9.368	T30M04	T30M
InvSimpson	15.479	T30M05	T30M
InvSimpson	17.265	T30M06	T30M
InvSimpson	8.68	T30M07	T30M
InvSimpson	10.499	T30M08	T30M
InvSimpson	9.539	T30M09	T30M
InvSimpson	13.256	T30M10	T30M
InvSimpson	22.084	T30M11	T30M
InvSimpson	9.262	T30M12	T30M
InvSimpson	9.463	T30M13	T30M
InvSimpson	8.251	T30M14	T30M
InvSimpson	10.892	T30M15	T30M
InvSimpson	9.651	T30M16	T30M
InvSimpson	10.913	T30M17	T30M
InvSimpson	7.58	T30M18	T30M
InvSimpson	14.289	T30M19	T30M
InvSimpson	9.134	T30M20	T30M
Fisher	332.329	T00C01	T00C
Fisher	355.286	T00C02	T00C
Fisher	318.345	T00C03	T00C
Fisher	303.245	T00C04	T00C
Fisher	379.187	T00C05	T00C
Fisher	284.573	T00C06	T00C
Fisher	373.895	T00C07	T00C
Fisher	323.523	T00C08	T00C
Fisher	311.443	T00C09	T00C
Fisher	373.263	T00C10	T00C
Fisher	370.218	T00C11	T00C
Fisher	402.442	T00C12	T00C
Fisher	160.864	T00C13	T00C
Fisher	338.687	T00C14	T00C
Fisher	440.406	T00C15	T00C
Fisher	386.152	T00C16	T00C
Fisher	193.209	T00C17	T00C
Fisher	380.408	T00C18	T00C
Fisher	467.527	T00C19	T00C
Fisher	401.109	T00C20	T00C
Fisher	111.133	T05C01	T05C
Fisher	135.834	T05C02	T05C
Fisher	170.316	T05C03	T05C
Fisher	70.687	T05C04	T05C
Fisher	177.232	T05C05	T05C
Fisher	133.953	T05C06	T05C
Fisher	184.865	T05C07	T05C
Fisher	118.886	T05C08	T05C
Fisher	198.722	T05C09	T05C
Fisher	215.494	T05C10	T05C
Fisher	148.954	T05C11	T05C
Fisher	178.273	T05C12	T05C
Fisher	158.637	T05C13	T05C
Fisher	172.236	T05C14	T05C
Fisher	145.361	T05C15	T05C
Fisher	137.638	T05C16	T05C
Fisher	154.334	T05C17	T05C
Fisher	100.907	T05C18	T05C
Fisher	163.454	T05C19	T05C
Fisher	100.68	T05C20	T05C
Fisher	175.743	T05M01	T05M
Fisher	159.666	T05M02	T05M
Fisher	145.667	T05M03	T05M
Fisher	179.609	T05M04	T05M
Fisher	166.411	T05M05	T05M
Fisher	209.933	T05M06	T05M
Fisher	116.29	T05M07	T05M
Fisher	165.178	T05M08	T05M
Fisher	190.624	T05M09	T05M
Fisher	183.021	T05M10	T05M
Fisher	152.723	T05M11	T05M
Fisher	202.626	T05M12	T05M
Fisher	143.883	T05M13	T05M
Fisher	87.123	T05M14	T05M
Fisher	94.753	T05M15	T05M
Fisher	175.781	T05M16	T05M
Fisher	168.696	T05M17	T05M
Fisher	137.427	T05M18	T05M
Fisher	122.8	T05M19	T05M
Fisher	152.698	T05M20	T05M
Fisher	117.889	T12C01	T12C
Fisher	94.279	T12C02	T12C
Fisher	212.355	T12C03	T12C
Fisher	213.739	T12C04	T12C
Fisher	245.827	T12C05	T12C
Fisher	226.764	T12C06	T12C
Fisher	233.551	T12C07	T12C
Fisher	242.614	T12C08	T12C
Fisher	178.473	T12C09	T12C
Fisher	136.034	T12C10	T12C
Fisher	213.202	T12C11	T12C
Fisher	222.984	T12C12	T12C
Fisher	183.499	T12C13	T12C
Fisher	211.25	T12C14	T12C
Fisher	201.598	T12C15	T12C
Fisher	212.613	T12C16	T12C
Fisher	118.038	T12C17	T12C
Fisher	229.826	T12C18	T12C
Fisher	201.056	T12C19	T12C
Fisher	112.972	T12C20	T12C
Fisher	208.76	T12M01	T12M
Fisher	210.508	T12M02	T12M
Fisher	184.038	T12M03	T12M
Fisher	57.646	T12M04	T12M
Fisher	189.211	T12M05	T12M
Fisher	177.082	T12M06	T12M
Fisher	145.033	T12M07	T12M
Fisher	140.117	T12M08	T12M
Fisher	165.471	T12M09	T12M
Fisher	184.091	T12M10	T12M
Fisher	147.666	T12M11	T12M
Fisher	164.95	T12M12	T12M
Fisher	179.736	T12M13	T12M
Fisher	175.22	T12M14	T12M
Fisher	198.388	T12M15	T12M
Fisher	175.99	T12M16	T12M
Fisher	198.174	T12M17	T12M
Fisher	172.71	T12M18	T12M
Fisher	232.307	T12M19	T12M
Fisher	215.827	T12M20	T12M
Fisher	196.599	T21C01	T21C
Fisher	205.712	T21C02	T21C
Fisher	151.972	T21C03	T21C
Fisher	176.975	T21C04	T21C
Fisher	199.44	T21C05	T21C
Fisher	153.793	T21C06	T21C
Fisher	182.9	T21C07	T21C
Fisher	197.647	T21C08	T21C
Fisher	201.737	T21C09	T21C
Fisher	198.6	T21C10	T21C
Fisher	166.066	T21C11	T21C
Fisher	192.268	T21C12	T21C
Fisher	110.218	T21C13	T21C
Fisher	215.891	T21C14	T21C
Fisher	163.155	T21C15	T21C
Fisher	114.406	T21C16	T21C
Fisher	134.276	T21C17	T21C
Fisher	86.279	T21C18	T21C
Fisher	98.129	T21C19	T21C
Fisher	88.752	T21C20	T21C
Fisher	219.502	T21M01	T21M
Fisher	136.859	T21M02	T21M
Fisher	182.516	T21M03	T21M
Fisher	91.801	T21M04	T21M
Fisher	217.313	T21M05	T21M
Fisher	133.077	T21M06	T21M
Fisher	221.569	T21M07	T21M
Fisher	248.643	T21M08	T21M
Fisher	216.661	T21M09	T21M
Fisher	276.808	T21M10	T21M
Fisher	288.633	T21M11	T21M
Fisher	201.784	T21M12	T21M
Fisher	202.298	T21M13	T21M
Fisher	230.486	T21M14	T21M
Fisher	286.232	T21M15	T21M
Fisher	220.172	T21M16	T21M
Fisher	204.143	T21M17	T21M
Fisher	230.822	T21M18	T21M
Fisher	215.222	T21M19	T21M
Fisher	221.122	T21M20	T21M
Fisher	207.325	T30C01	T30C
Fisher	162.328	T30C02	T30C
Fisher	154.106	T30C03	T30C
Fisher	207.506	T30C04	T30C
Fisher	133.846	T30C05	T30C
Fisher	138.302	T30C06	T30C
Fisher	204.605	T30C07	T30C
Fisher	210.747	T30C08	T30C
Fisher	130.937	T30C09	T30C
Fisher	149.574	T30C10	T30C
Fisher	180.524	T30C11	T30C
Fisher	182.123	T30C12	T30C
Fisher	146.727	T30C13	T30C
Fisher	171.214	T30C14	T30C
Fisher	144.985	T30C15	T30C
Fisher	147.072	T30C16	T30C
Fisher	206.979	T30C17	T30C
Fisher	146.679	T30C18	T30C
Fisher	225.384	T30C19	T30C
Fisher	198.728	T30C20	T30C
Fisher	120.99	T30M01	T30M
Fisher	202.26	T30M02	T30M
Fisher	235.956	T30M03	T30M
Fisher	123.57	T30M04	T30M
Fisher	176.508	T30M05	T30M
Fisher	212.903	T30M06	T30M
Fisher	185.416	T30M07	T30M
Fisher	163.081	T30M08	T30M
Fisher	204.117	T30M09	T30M
Fisher	186.919	T30M10	T30M
Fisher	238.358	T30M11	T30M
Fisher	155.939	T30M12	T30M
Fisher	167.865	T30M13	T30M
Fisher	169.367	T30M14	T30M
Fisher	176.297	T30M15	T30M
Fisher	207.514	T30M16	T30M
Fisher	187.695	T30M17	T30M
Fisher	151.004	T30M18	T30M
Fisher	242.068	T30M19	T30M
Fisher	203.421	T30M20	T30M
PD	82.935	T00C01	T00C
PD	85.621	T00C02	T00C
PD	78.912	T00C03	T00C
PD	78.873	T00C04	T00C
PD	87.989	T00C05	T00C
PD	75.272	T00C06	T00C
PD	88.04	T00C07	T00C
PD	82.302	T00C08	T00C
PD	78.463	T00C09	T00C
PD	85.214	T00C10	T00C
PD	87.958	T00C11	T00C
PD	93.196	T00C12	T00C
PD	54.782	T00C13	T00C
PD	82.399	T00C14	T00C
PD	95.874	T00C15	T00C
PD	91.074	T00C16	T00C
PD	60.645	T00C17	T00C
PD	90.223	T00C18	T00C
PD	99.492	T00C19	T00C
PD	93.863	T00C20	T00C
PD	39.186	T05C01	T05C
PD	47.394	T05C02	T05C
PD	54.016	T05C03	T05C
PD	33.515	T05C04	T05C
PD	53.504	T05C05	T05C
PD	46.698	T05C06	T05C
PD	55.048	T05C07	T05C
PD	42.297	T05C08	T05C
PD	57.744	T05C09	T05C
PD	61.192	T05C10	T05C
PD	47.881	T05C11	T05C
PD	55.029	T05C12	T05C
PD	51.095	T05C13	T05C
PD	51.7	T05C14	T05C
PD	47.764	T05C15	T05C
PD	47.324	T05C16	T05C
PD	49.886	T05C17	T05C
PD	39.12	T05C18	T05C
PD	50.971	T05C19	T05C
PD	38.56	T05C20	T05C
PD	57.014	T05M01	T05M
PD	50.831	T05M02	T05M
PD	51.091	T05M03	T05M
PD	57.381	T05M04	T05M
PD	54.614	T05M05	T05M
PD	63.635	T05M06	T05M
PD	43.405	T05M07	T05M
PD	53.172	T05M08	T05M
PD	60.477	T05M09	T05M
PD	58.791	T05M10	T05M
PD	51.317	T05M11	T05M
PD	60.734	T05M12	T05M
PD	50.068	T05M13	T05M
PD	36.065	T05M14	T05M
PD	39.96	T05M15	T05M
PD	56.539	T05M16	T05M
PD	53.553	T05M17	T05M
PD	50.214	T05M18	T05M
PD	46.987	T05M19	T05M
PD	51.194	T05M20	T05M
PD	41.072	T12C01	T12C
PD	34.903	T12C02	T12C
PD	58.606	T12C03	T12C
PD	62.26	T12C04	T12C
PD	64.878	T12C05	T12C
PD	64.529	T12C06	T12C
PD	63.714	T12C07	T12C
PD	65.228	T12C08	T12C
PD	51.827	T12C09	T12C
PD	44.213	T12C10	T12C
PD	64.028	T12C11	T12C
PD	61.783	T12C12	T12C
PD	55.691	T12C13	T12C
PD	61.497	T12C14	T12C
PD	56.022	T12C15	T12C
PD	60.167	T12C16	T12C
PD	42.671	T12C17	T12C
PD	64.297	T12C18	T12C
PD	60.386	T12C19	T12C
PD	42.613	T12C20	T12C
PD	64.254	T12M01	T12M
PD	65.393	T12M02	T12M
PD	58.402	T12M03	T12M
PD	30.412	T12M04	T12M
PD	59.96	T12M05	T12M
PD	58.237	T12M06	T12M
PD	50.604	T12M07	T12M
PD	49.563	T12M08	T12M
PD	54.71	T12M09	T12M
PD	58.088	T12M10	T12M
PD	52.153	T12M11	T12M
PD	55.622	T12M12	T12M
PD	58.225	T12M13	T12M
PD	57.532	T12M14	T12M
PD	61.267	T12M15	T12M
PD	58.078	T12M16	T12M
PD	62.587	T12M17	T12M
PD	56.823	T12M18	T12M
PD	68.927	T12M19	T12M
PD	65.093	T12M20	T12M
PD	56.289	T21C01	T21C
PD	60.513	T21C02	T21C
PD	49.929	T21C03	T21C
PD	54.94	T21C04	T21C
PD	60.562	T21C05	T21C
PD	54.146	T21C06	T21C
PD	55.585	T21C07	T21C
PD	55.784	T21C08	T21C
PD	57.517	T21C09	T21C
PD	56.719	T21C10	T21C
PD	50.134	T21C11	T21C
PD	58.35	T21C12	T21C
PD	41.265	T21C13	T21C
PD	62.933	T21C14	T21C
PD	51.726	T21C15	T21C
PD	39.843	T21C16	T21C
PD	44.574	T21C17	T21C
PD	32.935	T21C18	T21C
PD	38.027	T21C19	T21C
PD	35.202	T21C20	T21C
PD	68.063	T21M01	T21M
PD	50.62	T21M02	T21M
PD	59.36	T21M03	T21M
PD	38.904	T21M04	T21M
PD	67.765	T21M05	T21M
PD	51.678	T21M06	T21M
PD	66.42	T21M07	T21M
PD	72.253	T21M08	T21M
PD	67.005	T21M09	T21M
PD	76.85	T21M10	T21M
PD	79.21	T21M11	T21M
PD	62.528	T21M12	T21M
PD	63.524	T21M13	T21M
PD	66.653	T21M14	T21M
PD	78.632	T21M15	T21M
PD	67.26	T21M16	T21M
PD	63.457	T21M17	T21M
PD	68.137	T21M18	T21M
PD	66.372	T21M19	T21M
PD	67.429	T21M20	T21M
PD	62.175	T30C01	T30C
PD	51.913	T30C02	T30C
PD	51.764	T30C03	T30C
PD	62.837	T30C04	T30C
PD	47.87	T30C05	T30C
PD	49.24	T30C06	T30C
PD	61.144	T30C07	T30C
PD	60.496	T30C08	T30C
PD	47.861	T30C09	T30C
PD	52.774	T30C10	T30C
PD	56.654	T30C11	T30C
PD	55.214	T30C12	T30C
PD	50.579	T30C13	T30C
PD	56.354	T30C14	T30C
PD	47.631	T30C15	T30C
PD	51.499	T30C16	T30C
PD	59.803	T30C17	T30C
PD	47.898	T30C18	T30C
PD	64.614	T30C19	T30C
PD	60.284	T30C20	T30C
PD	46.723	T30M01	T30M
PD	62.516	T30M02	T30M
PD	66.972	T30M03	T30M
PD	47.449	T30M04	T30M
PD	56.1	T30M05	T30M
PD	64.87	T30M06	T30M
PD	60.124	T30M07	T30M
PD	55.682	T30M08	T30M
PD	63.151	T30M09	T30M
PD	59.453	T30M10	T30M
PD	67.456	T30M11	T30M
PD	54.207	T30M12	T30M
PD	56.415	T30M13	T30M
PD	56.368	T30M14	T30M
PD	59.005	T30M15	T30M
PD	64.847	T30M16	T30M
PD	60.426	T30M17	T30M
PD	52.766	T30M18	T30M
PD	69.218	T30M19	T30M
PD	61.88	T30M20	T30M
