Compares	diff	lwr	upr	p.adj
T05C-T00C	-680.199999999997	-842.986013865328	-517.413986134667	0
T05M-T00C	-649.400000000001	-812.186013865332	-486.613986134671	0
T12C-T00C	-522.3	-685.08601386533	-359.51398613467	6.66133814775094e-14
T12M-T00C	-575.650000000001	-738.436013865331	-412.86398613467	3.00870439673417e-14
T21C-T00C	-631.2	-793.98601386533	-468.413986134669	0
T21M-T00C	-442.8	-605.58601386533	-280.013986134669	3.18745030369882e-13
T30C-T00C	-586.450000000001	-749.236013865331	-423.66398613467	1.73194791841524e-14
T30M-T00C	-539	-701.78601386533	-376.21398613467	6.40598685208715e-14
T05M-T05C	30.799999999996	-131.986013865334	193.586013865326	0.999617573720443
T12C-T05C	157.899999999997	-4.88601386533307	320.686013865328	0.0650034296553269
T12M-T05C	104.549999999997	-58.2360138653337	267.336013865327	0.533125021216222
T21C-T05C	48.9999999999977	-113.786013865333	211.786013865328	0.989887453689826
T21M-T05C	237.399999999997	74.6139861346672	400.186013865328	0.000298612512670826
T30C-T05C	93.7499999999968	-69.0360138653335	256.536013865327	0.675893942833248
T30M-T05C	141.199999999997	-21.5860138653329	303.986013865328	0.146837125691995
T12C-T05M	127.100000000001	-35.686013865329	289.886013865332	0.262685934995184
T12M-T05M	73.7500000000007	-89.0360138653296	236.536013865331	0.887371297026995
T21C-T05M	18.2000000000018	-144.586013865329	180.986013865332	0.999993108157035
T21M-T05M	206.600000000002	43.8139861346712	369.386013865332	0.00311017508191747
T30C-T05M	62.9500000000008	-99.8360138653295	225.736013865331	0.952253728961362
T30M-T05M	110.400000000001	-52.3860138653289	273.186013865332	0.456007012583363
T12M-T12C	-53.3500000000006	-216.136013865331	109.43601386533	0.982482410222009
T21C-T12C	-108.9	-271.68601386533	53.8860138653308	0.475528859905331
T21M-T12C	79.5000000000002	-83.2860138653301	242.286013865331	0.837722869017045
T30C-T12C	-64.1500000000004	-226.936013865331	98.6360138653299	0.946806899105567
T30M-T12C	-16.6999999999998	-179.48601386533	146.086013865331	0.99999647908061
T21C-T12M	-55.5499999999989	-218.336013865329	107.236013865331	0.97742830542596
T21M-T12M	132.850000000001	-29.9360138653295	295.636013865331	0.209791673054984
T30C-T12M	-10.7999999999998	-173.58601386533	151.98601386533	0.999999886609854
T30M-T12M	36.6500000000008	-126.13601386533	199.436013865331	0.998638316429753
T21M-T21C	188.4	25.6139861346694	351.18601386533	0.0107546961172257
T30C-T21C	44.7499999999991	-118.036013865331	207.536013865329	0.994489557271267
T30M-T21C	92.1999999999997	-70.5860138653306	254.98601386533	0.695542067936692
T30C-T21M	-143.650000000001	-306.436013865331	19.1360138653297	0.13137343340999
T30M-T21M	-96.2	-258.98601386533	66.5860138653303	0.644195179901347
T30M-T30C	47.4500000000006	-115.33601386533	210.236013865331	0.991825653802867
