NMDS1	NMDS2	dclass	TaxLevel
-0.472594794160776	-0.42900782916254	T00C	OTU
-0.421202679798459	-0.41111936556652	T00C	OTU
-0.500166824415471	-0.424442380905616	T00C	OTU
-0.381784639511433	-0.358251301548788	T00C	OTU
-0.499511471015096	-0.388270594119932	T00C	OTU
-0.395141579783026	-0.370206823703341	T00C	OTU
-0.469497528089347	-0.373657481660811	T00C	OTU
-0.449578512146758	-0.366512545563981	T00C	OTU
-0.400134113820704	-0.405577773322555	T00C	OTU
-0.46437160020349	-0.418550919355713	T00C	OTU
-0.456085852049195	-0.4299991373958	T00C	OTU
-0.438056413697163	-0.459902047767128	T00C	OTU
-0.123853153322949	-0.490997551091465	T00C	OTU
-0.396236415080241	-0.385862833450541	T00C	OTU
-0.447195174759881	-0.480377692497621	T00C	OTU
-0.414384112661868	-0.409093532552119	T00C	OTU
-0.210857232094205	-0.437305710440036	T00C	OTU
-0.416999227226017	-0.394077954062195	T00C	OTU
-0.44275619031168	-0.49192607080003	T00C	OTU
-0.443256420505917	-0.409182972213979	T00C	OTU
0.414225390157473	0.413812763754145	T05C	OTU
0.164978517752756	0.284286518807588	T05C	OTU
0.122721799613835	0.0643511588364763	T05C	OTU
0.370761235118976	0.790474424718766	T05C	OTU
0.0882443888259677	0.0189188417483818	T05C	OTU
0.245291231651598	0.25593166183682	T05C	OTU
0.0751000802240217	-0.0103006103693086	T05C	OTU
0.288330887637058	0.355182479612265	T05C	OTU
0.0510072251795819	-0.024905864343537	T05C	OTU
0.0307437104847379	-0.0429371383783808	T05C	OTU
0.210796994513463	0.177357733261062	T05C	OTU
0.124396619033799	0.0137470335458633	T05C	OTU
0.126172104324815	0.123545806117098	T05C	OTU
0.148895372021703	0.0325322108007847	T05C	OTU
0.215452030638996	0.21731154952709	T05C	OTU
0.157386410108757	0.29818787317367	T05C	OTU
-0.0116226252038916	0.0952203753548247	T05C	OTU
0.348093241759687	0.53361704937884	T05C	OTU
0.0762052477325702	0.0560808071392485	T05C	OTU
0.400432002882337	0.547368775479129	T05C	OTU
-0.304121351213789	0.00131519420433004	T05M	OTU
-0.273356472496221	0.102538043233592	T05M	OTU
-0.279260904918195	0.172030587797948	T05M	OTU
-0.307257956418007	-0.0242679915306879	T05M	OTU
-0.27390561812133	0.0362631412066841	T05M	OTU
-0.321470002784167	-0.0717655730579499	T05M	OTU
-0.215983939506312	0.379557604352509	T05M	OTU
-0.277617469757311	0.0790760452355438	T05M	OTU
-0.322032557706243	-0.055486364685343	T05M	OTU
-0.297217509812728	-0.0268821652421666	T05M	OTU
-0.312251478236051	0.164630261379	T05M	OTU
-0.313535564783833	-0.0627764754003938	T05M	OTU
-0.300227881246802	0.228136049823898	T05M	OTU
-0.217783843587267	0.642753887609692	T05M	OTU
-0.197816807272477	0.581036396673067	T05M	OTU
-0.310951548489428	0.0123322452694673	T05M	OTU
-0.281307784704897	0.0252745527745346	T05M	OTU
-0.275946059295458	0.202351189764519	T05M	OTU
-0.289495776379178	0.35637454935138	T05M	OTU
