Modu1	Modu2	Both	M1nodes	M2nodes	Pvalues	DF1vsDF2
M4	M2	9	14	62	0.000991287272892815	D05M_D21M
M4	M4	2	14	78	0.954172052421849	D05M_D21M
M4	M1	3	14	71	0.779928970170173	D05M_D21M
M4	M3	0	14	9	1	D05M_D21M
M4	M6	0	14	7	1	D05M_D21M
M4	M5	0	14	5	1	D05M_D21M
M7	M2	0	6	62	1	D05M_D21M
M7	M4	0	6	78	1	D05M_D21M
M7	M1	0	6	71	1	D05M_D21M
M7	M3	0	6	9	1	D05M_D21M
M7	M6	3	6	7	0.000225525721866273	D05M_D21M
M7	M5	0	6	5	1	D05M_D21M
M5	M1	0	8	32	1	D05M_D30M
M5	M6	0	8	11	1	D05M_D30M
M5	M4	0	8	15	1	D05M_D30M
M5	M3	0	8	36	1	D05M_D30M
M5	M7	5	8	6	1.34156709066424e-07	D05M_D30M
M5	M5	0	8	18	1	D05M_D30M
M5	M2	0	8	25	1	D05M_D30M
M3	M1	1	15	32	0.935203015251418	D05M_D30M
M3	M6	0	15	11	1	D05M_D30M
M3	M4	1	15	15	0.70502250516868	D05M_D30M
M3	M3	1	15	36	0.95569012669933	D05M_D30M
M3	M7	0	15	6	1	D05M_D30M
M3	M5	0	15	18	1	D05M_D30M
M3	M2	4	15	25	0.101196087738156	D05M_D30M
M1	M1	18	38	32	1.88248375987041e-07	D05M_D30M
M1	M6	0	38	11	1	D05M_D30M
M1	M4	3	38	15	0.574208395419533	D05M_D30M
M1	M3	4	38	36	0.950065025664446	D05M_D30M
M1	M7	0	38	6	1	D05M_D30M
M1	M5	0	38	18	1	D05M_D30M
M1	M2	5	38	25	0.542113371729761	D05M_D30M
M2	M1	2	41	32	0.99662457668016	D05M_D30M
M2	M6	0	41	11	1	D05M_D30M
M2	M4	2	41	15	0.856782334490794	D05M_D30M
M2	M3	3	41	36	0.992297613053984	D05M_D30M
M2	M7	0	41	6	1	D05M_D30M
M2	M5	0	41	18	1	D05M_D30M
M2	M2	7	41	25	0.231963116466023	D05M_D30M
M4	M1	2	14	32	0.693725482070726	D05M_D30M
M4	M6	0	14	11	1	D05M_D30M
M4	M4	0	14	15	1	D05M_D30M
M4	M3	4	14	36	0.232442242812032	D05M_D30M
M4	M7	0	14	6	1	D05M_D30M
M4	M5	0	14	18	1	D05M_D30M
M4	M2	0	14	25	1	D05M_D30M
M7	M1	0	6	32	1	D05M_D30M
M7	M6	4	6	11	7.36593140686527e-05	D05M_D30M
M7	M4	0	6	15	1	D05M_D30M
M7	M3	0	6	36	1	D05M_D30M
M7	M7	0	6	6	1	D05M_D30M
M7	M5	0	6	18	1	D05M_D30M
M7	M2	0	6	25	1	D05M_D30M
M2	M1	14	109	33	0.0387821415992423	D12C_D12M
M2	M3	17	109	64	0.622972943992413	D12C_D12M
M2	M2	21	109	44	0.00186866442273144	D12C_D12M
M2	M7	1	109	16	0.99477177117172	D12C_D12M
M2	M4	6	109	19	0.426823352106256	D12C_D12M
M2	M5	0	109	10	1	D12C_D12M
M2	M6	1	109	6	0.856341136730602	D12C_D12M
M3	M1	0	82	33	1	D12C_D12M
M3	M3	0	82	64	1	D12C_D12M
M3	M2	0	82	44	1	D12C_D12M
M3	M7	5	82	16	0.21814367618742	D12C_D12M
M3	M4	0	82	19	1	D12C_D12M
M3	M5	0	82	10	1	D12C_D12M
M3	M6	0	82	6	1	D12C_D12M
M1	M1	4	83	33	0.943641001958074	D12C_D12M
M1	M3	11	83	64	0.832877632423546	D12C_D12M
M1	M2	8	83	44	0.742218169395363	D12C_D12M
M1	M7	0	83	16	1	D12C_D12M
M1	M4	1	83	19	0.989686987211222	D12C_D12M
M1	M5	0	83	10	1	D12C_D12M
M1	M6	0	83	6	1	D12C_D12M
M7	M1	0	6	33	1	D12C_D12M
M7	M3	0	6	64	1	D12C_D12M
M7	M2	0	6	44	1	D12C_D12M
M7	M7	0	6	16	1	D12C_D12M
M7	M4	0	6	19	1	D12C_D12M
M7	M5	0	6	10	1	D12C_D12M
M7	M6	0	6	6	1	D12C_D12M
M4	M1	0	6	33	1	D12C_D12M
M4	M3	0	6	64	1	D12C_D12M
M4	M2	2	6	44	0.135008676386319	D12C_D12M
M4	M7	0	6	16	1	D12C_D12M
M4	M4	0	6	19	1	D12C_D12M
M4	M5	0	6	10	1	D12C_D12M
M4	M6	0	6	6	1	D12C_D12M
M5	M1	1	9	33	0.545877125779642	D12C_D12M
M5	M3	0	9	64	1	D12C_D12M
M5	M2	0	9	44	1	D12C_D12M
M5	M7	0	9	16	1	D12C_D12M
M5	M4	0	9	19	1	D12C_D12M
M5	M5	0	9	10	1	D12C_D12M
M5	M6	0	9	6	1	D12C_D12M
M6	M1	0	6	33	1	D12C_D12M
M6	M3	2	6	64	0.249514138521283	D12C_D12M
M6	M2	0	6	44	1	D12C_D12M
M6	M7	0	6	16	1	D12C_D12M
M6	M4	2	6	19	0.0290537280067476	D12C_D12M
M6	M5	0	6	10	1	D12C_D12M
M6	M6	0	6	6	1	D12C_D12M
M2	M1	2	109	76	0.999999999986594	D12C_D21C
M2	M2	47	109	73	5.28091841829275e-13	D12C_D21C
M2	M8	0	109	9	1	D12C_D21C
M2	M6	0	109	18	1	D12C_D21C
M2	M5	5	109	15	0.426040882216844	D12C_D21C
M2	M10	1	109	5	0.81261068512322	D12C_D21C
M2	M3	8	109	27	0.514200755702072	D12C_D21C
M2	M4	4	109	14	0.594447623215626	D12C_D21C
M2	M9	0	109	6	1	D12C_D21C
M2	M11	0	109	5	1	D12C_D21C
M2	M7	2	109	8	0.71262504492251	D12C_D21C
M3	M1	34	82	76	1.68085713593016e-07	D12C_D21C
M3	M2	1	82	73	0.999999997064007	D12C_D21C
M3	M8	4	82	9	0.101261706040303	D12C_D21C
M3	M6	6	82	18	0.161645950963155	D12C_D21C
M3	M5	1	82	15	0.97448884254908	D12C_D21C
M3	M10	1	82	5	0.700201508228784	D12C_D21C
M3	M3	4	82	27	0.86630217200623	D12C_D21C
M3	M4	2	82	14	0.837607069827574	D12C_D21C
M3	M9	0	82	6	1	D12C_D21C
M3	M11	0	82	5	1	D12C_D21C
M3	M7	1	82	8	0.855728927042023	D12C_D21C
M1	M1	15	83	76	0.717120901075608	D12C_D21C
M1	M2	10	83	73	0.979421929450489	D12C_D21C
M1	M8	0	83	9	1	D12C_D21C
M1	M6	1	83	18	0.988709923012902	D12C_D21C
M1	M5	5	83	15	0.202920030648481	D12C_D21C
M1	M10	2	83	5	0.294533582069714	D12C_D21C
M1	M3	3	83	27	0.955953084766006	D12C_D21C
M1	M4	5	83	14	0.161687121893401	D12C_D21C
M1	M9	1	83	6	0.769550414167942	D12C_D21C
M1	M11	0	83	5	1	D12C_D21C
M1	M7	0	83	8	1	D12C_D21C
M7	M1	3	6	76	0.0941080364032627	D12C_D21C
M7	M2	0	6	73	1	D12C_D21C
M7	M8	0	6	9	1	D12C_D21C
M7	M6	0	6	18	1	D12C_D21C
M7	M5	0	6	15	1	D12C_D21C
M7	M10	0	6	5	1	D12C_D21C
M7	M3	0	6	27	1	D12C_D21C
M7	M4	0	6	14	1	D12C_D21C
M7	M9	0	6	6	1	D12C_D21C
M7	M11	0	6	5	1	D12C_D21C
M7	M7	0	6	8	1	D12C_D21C
M4	M1	1	6	76	0.735284264529815	D12C_D21C
M4	M2	0	6	73	1	D12C_D21C
M4	M8	0	6	9	1	D12C_D21C
M4	M6	0	6	18	1	D12C_D21C
M4	M5	0	6	15	1	D12C_D21C
M4	M10	0	6	5	1	D12C_D21C
M4	M3	0	6	27	1	D12C_D21C
M4	M4	0	6	14	1	D12C_D21C
M4	M9	0	6	6	1	D12C_D21C
M4	M11	0	6	5	1	D12C_D21C
M4	M7	0	6	8	1	D12C_D21C
M5	M1	0	9	76	1	D12C_D21C
M5	M2	0	9	73	1	D12C_D21C
M5	M8	0	9	9	1	D12C_D21C
M5	M6	0	9	18	1	D12C_D21C
M5	M5	0	9	15	1	D12C_D21C
M5	M10	0	9	5	1	D12C_D21C
M5	M3	0	9	27	1	D12C_D21C
M5	M4	0	9	14	1	D12C_D21C
M5	M9	0	9	6	1	D12C_D21C
M5	M11	0	9	5	1	D12C_D21C
M5	M7	0	9	8	1	D12C_D21C
M6	M1	0	6	76	1	D12C_D21C
M6	M2	0	6	73	1	D12C_D21C
M6	M8	0	6	9	1	D12C_D21C
M6	M6	0	6	18	1	D12C_D21C
M6	M5	0	6	15	1	D12C_D21C
M6	M10	0	6	5	1	D12C_D21C
M6	M3	2	6	27	0.0596762143456528	D12C_D21C
M6	M4	0	6	14	1	D12C_D21C
M6	M9	0	6	6	1	D12C_D21C
M6	M11	0	6	5	1	D12C_D21C
M6	M7	1	6	8	0.119111026599968	D12C_D21C
M2	M5	0	109	64	1	D12C_D30C
M2	M3	32	109	68	0.00057327404272301	D12C_D30C
M2	M4	1	109	6	0.880554274050672	D12C_D30C
M2	M1	0	109	16	1	D12C_D30C
M2	M2	0	109	10	1	D12C_D30C
M3	M5	23	82	64	0.00430354202191362	D12C_D30C
M3	M3	2	82	68	0.999999880123889	D12C_D30C
M3	M4	1	82	6	0.782241430213621	D12C_D30C
M3	M1	4	82	16	0.494370420455024	D12C_D30C
M3	M2	3	82	10	0.391783560992528	D12C_D30C
M1	M5	10	83	64	0.951974176184137	D12C_D30C
M1	M3	12	83	68	0.893385230198003	D12C_D30C
M1	M4	0	83	6	1	D12C_D30C
M1	M1	1	83	16	0.984817870771009	D12C_D30C
M1	M2	1	83	10	0.925149900461323	D12C_D30C
M7	M5	1	6	64	0.684945090042538	D12C_D30C
M7	M3	0	6	68	1	D12C_D30C
M7	M4	0	6	6	1	D12C_D30C
M7	M1	0	6	16	1	D12C_D30C
M7	M2	0	6	10	1	D12C_D30C
M4	M5	1	6	64	0.684945090042538	D12C_D30C
M4	M3	1	6	68	0.709207606579247	D12C_D30C
M4	M4	0	6	6	1	D12C_D30C
M4	M1	0	6	16	1	D12C_D30C
M4	M2	0	6	10	1	D12C_D30C
M5	M5	0	9	64	1	D12C_D30C
M5	M3	0	9	68	1	D12C_D30C
M5	M4	0	9	6	1	D12C_D30C
M5	M1	0	9	16	1	D12C_D30C
M5	M2	0	9	10	1	D12C_D30C
M6	M5	0	6	64	1	D12C_D30C
M6	M3	4	6	68	0.0120089029704199	D12C_D30C
M6	M4	0	6	6	1	D12C_D30C
M6	M1	0	6	16	1	D12C_D30C
M6	M2	0	6	10	1	D12C_D30C
M1	M2	6	33	62	0.704194022616125	D12M_D21M
M1	M4	10	33	78	0.323762002811893	D12M_D21M
M1	M1	7	33	71	0.69224438164126	D12M_D21M
M1	M3	1	33	9	0.64967425181343	D12M_D21M
M1	M6	0	33	7	1	D12M_D21M
M1	M5	0	33	5	1	D12M_D21M
M3	M2	8	64	62	0.977886907023596	D12M_D21M
M3	M4	17	64	78	0.483774664134063	D12M_D21M
M3	M1	15	64	71	0.55234767437055	D12M_D21M
M3	M3	3	64	9	0.28850789199202	D12M_D21M
M3	M6	1	64	7	0.812400442092768	D12M_D21M
M3	M5	0	64	5	1	D12M_D21M
M2	M2	7	44	62	0.84172775838579	D12M_D21M
M2	M4	10	44	78	0.743746843680602	D12M_D21M
M2	M1	14	44	71	0.109005392993461	D12M_D21M
M2	M3	3	44	9	0.126855570768451	D12M_D21M
M2	M6	0	44	7	1	D12M_D21M
M2	M5	0	44	5	1	D12M_D21M
M7	M2	0	16	62	1	D12M_D21M
M7	M4	1	16	78	0.992446976290525	D12M_D21M
M7	M1	0	16	71	1	D12M_D21M
M7	M3	0	16	9	1	D12M_D21M
M7	M6	4	16	7	0.000165587508966368	D12M_D21M
M7	M5	1	16	5	0.238284641647593	D12M_D21M
M4	M2	6	19	62	0.167789720070584	D12M_D21M
M4	M4	1	19	78	0.997083181900812	D12M_D21M
M4	M1	4	19	71	0.687701507519895	D12M_D21M
M4	M3	0	19	9	1	D12M_D21M
M4	M6	0	19	7	1	D12M_D21M
M4	M5	1	19	5	0.2774063206138	D12M_D21M
M5	M2	0	10	62	1	D12M_D21M
M5	M4	0	10	78	1	D12M_D21M
M5	M1	0	10	71	1	D12M_D21M
M5	M3	0	10	9	1	D12M_D21M
M5	M6	0	10	7	1	D12M_D21M
M5	M5	0	10	5	1	D12M_D21M
M6	M2	0	6	62	1	D12M_D21M
M6	M4	0	6	78	1	D12M_D21M
M6	M1	0	6	71	1	D12M_D21M
M6	M3	0	6	9	1	D12M_D21M
M6	M6	0	6	7	1	D12M_D21M
M6	M5	0	6	5	1	D12M_D21M
M1	M1	7	33	32	0.10174437220266	D12M_D30M
M1	M6	0	33	11	1	D12M_D30M
M1	M4	1	33	15	0.885920781529279	D12M_D30M
M1	M3	7	33	36	0.168573604108538	D12M_D30M
M1	M7	0	33	6	1	D12M_D30M
M1	M5	0	33	18	1	D12M_D30M
M1	M2	2	33	25	0.870921835445409	D12M_D30M
M3	M1	9	64	32	0.425422846977028	D12M_D30M
M3	M6	0	64	11	1	D12M_D30M
M3	M4	6	64	15	0.150477602320782	D12M_D30M
M3	M3	3	64	36	0.998752215620496	D12M_D30M
M3	M7	1	64	6	0.831115112439833	D12M_D30M
M3	M5	0	64	18	1	D12M_D30M
M3	M2	6	64	25	0.648874667831593	D12M_D30M
M2	M1	9	44	32	0.0779862404084925	D12M_D30M
M2	M6	0	44	11	1	D12M_D30M
M2	M4	1	44	15	0.948718910508569	D12M_D30M
M2	M3	6	44	36	0.632550670029241	D12M_D30M
M2	M7	0	44	6	1	D12M_D30M
M2	M5	0	44	18	1	D12M_D30M
M2	M2	7	44	25	0.120422501053222	D12M_D30M
M7	M1	0	16	32	1	D12M_D30M
M7	M6	5	16	11	0.000197380909763834	D12M_D30M
M7	M4	1	16	15	0.637010224437181	D12M_D30M
M7	M3	0	16	36	1	D12M_D30M
M7	M7	5	16	6	3.10117016201631e-06	D12M_D30M
M7	M5	0	16	18	1	D12M_D30M
M7	M2	0	16	25	1	D12M_D30M
M4	M1	0	19	32	1	D12M_D30M
M4	M6	0	19	11	1	D12M_D30M
M4	M4	0	19	15	1	D12M_D30M
M4	M3	3	19	36	0.529284959949331	D12M_D30M
M4	M7	0	19	6	1	D12M_D30M
M4	M5	0	19	18	1	D12M_D30M
M4	M2	3	19	25	0.287740331567381	D12M_D30M
M5	M1	0	10	32	1	D12M_D30M
M5	M6	0	10	11	1	D12M_D30M
M5	M4	0	10	15	1	D12M_D30M
M5	M3	0	10	36	1	D12M_D30M
M5	M7	0	10	6	1	D12M_D30M
M5	M5	0	10	18	1	D12M_D30M
M5	M2	0	10	25	1	D12M_D30M
M6	M1	0	6	32	1	D12M_D30M
M6	M6	0	6	11	1	D12M_D30M
M6	M4	0	6	15	1	D12M_D30M
M6	M3	0	6	36	1	D12M_D30M
M6	M7	0	6	6	1	D12M_D30M
M6	M5	1	6	18	0.361923412778	D12M_D30M
M6	M2	0	6	25	1	D12M_D30M
M1	M2	1	76	62	0.999999682009195	D21C_D21M
M1	M4	2	76	78	0.99999989623951	D21C_D21M
M1	M1	3	76	71	0.999992565997874	D21C_D21M
M1	M3	1	76	9	0.86420846157441	D21C_D21M
M1	M6	1	76	7	0.787404461150888	D21C_D21M
M1	M5	1	76	5	0.668037293846264	D21C_D21M
M2	M2	11	73	62	0.659995496577315	D21C_D21M
M2	M4	20	73	78	0.0649258604047947	D21C_D21M
M2	M1	22	73	71	0.00461212734937679	D21C_D21M
M2	M3	3	73	9	0.231819773690308	D21C_D21M
M2	M6	0	73	7	1	D21C_D21M
M2	M5	0	73	5	1	D21C_D21M
M8	M2	0	9	62	1	D21C_D21M
M8	M4	1	9	78	0.871991064622291	D21C_D21M
M8	M1	0	9	71	1	D21C_D21M
M8	M3	0	9	9	1	D21C_D21M
M8	M6	1	9	7	0.153342463390125	D21C_D21M
M8	M5	0	9	5	1	D21C_D21M
M6	M2	0	18	62	1	D21C_D21M
M6	M4	0	18	78	1	D21C_D21M
M6	M1	0	18	71	1	D21C_D21M
M6	M3	0	18	9	1	D21C_D21M
M6	M6	0	18	7	1	D21C_D21M
M6	M5	0	18	5	1	D21C_D21M
M5	M2	0	15	62	1	D21C_D21M
M5	M4	4	15	78	0.358747210495355	D21C_D21M
M5	M1	2	15	71	0.79800570966224	D21C_D21M
M5	M3	0	15	9	1	D21C_D21M
M5	M6	0	15	7	1	D21C_D21M
M5	M5	0	15	5	1	D21C_D21M
M10	M2	0	5	62	1	D21C_D21M
M10	M4	1	5	78	0.678676457724456	D21C_D21M
M10	M1	1	5	71	0.640202511898629	D21C_D21M
M10	M3	0	5	9	1	D21C_D21M
M10	M6	0	5	7	1	D21C_D21M
M10	M5	0	5	5	1	D21C_D21M
M3	M2	4	27	62	0.658580378283627	D21C_D21M
M3	M4	3	27	78	0.938320136531812	D21C_D21M
M3	M1	8	27	71	0.0998989233435088	D21C_D21M
M3	M3	0	27	9	1	D21C_D21M
M3	M6	0	27	7	1	D21C_D21M
M3	M5	0	27	5	1	D21C_D21M
M4	M2	2	14	62	0.688072526963027	D21C_D21M
M4	M4	3	14	78	0.562780322852127	D21C_D21M
M4	M1	3	14	71	0.492054771644803	D21C_D21M
M4	M3	0	14	9	1	D21C_D21M
M4	M6	0	14	7	1	D21C_D21M
M4	M5	0	14	5	1	D21C_D21M
M9	M2	0	6	62	1	D21C_D21M
M9	M4	0	6	78	1	D21C_D21M
M9	M1	0	6	71	1	D21C_D21M
M9	M3	0	6	9	1	D21C_D21M
M9	M6	0	6	7	1	D21C_D21M
M9	M5	0	6	5	1	D21C_D21M
M11	M2	0	5	62	1	D21C_D21M
M11	M4	0	5	78	1	D21C_D21M
M11	M1	0	5	71	1	D21C_D21M
M11	M3	0	5	9	1	D21C_D21M
M11	M6	0	5	7	1	D21C_D21M
M11	M5	0	5	5	1	D21C_D21M
M7	M2	1	8	62	0.757033553186374	D21C_D21M
M7	M4	2	8	78	0.504337494409569	D21C_D21M
M7	M1	1	8	71	0.806544431772728	D21C_D21M
M7	M3	0	8	9	1	D21C_D21M
M7	M6	0	8	7	1	D21C_D21M
M7	M5	0	8	5	1	D21C_D21M
M1	M5	27	76	64	0.000361279400433098	D21C_D30C
M1	M3	4	76	68	0.999998737215239	D21C_D30C
M1	M4	1	76	6	0.819111219731778	D21C_D30C
M1	M1	3	76	16	0.799849106779504	D21C_D30C
M1	M2	2	76	10	0.75135128370115	D21C_D30C
M2	M5	1	73	64	0.999999997095111	D21C_D30C
M2	M3	30	73	68	1.58596131173465e-05	D21C_D30C
M2	M4	2	73	6	0.433860671438961	D21C_D30C
M2	M1	0	73	16	1	D21C_D30C
M2	M2	0	73	10	1	D21C_D30C
M8	M5	0	9	64	1	D21C_D30C
M8	M3	0	9	68	1	D21C_D30C
M8	M4	0	9	6	1	D21C_D30C
M8	M1	0	9	16	1	D21C_D30C
M8	M2	1	9	10	0.259218834044448	D21C_D30C
M6	M5	9	18	64	0.00417591606891864	D21C_D30C
M6	M3	1	18	68	0.990145583331978	D21C_D30C
M6	M4	0	18	6	1	D21C_D30C
M6	M1	5	18	16	0.00110103477166254	D21C_D30C
M6	M2	0	18	10	1	D21C_D30C
M5	M5	3	15	64	0.63361489866139	D21C_D30C
M5	M3	2	15	68	0.880455295115037	D21C_D30C
M5	M4	0	15	6	1	D21C_D30C
M5	M1	1	15	16	0.558114606599717	D21C_D30C
M5	M2	0	15	10	1	D21C_D30C
M10	M5	0	5	64	1	D21C_D30C
M10	M3	0	5	68	1	D21C_D30C
M10	M4	0	5	6	1	D21C_D30C
M10	M1	0	5	16	1	D21C_D30C
M10	M2	0	5	10	1	D21C_D30C
M3	M5	0	27	64	1	D21C_D30C
M3	M3	11	27	68	0.0172553625746172	D21C_D30C
M3	M4	0	27	6	1	D21C_D30C
M3	M1	0	27	16	1	D21C_D30C
M3	M2	1	27	10	0.604890500912099	D21C_D30C
M4	M5	1	14	64	0.96416121220284	D21C_D30C
M4	M3	3	14	68	0.629072121163299	D21C_D30C
M4	M4	0	14	6	1	D21C_D30C
M4	M1	0	14	16	1	D21C_D30C
M4	M2	0	14	10	1	D21C_D30C
M9	M5	0	6	64	1	D21C_D30C
M9	M3	0	6	68	1	D21C_D30C
M9	M4	0	6	6	1	D21C_D30C
M9	M1	1	6	16	0.275081190821702	D21C_D30C
M9	M2	0	6	10	1	D21C_D30C
M11	M5	0	5	64	1	D21C_D30C
M11	M3	0	5	68	1	D21C_D30C
M11	M4	0	5	6	1	D21C_D30C
M11	M1	0	5	16	1	D21C_D30C
M11	M2	0	5	10	1	D21C_D30C
M7	M5	0	8	64	1	D21C_D30C
M7	M3	2	8	68	0.556474128186188	D21C_D30C
M7	M4	0	8	6	1	D21C_D30C
M7	M1	0	8	16	1	D21C_D30C
M7	M2	0	8	10	1	D21C_D30C
M2	M1	5	62	32	0.866357248647608	D21M_D30M
M2	M6	0	62	11	1	D21M_D30M
M2	M4	0	62	15	1	D21M_D30M
M2	M3	8	62	36	0.535318330808803	D21M_D30M
M2	M7	0	62	6	1	D21M_D30M
M2	M5	0	62	18	1	D21M_D30M
M2	M2	4	62	25	0.832665763196717	D21M_D30M
M4	M1	11	78	32	0.220532058513905	D21M_D30M
M4	M6	0	78	11	1	D21M_D30M
M4	M4	5	78	15	0.385863717420046	D21M_D30M
M4	M3	8	78	36	0.818845741668079	D21M_D30M
M4	M7	0	78	6	1	D21M_D30M
M4	M5	0	78	18	1	D21M_D30M
M4	M2	5	78	25	0.861330863293181	D21M_D30M
M1	M1	10	71	32	0.241064240770846	D21M_D30M
M1	M6	0	71	11	1	D21M_D30M
M1	M4	2	71	15	0.922082988301443	D21M_D30M
M1	M3	7	71	36	0.839857373694155	D21M_D30M
M1	M7	0	71	6	1	D21M_D30M
M1	M5	0	71	18	1	D21M_D30M
M1	M2	11	71	25	0.0220351324209378	D21M_D30M
M3	M1	1	9	32	0.660420517571538	D21M_D30M
M3	M6	0	9	11	1	D21M_D30M
M3	M4	0	9	15	1	D21M_D30M
M3	M3	3	9	36	0.0895088189252629	D21M_D30M
M3	M7	0	9	6	1	D21M_D30M
M3	M5	0	9	18	1	D21M_D30M
M3	M2	0	9	25	1	D21M_D30M
M6	M1	0	7	32	1	D21M_D30M
M6	M6	4	7	11	3.92904441948338e-05	D21M_D30M
M6	M4	0	7	15	1	D21M_D30M
M6	M3	0	7	36	1	D21M_D30M
M6	M7	1	7	6	0.138843861389174	D21M_D30M
M6	M5	1	7	18	0.36768639301172	D21M_D30M
M6	M2	0	7	25	1	D21M_D30M
M5	M1	0	5	32	1	D21M_D30M
M5	M6	1	5	11	0.178653663545387	D21M_D30M
M5	M4	0	5	15	1	D21M_D30M
M5	M3	0	5	36	1	D21M_D30M
M5	M7	0	5	6	1	D21M_D30M
M5	M5	1	5	18	0.278347234056843	D21M_D30M
M5	M2	0	5	25	1	D21M_D30M
M5	M1	0	64	32	1	D30C_D30M
M5	M6	0	64	11	1	D30C_D30M
M5	M4	0	64	15	1	D30C_D30M
M5	M3	0	64	36	1	D30C_D30M
M5	M7	0	64	6	1	D30C_D30M
M5	M5	0	64	18	1	D30C_D30M
M5	M2	0	64	25	1	D30C_D30M
M3	M1	17	68	32	0.000392290884655479	D30C_D30M
M3	M6	0	68	11	1	D30C_D30M
M3	M4	3	68	15	0.794205244730694	D30C_D30M
M3	M3	9	68	36	0.621126315485447	D30C_D30M
M3	M7	0	68	6	1	D30C_D30M
M3	M5	0	68	18	1	D30C_D30M
M3	M2	12	68	25	0.0102738696369541	D30C_D30M
M4	M1	0	6	32	1	D30C_D30M
M4	M6	0	6	11	1	D30C_D30M
M4	M4	0	6	15	1	D30C_D30M
M4	M3	1	6	36	0.590331751471466	D30C_D30M
M4	M7	0	6	6	1	D30C_D30M
M4	M5	0	6	18	1	D30C_D30M
M4	M2	0	6	25	1	D30C_D30M
M1	M1	0	16	32	1	D30C_D30M
M1	M6	0	16	11	1	D30C_D30M
M1	M4	0	16	15	1	D30C_D30M
M1	M3	0	16	36	1	D30C_D30M
M1	M7	0	16	6	1	D30C_D30M
M1	M5	0	16	18	1	D30C_D30M
M1	M2	0	16	25	1	D30C_D30M
M2	M1	0	10	32	1	D30C_D30M
M2	M6	0	10	11	1	D30C_D30M
M2	M4	0	10	15	1	D30C_D30M
M2	M3	1	10	36	0.776847949224643	D30C_D30M
M2	M7	0	10	6	1	D30C_D30M
M2	M5	1	10	18	0.514148340246965	D30C_D30M
M2	M2	0	10	25	1	D30C_D30M
