Modu1	Modu2	Both	M1nodes	M2nodes	Pvalues	DF1vsDF2
M5	M4	0	5	6	1	D00C_D12C
M5	M5	0	5	9	1	D00C_D12C
M5	M6	0	5	6	1	D00C_D12C
M6	M2	1	7	109	0.873665886061424	D00C_D12C
M6	M3	0	7	82	1	D00C_D12C
M6	M1	1	7	83	0.780631902276513	D00C_D12C
M6	M7	0	7	6	1	D00C_D12C
M6	M4	0	7	6	1	D00C_D12C
M6	M5	0	7	9	1	D00C_D12C
M6	M6	0	7	6	1	D00C_D12C
M4	M1	6	68	33	0.757625693583566	D00C_D12M
M4	M3	10	68	64	0.930802251299428	D00C_D12M
M4	M2	10	68	44	0.484041390729553	D00C_D12M
M4	M7	1	68	16	0.981410931120284	D00C_D12M
M4	M4	5	68	19	0.38884441046418	D00C_D12M
M4	M5	0	68	10	1	D00C_D12M
M4	M6	0	68	6	1	D00C_D12M
M2	M1	8	60	33	0.2729552408433	D00C_D12M
M2	M3	18	60	64	0.0312363133429607	D00C_D12M
M2	M2	13	60	44	0.0473524085842484	D00C_D12M
M2	M7	0	60	16	1	D00C_D12M
M2	M4	4	60	19	0.503021823832053	D00C_D12M
M2	M5	0	60	10	1	D00C_D12M
M2	M6	0	60	6	1	D00C_D12M
M3	M1	1	26	33	0.94995861920609	D00C_D12M
M3	M3	3	26	64	0.92909117123349	D00C_D12M
M3	M2	1	26	44	0.983010703547462	D00C_D12M
M3	M7	10	26	16	1.33777603110471e-08	D00C_D12M
M3	M4	0	26	19	1	D00C_D12M
M3	M5	0	26	10	1	D00C_D12M
M3	M6	0	26	6	1	D00C_D12M
M1	M1	8	73	33	0.508839152625235	D00C_D12M
M1	M3	10	73	64	0.964237164581201	D00C_D12M
M1	M2	11	73	44	0.438838398860248	D00C_D12M
M1	M7	0	73	16	1	D00C_D12M
M1	M4	0	73	19	1	D00C_D12M
M1	M5	0	73	10	1	D00C_D12M
M1	M6	0	73	6	1	D00C_D12M
M7	M1	0	8	33	1	D00C_D12M
M7	M3	2	8	64	0.506046052633195	D00C_D12M
M7	M2	0	8	44	1	D00C_D12M
M7	M7	0	8	16	1	D00C_D12M
M7	M4	0	8	19	1	D00C_D12M
M7	M5	0	8	10	1	D00C_D12M
M7	M6	0	8	6	1	D00C_D12M
M5	M1	0	5	33	1	D00C_D12M
M5	M3	0	5	64	1	D00C_D12M
M5	M2	1	5	44	0.529929695011883	D00C_D12M
M5	M7	0	5	16	1	D00C_D12M
M5	M4	0	5	19	1	D00C_D12M
M5	M5	0	5	10	1	D00C_D12M
M5	M6	0	5	6	1	D00C_D12M
M6	M1	1	7	33	0.541562258357684	D00C_D12M
M6	M3	0	7	64	1	D00C_D12M
M6	M2	0	7	44	1	D00C_D12M
M6	M7	0	7	16	1	D00C_D12M
M6	M4	0	7	19	1	D00C_D12M
M6	M5	0	7	10	1	D00C_D12M
M6	M6	0	7	6	1	D00C_D12M
M4	M1	1	68	76	0.999999870675778	D00C_D21C
M4	M2	20	68	73	0.00933628452056471	D00C_D21C
M4	M8	0	68	9	1	D00C_D21C
M4	M6	0	68	18	1	D00C_D21C
M4	M5	2	68	15	0.756662446978673	D00C_D21C
M4	M10	0	68	5	1	D00C_D21C
M4	M3	1	68	27	0.994592071211853	D00C_D21C
M4	M4	4	68	14	0.200690507112812	D00C_D21C
M4	M9	0	68	6	1	D00C_D21C
M4	M11	0	68	5	1	D00C_D21C
M4	M7	1	68	8	0.778021479166943	D00C_D21C
M2	M1	2	60	76	0.999981744072396	D00C_D21C
M2	M2	16	60	73	0.0534124369807985	D00C_D21C
M2	M8	0	60	9	1	D00C_D21C
M2	M6	0	60	18	1	D00C_D21C
M2	M5	0	60	15	1	D00C_D21C
M2	M10	1	60	5	0.558263951416377	D00C_D21C
M2	M3	10	60	27	0.00294137663899795	D00C_D21C
M2	M4	2	60	14	0.648023739247278	D00C_D21C
M2	M9	0	60	6	1	D00C_D21C
M2	M11	0	60	5	1	D00C_D21C
M2	M7	2	60	8	0.343009947992628	D00C_D21C
M3	M1	1	26	76	0.996582677022678	D00C_D21C
M3	M2	1	26	73	0.995614937358221	D00C_D21C
M3	M8	4	26	9	0.00142814712531172	D00C_D21C
M3	M6	0	26	18	1	D00C_D21C
M3	M5	0	26	15	1	D00C_D21C
M3	M10	0	26	5	1	D00C_D21C
M3	M3	2	26	27	0.538943909980678	D00C_D21C
M3	M4	1	26	14	0.616001308356256	D00C_D21C
M3	M9	0	26	6	1	D00C_D21C
M3	M11	0	26	5	1	D00C_D21C
M3	M7	0	26	8	1	D00C_D21C
M1	M1	1	73	76	0.999999965064655	D00C_D21C
M1	M2	16	73	73	0.229602705521062	D00C_D21C
M1	M8	0	73	9	1	D00C_D21C
M1	M6	0	73	18	1	D00C_D21C
M1	M5	6	73	15	0.0380776988032204	D00C_D21C
M1	M10	1	73	5	0.636926464324633	D00C_D21C
M1	M3	4	73	27	0.761876920740254	D00C_D21C
M1	M4	0	73	14	1	D00C_D21C
