OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU4774	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_unclassified_c_Bacteroidia	f_unclassified_c_Bacteroidia	g_unclassified_c_Bacteroidia
OTU4776	d_Bacteria	p_Actinobacteriota	c_Thermoleophilia	o_Gaiellales	f_norank_o_Gaiellales	g_norank_f_norank_o_Gaiellales
OTU4778	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Gammaproteobacteria_Incertae_Sedis	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	g_Marinicella
OTU478	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Cytophagales	f_Flammeovirgaceae	g_Algivirga
OTU4782	d_Bacteria	p_Calditrichota	c_Calditrichia	o_Calditrichales	f_Calditrichaceae	g_SM23-31
OTU4784	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_unclassified_c_Gammaproteobacteria	f_unclassified_c_Gammaproteobacteria	g_unclassified_c_Gammaproteobacteria
OTU4785	d_Bacteria	p_Actinobacteriota	c_Actinobacteria	o_Frankiales	f_norank_o_Frankiales	g_norank_f_norank_o_Frankiales
OTU4788	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfobacteraceae	g_Desulfobacter
OTU4790	d_Bacteria	p_Proteobacteria	c_Alphaproteobacteria	o_Micavibrionales	f_Micavibrionaceae	g_norank_f_Micavibrionaceae
OTU4793	d_Bacteria	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	f_Desulfocapsaceae	g_norank_f_Desulfocapsaceae
OTU4796	d_Bacteria	p_Firmicutes	c_Bacilli	o_Izemoplasmatales	f_Izemoplasmataceae	g_norank_f_Izemoplasmataceae
OTU4799	d_Bacteria	p_Actinobacteriota	c_Actinobacteria	o_Corynebacteriales	f_Nocardiaceae	g_Gordonia
OTU4801	d_Bacteria	p_Firmicutes	c_Clostridia	o_Peptostreptococcales-Tissierellales	f_Peptostreptococcaceae	g_unclassified_f_Peptostreptococcaceae
OTU4802	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Oceanospirillales	f_Nitrincolaceae	g_Marinobacterium
OTU4803	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Gammaproteobacteria_Incertae_Sedis	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	g_norank_f_unclassified
OTU4804	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfobacteraceae	g_Desulfobacter
OTU4812	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Marinifilaceae	g_Marinifilum
OTU4815	d_Bacteria	p_Actinobacteriota	c_Acidimicrobiia	o_Microtrichales	f_Microtrichaceae	g_norank_f_Microtrichaceae
OTU482	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Chitinophagales	f_norank_o_Chitinophagales	g_norank_f_norank_o_Chitinophagales
OTU4826	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Oceanospirillales	f_Pseudohongiellaceae	g_Pseudohongiella
OTU483	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Chitinophagales	f_Saprospiraceae	g_Lewinella
OTU4831	d_Bacteria	p_Firmicutes	c_Clostridia	o_norank_c_Clostridia	f_Hungateiclostridiaceae	g_norank_f_Hungateiclostridiaceae
OTU4833	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Gammaproteobacteria_Incertae_Sedis	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	g_norank_f_unclassified
OTU4835	d_Bacteria	p_Spirochaetota	c_Leptospirae	o_Leptospirales	f_Leptospiraceae	g_RBG-16-49-21
