from	to	type
OTU4788	OTU6518	0.8866393
OTU4702	OTU6423	0.8451724
OTU3245	OTU5765	0.8448198
OTU5455	OTU7744	0.8824098
OTU3442	OTU4408	0.8441
OTU4796	OTU5114	0.8439207
OTU4397	OTU6475	0.8434058
OTU3259	OTU3266	0.8433695
OTU6738	OTU8289	-0.842963
OTU4187	OTU4432	0.8428104
OTU1704	OTU6377	-0.8427992
OTU3860	OTU7083	0.8426326
OTU4187	OTU4505	0.8424302
OTU6403	OTU6543	0.8423743
OTU4747	OTU6610	0.9134714
OTU1402	OTU3148	0.8420647
OTU3266	OTU7882	0.8417429
OTU8657	OTU8678	0.8413521
OTU2283	OTU7440	0.8784531
OTU4750	OTU7644	0.8409859
OTU4397	OTU4740	0.8401838
OTU3536	OTU3984	0.8399411
OTU3442	OTU3457	0.8399382
OTU6780	OTU7882	0.8397777
OTU3316	OTU4788	0.8397742
OTU4266	OTU4695	0.8397629
OTU4796	OTU4851	0.8389538
OTU1557	OTU2866	0.838926
OTU4394	OTU4448	-0.838883
OTU3457	OTU4291	0.8385599
OTU4767	OTU6780	0.8383332
OTU4187	OTU4740	0.8955845
OTU4448	OTU6610	-0.8380395
OTU2086	OTU8055	0.8379289
OTU3968	OTU5465	0.8376659
OTU4237	OTU7908	-0.8375757
OTU3282	OTU4448	-0.8372036
OTU4188	OTU8085	0.836739
OTU3442	OTU4209	0.8880304
OTU4266	OTU4323	0.8360651
OTU442	OTU4793	0.8357695
OTU6602	OTU7440	0.8355109
OTU5570	OTU5765	0.8353976
OTU1605	OTU5783	0.8350007
OTU3992	OTU442	0.8349366
OTU4187	OTU4394	0.8842121
OTU3488	OTU4750	0.8347394
OTU3266	OTU6475	0.8345756
OTU4695	OTU4788	0.8860806
OTU2405	OTU8678	0.8341893
OTU4448	OTU8285	-0.834173
OTU4209	OTU4448	-0.834166
OTU3398	OTU4684	0.8338615
OTU2759	OTU4750	0.8337382
OTU3806	OTU5455	0.8962827
OTU2847	OTU3092	-0.8335537
OTU7083	OTU8275	0.8924986
OTU3027	OTU8700	0.832323
OTU4865	OTU6858	0.8322745
OTU6610	OTU6780	0.8320517
OTU3984	OTU5465	0.8319197
OTU3266	OTU4695	0.8733235
OTU7527	OTU8657	0.8317067
OTU3313	OTU4659	-0.8316232
OTU4793	OTU6749	0.8315995
OTU2824	OTU5765	0.8315772
OTU4621	OTU7911	0.8311778
OTU5465	OTU5765	0.8307163
OTU5152	OTU5744	-0.8302249
OTU1402	OTU3061	0.8301179
OTU2283	OTU5092	0.8300411
OTU3245	OTU7907	0.8299118
OTU3806	OTU4132	0.9054786
OTU4865	OTU8285	0.8296781
OTU2283	OTU3381	0.8295693
OTU3457	OTU6610	0.9018651
OTU7907	OTU8876	0.8292753
OTU7527	OTU8876	0.829269
OTU5465	OTU7907	0.8287294
OTU4788	OTU6610	0.8970679
OTU4865	OTU6591	0.8286482
OTU6520	OTU6780	0.8284798
OTU2461	OTU2506	0.8284528
OTU4266	OTU4394	0.8283901
OTU4323	OTU4397	0.8283567
OTU3266	OTU3398	0.8281335
OTU3090	OTU6780	0.8451771
OTU3266	OTU4893	0.8279509
OTU2351	OTU2882	0.8274106
OTU3536	OTU5455	0.8852675
OTU3442	OTU4758	0.8266355
OTU6423	OTU6493	0.8266126
OTU3197	OTU4539	0.8261472
