id	degree	closeness	betweenness	hub_score	zi_scores	pi_scores	No..module
OTU4812	15	7.92832791564259e-05	1010.05854911391	0.00428499436436797	2.52887531768109	0	1
OTU4187	27	8.01603206412826e-05	3835.83488178738	0.0214700465550888	5.23237885423018	0.0713305898491085	1
OTU4613	6	7.98084596967279e-05	799.368117570748	0.0119497310100578	0.316917878686377	0	1
OTU3135	5	7.95038956908888e-05	49.9854836502296	0.0111232121484948	0.0711448299091866	0	1
OTU4803	20	8.02310654685494e-05	364.955152801703	0.680482585865751	1.01244143897296	0.185	2
OTU3062	7	7.96178343949045e-05	501.314126009284	0.0113264587305125	0.562690927463567	1.11022302462516e-16	1
OTU3282	4	7.89390590464162e-05	31.7063551025598	0.00233065908035791	-0.174628218868003	0	1
OTU2866	7	7.98403193612774e-05	2673.56476893241	0.0184601796556053	0.316917878686377	0.244897959183674	1
OTU8195	15	7.99041150619257e-05	146.366927147378	0.541012401561155	0.622081095425289	0	2
OTU8657	22	8.01410482449111e-05	484.699831363855	0.650339747744304	1.27268166800475	0.169421487603306	2
OTU4759	15	7.95165394402036e-05	3818.55994903193	0.0103280779828765	2.03732922012671	0.24	1
OTU4132	40	8.05671930389945e-05	2487.46561408824	1	3.4847236147749	0.14125	2
OTU7092	19	8.00768737988469e-05	313.892888594303	0.645361726432544	1.01244143897296	0.0997229916897507	2
OTU2788	4	7.89390590464162e-05	31.7063551025598	0.00233065908035791	-0.174628218868003	0	1
OTU6680	20	8.01346261719689e-05	574.396966231119	0.640388435148824	1.01244143897296	0.185	2
OTU3806	32	8.00448251020571e-05	1293.4513271544	0.676254078709809	2.57388281316366	0.119140625	2
OTU3316	5	7.88332676389436e-05	154.311349887995	0.00217325091735953	0.0711448299091866	0	1
OTU2179	2	7.39207569485512e-05	1.5	7.35935399274872e-07	0	0	8
OTU2506	8	7.94975753239526e-05	11.4232088829436	0.355927287129843	-0.288759706185951	0	2
OTU3294	2	7.73395204949729e-05	71.5877894551271	9.96394819746815e-05	-0.103013277449251	0	6
OTU1119	15	8.05542129853391e-05	1317.22918900053	0.389364175801204	1.9040720039112	0.524444444444444	5
OTU7083	29	8.02375030089064e-05	710.675981851701	0.861066615825261	2.18352246961599	0.130796670630202	2
OTU1945	4	7.82595085302864e-05	989	0.00156063873996712	1.56524758424985	0.375	10
OTU2086	18	7.99168864381044e-05	850.967298303266	0.425378523657121	0.622081095425289	0.296296296296296	2
