from	to	type
OTU2179	OTU2198	0.9546652
OTU3523	OTU8418	0.9409217
OTU8700	OTU8881	0.9294187
OTU5653	OTU7644	0.9279574
OTU8434	OTU8700	0.9267978
OTU455	OTU5465	0.9176137
OTU1425	OTU7976	0.9176057
OTU3992	OTU7440	0.9542737
OTU8055	OTU8275	0.9104421
OTU6403	OTU7527	0.9103599
OTU2086	OTU2340	0.9061607
OTU2707	OTU3463	-0.9060608
OTU1936	OTU3806	0.9060503
OTU8446	OTU8804	0.9054294
OTU2537	OTU8226	0.9037363
OTU5128	OTU5570	0.9013078
OTU4132	OTU442	0.899231
OTU3984	OTU8326	0.8988782
OTU3583	OTU4049	0.8980504
OTU1605	OTU2283	0.8956812
OTU3992	OTU4132	0.8949876
OTU7744	OTU8446	0.8925236
OTU4147	OTU8434	0.8915669
OTU3475	OTU3984	0.8893615
OTU3987	OTU5455	0.8883282
OTU4147	OTU8881	0.8960601
OTU4214	OTU8700	0.8872791
OTU2198	OTU2274	0.8871661
OTU7644	OTU8657	0.8871641
OTU3992	OTU5128	0.8870514
OTU8275	OTU8876	0.8865704
OTU110	OTU2179	0.8864589
OTU8438	OTU8643	0.8859991
OTU2274	OTU3523	0.8859183
OTU5465	OTU7744	0.8943929
OTU6602	OTU7976	0.8827391
OTU1321	OTU1402	0.8817674
OTU7744	OTU8751	0.879927
OTU3984	OTU8379	0.8796648
OTU1707	OTU8804	0.878986
OTU8646	OTU8658	0.8786917
OTU3806	OTU3992	0.9064804
OTU4815	OTU5128	0.8783162
OTU442	OTU5465	0.9143903
OTU3992	OTU5837	0.8770393
OTU4883	OTU6442	0.8764647
OTU2340	OTU2396	0.8761174
OTU4147	OTU4214	0.8749049
OTU3806	OTU3984	0.8742102
OTU6442	OTU8700	0.8741175
OTU1080	OTU5837	0.8736666
OTU5128	OTU5765	0.8736081
OTU6543	OTU8804	0.8735647
OTU7644	OTU8195	0.8725341
OTU1540	OTU4147	0.8721482
OTU1540	OTU8700	0.9141554
OTU2866	OTU7527	0.8710793
OTU1694	OTU8700	0.8828121
OTU5465	OTU6403	0.8704976
OTU2340	OTU442	0.8701389
OTU3806	OTU442	0.9103683
OTU6602	OTU8822	0.8697456
OTU1225	OTU8700	0.8814272
OTU5039	OTU7249	0.8691791
OTU1301	OTU8658	0.868362
OTU4815	OTU5765	0.907367
OTU6403	OTU8446	0.8849677
OTU3984	OTU7249	0.896666
OTU7471	OTU7744	0.8658216
OTU1694	OTU2086	0.8645639
OTU7744	OTU8700	0.8618967
OTU1874	OTU8678	0.8613105
OTU1936	OTU2536	0.8593245
OTU6403	OTU6880	0.8578341
OTU7440	OTU7744	0.8977324
OTU1321	OTU2623	0.8575254
OTU3806	OTU8434	0.8572193
OTU4883	OTU8434	0.8570805
OTU530	OTU6880	0.8561423
OTU5465	OTU8804	0.8950116
OTU442	OTU5653	0.8545834
OTU1119	OTU1936	0.8543367
OTU1694	OTU4883	0.8538879
OTU2179	OTU2274	0.9191797
OTU2589	OTU8804	0.8534085
OTU7440	OTU8658	0.8529236
OTU3968	OTU6847	0.8527867
OTU530	OTU8876	0.8521628
OTU110	OTU8554	0.8521526
OTU1119	OTU2340	0.8897283
OTU3536	OTU5340	0.8518743
OTU2414	OTU7527	0.8518496
OTU4331	OTU8876	0.8517909
OTU4815	OTU7440	0.889819
OTU3536	OTU4147	0.8509774
OTU2283	OTU3806	0.8508384
OTU3992	OTU455	0.8767062
OTU3030	OTU8907	0.8499249
OTU2961	OTU7116	-0.8496186
OTU1321	OTU2935	0.8493468
OTU7782	OTU8657	0.8492881
OTU4553	OTU6932	0.8490883
OTU5653	OTU637	0.8486586
OTU3806	OTU7644	0.9173508
OTU5455	OTU8055	0.8478243
OTU3984	OTU8594	0.8478186
OTU5049	OTU7994	0.8468171
OTU7440	OTU7471	0.8466353
OTU7527	OTU7744	0.8464308
OTU442	OTU455	0.8459268
OTU3245	OTU5837	0.8459024
OTU3860	OTU5151	0.8441787
OTU4132	OTU7440	0.8745608
OTU8657	OTU8678	0.8429869
OTU1345	OTU3227	0.8421142
OTU7083	OTU7471	0.8412447
OTU1225	OTU3536	0.84117
OTU5340	OTU8446	0.8407401
OTU1225	OTU4147	0.8861184
OTU7527	OTU8862	0.840164
OTU3984	OTU4815	0.8393113
OTU4132	OTU5570	0.8390945
OTU3984	OTU4331	0.8390511
OTU1936	OTU5653	0.8951211
OTU2771	OTU3536	0.8378275
OTU2506	OTU5765	0.837274
OTU2340	OTU5195	0.8372509
OTU4132	OTU8490	0.8368008
OTU1677	OTU5039	0.8367527
OTU6403	OTU7440	0.8366313
OTU3806	OTU530	0.8359447
OTU2536	OTU5151	0.8353578
OTU3883	OTU7691	0.8351336
OTU373	OTU7560	0.834881
