from	to	type
OTU3806	OTU455	0.9830712
OTU6403	OTU7440	0.9735293
OTU2506	OTU2589	0.9692702
OTU2179	OTU2198	0.9644742
OTU1463	OTU2442	0.9641081
OTU2442	OTU8649	0.9632867
OTU2086	OTU3992	0.9782217
OTU5128	OTU5765	0.9626744
OTU7744	OTU8288	0.9509406
OTU3992	OTU442	0.9586461
OTU8275	OTU8657	0.9463343
OTU3523	OTU8418	0.9576487
OTU1425	OTU3422	0.9526752
OTU2442	OTU5429	0.9439976
OTU4803	OTU5429	0.9386032
OTU8658	OTU8678	0.9375439
OTU1028	OTU2442	0.9398269
OTU2442	OTU4023	0.9371044
OTU5653	OTU7782	0.9366366
OTU2442	OTU7971	0.9365571
OTU1305	OTU3523	0.9360307
OTU4132	OTU4214	0.9358671
OTU4815	OTU5092	0.9461839
OTU2442	OTU5332	0.9367348
OTU1234	OTU2598	0.9334648
OTU7440	OTU7744	0.9483074
OTU442	OTU5444	0.9327696
OTU7976	OTU7997	0.9314876
OTU2274	OTU3523	0.9311874
OTU4132	OTU442	0.9489648
OTU2598	OTU5058	0.9342101
OTU3984	OTU4132	0.9416672
OTU1425	OTU7304	0.9404024
OTU1874	OTU1936	0.9292554
OTU2477	OTU8976	0.9290602
OTU5332	OTU5528	0.928275
OTU2198	OTU2274	0.927537
OTU284	OTU6602	0.9273732
OTU2198	OTU8418	0.9499478
OTU5128	OTU5570	0.9267997
OTU5455	OTU5653	0.9449461
OTU2442	OTU3983	0.926319
OTU3134	OTU7566	0.9253244
OTU8418	OTU8583	0.9249179
OTU8288	OTU8700	0.9244363
OTU2297	OTU2442	0.9242962
OTU3523	OTU7836	0.9407002
OTU442	OTU5340	0.9234623
OTU2442	OTU5836	0.9233837
OTU5029	OTU8055	0.9526551
OTU2442	OTU4080	0.92236
OTU1508	OTU8649	0.9272482
OTU1644	OTU4257	-0.9214582
OTU3968	OTU3984	0.9207039
OTU2340	OTU3992	0.920061
OTU5455	OTU5465	0.9198982
OTU4665	OTU5638	0.9198699
OTU4815	OTU5128	0.9407783
OTU5576	OTU8195	0.9194109
OTU2442	OTU250	0.919392
OTU1119	OTU1936	0.9190234
OTU2442	OTU6039	0.9188577
OTU1463	OTU1508	0.9188146
OTU1642	OTU2598	0.9186244
OTU1508	OTU2297	0.9352157
OTU5570	OTU5765	0.9181639
OTU1108	OTU1305	0.9180779
OTU2598	OTU3422	0.9178203
OTU4803	OTU7394	0.9176767
OTU3422	OTU6602	0.9171768
OTU1099	OTU2442	0.9169312
OTU8451	OTU8976	0.91667
OTU2715	OTU3068	0.9165713
OTU1675	OTU2086	0.916431
OTU2598	OTU3909	0.9154507
OTU5444	OTU5455	0.91536
OTU2442	OTU360	0.9153188
OTU4803	OTU6987	0.915244
OTU2086	OTU2506	0.9151673
OTU2086	OTU2340	0.9354575
OTU2442	OTU8444	0.9191892
OTU2274	OTU8784	0.9371587
OTU6602	OTU8182	0.9357624
OTU2442	OTU73	0.9180554
OTU2756	OTU4803	0.9131145
OTU2285	OTU6602	0.9176212
OTU284	OTU8876	0.9182916
OTU2274	OTU8418	0.9478717
OTU2623	OTU6602	0.9123237
OTU2581	OTU5128	0.9120126
OTU7881	OTU8182	0.912011
OTU1234	OTU1425	0.9118858
OTU1693	OTU4803	0.9268119
OTU1425	OTU8182	0.9172605
OTU1810	OTU2598	0.9116543
OTU438	OTU4665	0.9115771
OTU455	OTU4815	0.9114287
OTU3142	OTU6987	0.9291001
OTU1028	OTU1508	0.9112344
OTU2183	OTU3142	0.9108436
OTU2598	OTU284	0.9106035
OTU4231	OTU4665	0.9368569
OTU6602	OTU7304	0.9104315
OTU2442	OTU5709	0.9103752
OTU2598	OTU2623	0.910293
OTU1508	OTU5890	0.9163679
OTU4803	OTU8649	0.9095229
OTU1425	OTU7880	0.9094715
OTU3860	OTU5151	0.9423951
OTU2396	OTU5638	0.9092831
OTU7304	OTU896	0.9092715
OTU3909	OTU6602	0.9092181
OTU5092	OTU8199	0.9091614
OTU3860	OTU4132	0.9091436
OTU5297	OTU7907	0.9089188
OTU5653	OTU7083	0.9087391
OTU1936	OTU2481	0.9086941
OTU4665	OTU7092	0.9084405
OTU1677	OTU2340	0.9327726
OTU1810	OTU6602	0.9129233
OTU2396	OTU7304	0.9129802
OTU1508	OTU5429	0.9143752
OTU46	OTU7566	0.9072305
OTU5570	OTU8678	0.9619983
OTU7527	OTU7744	0.9071413
OTU2477	OTU2771	0.9070833
OTU2442	OTU4004	0.9070431
OTU1425	OTU1810	0.9263237
OTU6602	OTU7976	0.9064747
OTU2396	OTU3422	0.9265442
OTU2481	OTU6602	0.9058546
OTU2766	OTU3860	0.9054634
OTU1621	OTU4023	0.9054287
OTU7527	OTU8370	0.9051618
OTU6602	OTU7880	0.9049397
OTU5765	OTU6195	0.904801
OTU2561	OTU5119	0.9046442
OTU8055	OTU8288	0.9045981
OTU2442	OTU7394	0.9101723
OTU3142	OTU5297	0.9110063
OTU1513	OTU7907	0.9097882
OTU8195	OTU8275	0.903771
OTU250	OTU5528	0.921497
OTU442	OTU7527	0.9230681
OTU7836	OTU8418	0.9036287
OTU2481	OTU438	0.9101134
OTU4231	OTU438	0.9032512
OTU3908	OTU8649	0.9029305
OTU8490	OTU8678	0.9028872
OTU442	OTU455	0.9024611
OTU3259	OTU3992	0.9024552
OTU1425	OTU2481	0.902274
OTU8876	OTU8880	0.902169
OTU3142	OTU5039	0.9089433
OTU2141	OTU2340	0.9020166
OTU2589	OTU3806	0.9019299
OTU2283	OTU4231	0.9011479
OTU2297	OTU3860	0.9010556
OTU3523	OTU6042	0.9010508
OTU4803	OTU8444	0.9010425
OTU1675	OTU1874	0.8998946
OTU6543	OTU7083	0.8995572
OTU1425	OTU5732	0.8992756
OTU4838	OTU5783	0.8992179
OTU3068	OTU8275	0.9120552
OTU2481	OTU2537	0.899018
OTU2538	OTU4331	0.8989151
OTU7881	OTU8678	0.8988612
OTU2416	OTU2441	0.8986717
OTU1464	OTU6602	0.898529
OTU8678	OTU8876	0.8978745
OTU2506	OTU3806	0.9402383
OTU8235	OTU8678	0.8973361
OTU1756	OTU3142	0.8972328
OTU1425	OTU5058	0.8971584
OTU2396	OTU3068	0.8968394
OTU3984	OTU5638	0.896765
OTU4803	OTU8828	0.8967324
OTU5058	OTU6602	0.8965739
OTU3068	OTU6602	0.8964949
OTU3142	OTU5334	0.8962138
OTU1287	OTU2715	0.896157
OTU7440	OTU7527	0.8961263
OTU7083	OTU7644	0.8960228
OTU2442	OTU7560	0.8959556
OTU5765	OTU8658	0.9317567
OTU1557	OTU250	0.8956842
OTU4665	OTU7449	0.8955695
OTU2601	OTU4803	0.8952233
OTU4214	OTU4803	0.8948945
OTU1425	OTU1464	0.8947407
OTU5455	OTU7976	0.8946877
OTU3523	OTU7038	0.89465
OTU2536	OTU3968	0.8946457
OTU6622	OTU7527	0.8943157
OTU1621	OTU2756	0.8942437
OTU2537	OTU3422	0.8939517
OTU6543	OTU6622	0.8939131
OTU2340	OTU3806	0.8935983
OTU4214	OTU442	0.8935168
OTU1954	OTU4886	0.8931671
OTU5570	OTU7881	0.8930955
OTU1645	OTU2442	0.8928708
OTU2285	OTU2396	0.8927285
OTU2442	OTU5890	0.8988615
OTU5455	OTU8490	0.899933
OTU1452	OTU2589	0.8989438
OTU360	OTU4803	0.8921343
OTU6257	OTU7881	0.892117
OTU5319	OTU7566	0.8920882
OTU1605	OTU1874	0.8919862
OTU1605	OTU7449	0.9181594
OTU2442	OTU8828	0.898582
OTU1119	OTU3067	0.8916272
OTU4665	OTU7880	0.8915701
OTU1425	OTU2285	0.9179916
OTU2382	OTU4412	0.8912627
OTU8288	OTU8804	0.8912144
OTU2442	OTU2756	0.8910194
OTU1508	OTU4023	0.9307636
OTU2442	OTU4214	0.8906771
OTU1645	OTU8657	0.8979152
OTU2537	OTU2581	0.8904545
OTU2598	OTU4231	0.9136147
OTU1382	OTU8446	-0.8901591
OTU5465	OTU5653	0.8900907
OTU8657	OTU8678	0.889918
OTU5528	OTU5653	0.8898867
OTU4665	OTU5058	0.8896022
OTU2183	OTU2442	0.8895845
OTU6543	OTU7440	0.8895712
OTU1119	OTU6039	0.8887706
OTU6622	OTU8446	0.8885265
OTU1287	OTU8643	0.8883606
OTU1189	OTU5570	0.9484794
OTU6816	OTU791	0.8878925
OTU4665	OTU7800	0.8876757
OTU2537	OTU2770	0.8875305
OTU1282	OTU2715	0.8874934
OTU4132	OTU438	0.8874694
OTU5783	OTU8275	0.8873644
OTU3067	OTU7560	0.8868168
OTU1425	OTU1642	0.8868155
OTU3992	OTU455	0.9406902
OTU1557	OTU3422	0.9034205
OTU3860	OTU673	0.8866095
OTU7644	OTU7744	0.8863452
OTU1402	OTU1675	0.886145
OTU7880	OTU896	0.8861139
OTU4649	OTU8490	0.8860916
OTU3992	OTU6403	0.9583142
OTU1321	OTU7744	0.8956985
OTU1677	OTU2141	0.8859126
OTU3987	OTU4649	0.8857583
OTU1874	OTU3968	0.8857223
OTU3169	OTU4132	0.8855186
OTU6403	OTU6543	0.8854535
OTU2481	OTU5783	0.8853011
OTU2396	OTU7880	0.8933216
OTU3142	OTU983	0.9207157
OTU1425	OTU8844	0.8849162
OTU1513	OTU6195	0.8846485
OTU442	OTU5297	0.8846417
OTU4214	OTU7304	0.8843408
OTU3359	OTU3523	-0.8842782
OTU1189	OTU1425	0.8839853
OTU4132	OTU5576	0.883902
OTU1402	OTU5765	0.8838967
