VFAs	VFAsLong	TimeGroup	GP	values
Isobutyrate	Isobutyrate concentration (μM)	D21	Control	1.25
Isobutyrate	Isobutyrate concentration (μM)	D21	Control	1.022727
Isobutyrate	Isobutyrate concentration (μM)	D21	Treat	9.908771
Isobutyrate	Isobutyrate concentration (μM)	D21	Treat	7.441077
Isobutyrate	Isobutyrate concentration (μM)	D21	Treat	5.503181
Isobutyrate	Isobutyrate concentration (μM)	D21	Treat	7.79625
Isobutyrate	Isobutyrate concentration (μM)	D30	Control	1.931818
Isobutyrate	Isobutyrate concentration (μM)	D30	Control	1.704545
Isobutyrate	Isobutyrate concentration (μM)	D30	Control	1.704545
Isobutyrate	Isobutyrate concentration (μM)	D30	Control	2.159091
Isobutyrate	Isobutyrate concentration (μM)	D30	Treat	10.26692
Isobutyrate	Isobutyrate concentration (μM)	D30	Treat	6.454922
Isobutyrate	Isobutyrate concentration (μM)	D30	Treat	6.485603
Isobutyrate	Isobutyrate concentration (μM)	D30	Treat	17.74991
Butyrate	Butyrate concentration (μM)	D00	Control	10.68182
Butyrate	Butyrate concentration (μM)	D00	Control	18.06818
Butyrate	Butyrate concentration (μM)	D00	Control	8.181818
Butyrate	Butyrate concentration (μM)	D00	Control	7.386364
Butyrate	Butyrate concentration (μM)	D00	Treat	10.68182
Butyrate	Butyrate concentration (μM)	D00	Treat	18.06818
Butyrate	Butyrate concentration (μM)	D00	Treat	8.181818
Butyrate	Butyrate concentration (μM)	D00	Treat	7.386364
Butyrate	Butyrate concentration (μM)	D05	Control	31.02273
Butyrate	Butyrate concentration (μM)	D05	Control	33.86364
Butyrate	Butyrate concentration (μM)	D05	Control	24.77273
Butyrate	Butyrate concentration (μM)	D05	Control	33.86364
Butyrate	Butyrate concentration (μM)	D05	Treat	46.3754
Butyrate	Butyrate concentration (μM)	D05	Treat	31.85127
Butyrate	Butyrate concentration (μM)	D05	Treat	28.64905
Butyrate	Butyrate concentration (μM)	D05	Treat	21.84743
Butyrate	Butyrate concentration (μM)	D12	Control	2.727273
Butyrate	Butyrate concentration (μM)	D12	Control	4.545455
Butyrate	Butyrate concentration (μM)	D12	Control	3.522727
Butyrate	Butyrate concentration (μM)	D12	Control	1.931818
Butyrate	Butyrate concentration (μM)	D12	Treat	27.16857
Butyrate	Butyrate concentration (μM)	D12	Treat	37.6528
Butyrate	Butyrate concentration (μM)	D12	Treat	29.92952
Butyrate	Butyrate concentration (μM)	D12	Treat	24.59686
Butyrate	Butyrate concentration (μM)	D21	Control	4.772727
Butyrate	Butyrate concentration (μM)	D21	Control	4.886364
Butyrate	Butyrate concentration (μM)	D21	Control	3.863636
Butyrate	Butyrate concentration (μM)	D21	Control	4.090909
Butyrate	Butyrate concentration (μM)	D21	Treat	34.85093
