Proportion.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
0.3	0.5426171875	0.0204230960496444	0.00204230960496444	unweighted	No	D12C
0.35	0.4904296875	0.0208361074739169	0.00208361074739169	unweighted	No	D12C
0.4	0.4498046875	0.0200212754652526	0.00200212754652526	unweighted	No	D12C
0.45	0.39734375	0.0233193571170178	0.00233193571170178	unweighted	No	D12C
0.5	0.353125	0.020602712648239	0.0020602712648239	unweighted	No	D12C
0.55	0.3048046875	0.02304928242434	0.002304928242434	unweighted	No	D12C
0.6	0.2623828125	0.0198797429060482	0.00198797429060482	unweighted	No	D12C
0.65	0.221171875	0.0212419968310854	0.00212419968310854	unweighted	No	D12C
0.7	0.1783203125	0.0166875073150733	0.00166875073150733	unweighted	No	D12C
0.75	0.1387890625	0.0195545552245705	0.00195545552245705	unweighted	No	D12C
0.8	0.0951953125	0.0194296203736813	0.00194296203736813	unweighted	No	D12C
0.85	0.0621484375	0.0169870278180181	0.00169870278180181	unweighted	No	D12C
0.9	0.0353125	0.011828974469283	0.0011828974469283	unweighted	No	D12C
0.95	0.0116796875	0.0073760463740982	0.00073760463740982	unweighted	No	D12C
1	0	0	0	unweighted	No	D12C
