Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
32	0.720341463414634	0.00433293187203897	0.000433293187203897	weighted	No	D21M
33	0.720243902439024	0.00511261599571952	0.000511261599571952	weighted	No	D21M
34	0.718634146341463	0.00324315121329107	0.000324315121329107	weighted	No	D21M
35	0.718146341463415	0.0029070531683772	0.00029070531683772	weighted	No	D21M
36	0.717073170731707	0	0	weighted	No	D21M
1	0.750439024390244	0.00274896879730574	0.000274896879730574	unweighted	No	D21M
2	0.74990243902439	0.00301062599955542	0.000301062599955542	unweighted	No	D21M
3	0.749317073170732	0.00366190204080652	0.000366190204080652	unweighted	No	D21M
4	0.748	0.00445140934503933	0.000445140934503933	unweighted	No	D21M
5	0.747024390243902	0.00528119741105144	0.000528119741105144	unweighted	No	D21M
6	0.745414634146341	0.00685298384603121	0.000685298384603121	unweighted	No	D21M
7	0.743365853658537	0.00749620590372125	0.000749620590372125	unweighted	No	D21M
8	0.744731707317073	0.00683050001210727	0.000683050001210727	unweighted	No	D21M
9	0.742634146341463	0.00737417156782912	0.000737417156782912	unweighted	No	D21M
10	0.741219512195122	0.00803716303434278	0.000803716303434278	unweighted	No	D21M
11	0.740243902439024	0.00738247847737227	0.000738247847737227	unweighted	No	D21M
12	0.738975609756098	0.00824734355730182	0.000824734355730182	unweighted	No	D21M
13	0.737414634146341	0.00743697442261328	0.000743697442261328	unweighted	No	D21M
14	0.737317073170732	0.00847388368832605	0.000847388368832605	unweighted	No	D21M
15	0.737951219512195	0.00832233875331779	0.000832233875331779	unweighted	No	D21M
16	0.735560975609756	0.00855630706791732	0.000855630706791732	unweighted	No	D21M
17	0.734536585365854	0.00781903126694291	0.000781903126694291	unweighted	No	D21M
18	0.733365853658537	0.00849781786000709	0.000849781786000709	unweighted	No	D21M
19	0.732731707317073	0.00821229678849675	0.000821229678849675	unweighted	No	D21M
20	0.731609756097561	0.00762606196119987	0.000762606196119988	unweighted	No	D21M
21	0.730780487804878	0.00851124242952071	0.000851124242952071	unweighted	No	D21M
22	0.730926829268293	0.00845528455284554	0.000845528455284554	unweighted	No	D21M
23	0.729317073170732	0.00878363525204036	0.000878363525204036	unweighted	No	D21M
24	0.72780487804878	0.00753155311329313	0.000753155311329313	unweighted	No	D21M
25	0.729121951219512	0.00850446213773163	0.000850446213773163	unweighted	No	D21M
26	0.726536585365854	0.00762101743479293	0.000762101743479293	unweighted	No	D21M
27	0.725463414634146	0.00703932058674728	0.000703932058674728	unweighted	No	D21M
28	0.726048780487805	0.00719600923204087	0.000719600923204087	unweighted	No	D21M
29	0.724	0.00731066484591156	0.000731066484591156	unweighted	No	D21M
30	0.722878048780488	0.00582958835366225	0.000582958835366225	unweighted	No	D21M
31	0.722585365853659	0.00531001880423754	0.000531001880423754	unweighted	No	D21M
32	0.720829268292683	0.00554039838614661	0.000554039838614661	unweighted	No	D21M
33	0.719512195121951	0.00451999552148431	0.000451999552148431	unweighted	No	D21M
34	0.718780487804878	0.00394501290320252	0.000394501290320252	unweighted	No	D21M
35	0.718341463414634	0.00344023067366315	0.000344023067366315	unweighted	No	D21M
36	0.717073170731707	0	0	unweighted	No	D21M
1	0.0048780487804878	0	0	weighted	Yes	D21M
2	0.0048780487804878	0	0	weighted	Yes	D21M
3	0.0048780487804878	0	0	weighted	Yes	D21M
4	0.0048780487804878	0	0	weighted	Yes	D21M
5	0.0048780487804878	0	0	weighted	Yes	D21M
6	0.0048780487804878	0	0	weighted	Yes	D21M
7	0.0048780487804878	0	0	weighted	Yes	D21M
8	0.0048780487804878	0	0	weighted	Yes	D21M
9	0.0048780487804878	0	0	weighted	Yes	D21M
10	0.0048780487804878	0	0	weighted	Yes	D21M
11	0.0048780487804878	0	0	weighted	Yes	D21M
12	0.0048780487804878	0	0	weighted	Yes	D21M
13	0.0048780487804878	0	0	weighted	Yes	D21M
14	0.0048780487804878	0	0	weighted	Yes	D21M
15	0.0048780487804878	0	0	weighted	Yes	D21M
16	0.0048780487804878	0	0	weighted	Yes	D21M
17	0.0048780487804878	0	0	weighted	Yes	D21M
18	0.0048780487804878	0	0	weighted	Yes	D21M
19	0.0048780487804878	0	0	weighted	Yes	D21M
20	0.0048780487804878	0	0	weighted	Yes	D21M
21	0.0048780487804878	0	0	weighted	Yes	D21M
22	0.0048780487804878	0	0	weighted	Yes	D21M
23	0.0048780487804878	0	0	weighted	Yes	D21M
24	0.0048780487804878	0	0	weighted	Yes	D21M
25	0.0048780487804878	0	0	weighted	Yes	D21M
26	0.0048780487804878	0	0	weighted	Yes	D21M
27	0.0048780487804878	0	0	weighted	Yes	D21M
28	0.0048780487804878	0	0	weighted	Yes	D21M
29	0.0048780487804878	0	0	weighted	Yes	D21M
30	0.0048780487804878	0	0	weighted	Yes	D21M
31	0.0048780487804878	0	0	weighted	Yes	D21M
32	0.0048780487804878	0	0	weighted	Yes	D21M
33	0.0048780487804878	0	0	weighted	Yes	D21M
34	0.0048780487804878	0	0	weighted	Yes	D21M
35	0.0048780487804878	0	0	weighted	Yes	D21M
36	0.0048780487804878	0	0	weighted	Yes	D21M
1	0.0048780487804878	0	0	unweighted	Yes	D21M
2	0.0048780487804878	0	0	unweighted	Yes	D21M
3	0.0048780487804878	0	0	unweighted	Yes	D21M
4	0.0048780487804878	0	0	unweighted	Yes	D21M
5	0.0048780487804878	0	0	unweighted	Yes	D21M
6	0.0048780487804878	0	0	unweighted	Yes	D21M
7	0.0048780487804878	0	0	unweighted	Yes	D21M
8	0.0048780487804878	0	0	unweighted	Yes	D21M
9	0.0048780487804878	0	0	unweighted	Yes	D21M
10	0.0048780487804878	0	0	unweighted	Yes	D21M
11	0.0048780487804878	0	0	unweighted	Yes	D21M
12	0.0048780487804878	0	0	unweighted	Yes	D21M
13	0.0048780487804878	0	0	unweighted	Yes	D21M
14	0.0048780487804878	0	0	unweighted	Yes	D21M
15	0.0048780487804878	0	0	unweighted	Yes	D21M
16	0.0048780487804878	0	0	unweighted	Yes	D21M
17	0.0048780487804878	0	0	unweighted	Yes	D21M
18	0.0048780487804878	0	0	unweighted	Yes	D21M
19	0.0048780487804878	0	0	unweighted	Yes	D21M
20	0.0048780487804878	0	0	unweighted	Yes	D21M
