Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
1	0.00909090909090909	0	0	weighted	Yes	D05M
2	0.00909090909090909	0	0	weighted	Yes	D05M
3	0.00909090909090909	0	0	weighted	Yes	D05M
4	0.00909090909090909	0	0	weighted	Yes	D05M
5	0.00909090909090909	0	0	weighted	Yes	D05M
6	0.00909090909090909	0	0	weighted	Yes	D05M
7	0.00909090909090909	0	0	weighted	Yes	D05M
8	0.00909090909090909	0	0	weighted	Yes	D05M
9	0.00909090909090909	0	0	weighted	Yes	D05M
10	0.00909090909090909	0	0	weighted	Yes	D05M
11	0.00909090909090909	0	0	weighted	Yes	D05M
12	0.00909090909090909	0	0	weighted	Yes	D05M
13	0.00909090909090909	0	0	weighted	Yes	D05M
14	0.00909090909090909	0	0	weighted	Yes	D05M
15	0.00909090909090909	0	0	weighted	Yes	D05M
16	0.00909090909090909	0	0	weighted	Yes	D05M
17	0.00909090909090909	0	0	weighted	Yes	D05M
18	0.00909090909090909	0	0	weighted	Yes	D05M
19	0.00909090909090909	0	0	weighted	Yes	D05M
20	0.00909090909090909	0	0	weighted	Yes	D05M
21	0.00909090909090909	0	0	weighted	Yes	D05M
22	0.00909090909090909	0	0	weighted	Yes	D05M
23	0.00909090909090909	0	0	weighted	Yes	D05M
24	0.00909090909090909	0	0	weighted	Yes	D05M
1	0.00909090909090909	0	0	unweighted	Yes	D05M
2	0.00909090909090909	0	0	unweighted	Yes	D05M
3	0.00909090909090909	0	0	unweighted	Yes	D05M
4	0.00909090909090909	0	0	unweighted	Yes	D05M
5	0.00909090909090909	0	0	unweighted	Yes	D05M
6	0.00909090909090909	0	0	unweighted	Yes	D05M
7	0.00909090909090909	0	0	unweighted	Yes	D05M
8	0.00909090909090909	0	0	unweighted	Yes	D05M
9	0.00909090909090909	0	0	unweighted	Yes	D05M
10	0.00909090909090909	0	0	unweighted	Yes	D05M
11	0.00909090909090909	0	0	unweighted	Yes	D05M
12	0.00909090909090909	0	0	unweighted	Yes	D05M
13	0.00909090909090909	0	0	unweighted	Yes	D05M
14	0.00909090909090909	0	0	unweighted	Yes	D05M
15	0.00909090909090909	0	0	unweighted	Yes	D05M
16	0.00909090909090909	0	0	unweighted	Yes	D05M
17	0.00909090909090909	0	0	unweighted	Yes	D05M
18	0.00909090909090909	0	0	unweighted	Yes	D05M
19	0.00909090909090909	0	0	unweighted	Yes	D05M
20	0.00909090909090909	0	0	unweighted	Yes	D05M
21	0.00909090909090909	0	0	unweighted	Yes	D05M
22	0.00909090909090909	0	0	unweighted	Yes	D05M
23	0.00909090909090909	0	0	unweighted	Yes	D05M
24	0.00909090909090909	0	0	unweighted	Yes	D05M
1	0.714727272727273	0.011684987939682	0.0011684987939682	weighted	No	D05M
2	0.713272727272727	0.013076668103351	0.0013076668103351	weighted	No	D05M
3	0.709909090909091	0.0160398014842889	0.00160398014842889	weighted	No	D05M
4	0.708545454545454	0.0174231045262653	0.00174231045262653	weighted	No	D05M
5	0.709181818181818	0.0166225310932151	0.00166225310932151	weighted	No	D05M
6	0.702454545454545	0.0216928986438785	0.00216928986438785	weighted	No	D05M
7	0.702272727272727	0.0212072013184653	0.00212072013184653	weighted	No	D05M
8	0.700545454545455	0.0213814571160709	0.00213814571160709	weighted	No	D05M
9	0.697363636363636	0.0226507435121062	0.00226507435121062	weighted	No	D05M
10	0.695909090909091	0.0235569408007096	0.00235569408007096	weighted	No	D05M
11	0.693909090909091	0.0224567926960159	0.00224567926960159	weighted	No	D05M
12	0.690363636363636	0.023107742792038	0.0023107742792038	weighted	No	D05M
13	0.682636363636364	0.0222341357163035	0.00222341357163035	weighted	No	D05M
14	0.685363636363636	0.0225250878118887	0.00225250878118887	weighted	No	D05M
15	0.686272727272727	0.0229145634578896	0.00229145634578896	weighted	No	D05M
16	0.679363636363636	0.021304599670238	0.0021304599670238	weighted	No	D05M
17	0.680090909090909	0.0211014428588529	0.00211014428588529	weighted	No	D05M
18	0.677909090909091	0.0198186535861827	0.00198186535861827	weighted	No	D05M
19	0.675363636363636	0.0190032532221317	0.00190032532221317	weighted	No	D05M
20	0.674363636363636	0.0189189421255394	0.00189189421255394	weighted	No	D05M
21	0.671909090909091	0.0168023527623995	0.00168023527623995	weighted	No	D05M
22	0.670090909090909	0.0150295365484826	0.00150295365484826	weighted	No	D05M
23	0.665909090909091	0.00907942341469806	0.000907942341469806	weighted	No	D05M
24	0.663636363636364	0	0	weighted	No	D05M
1	0.714545454545454	0.0117006945353142	0.00117006945353142	unweighted	No	D05M
2	0.712181818181818	0.0148014660065447	0.00148014660065447	unweighted	No	D05M
3	0.712272727272727	0.0148102053379451	0.00148102053379451	unweighted	No	D05M
4	0.707909090909091	0.0169783036025826	0.00169783036025826	unweighted	No	D05M
5	0.704181818181818	0.020365636790108	0.0020365636790108	unweighted	No	D05M
6	0.703090909090909	0.0204392862172387	0.00204392862172387	unweighted	No	D05M
7	0.7	0.0212317893862233	0.00212317893862233	unweighted	No	D05M
8	0.703818181818182	0.0206003881351333	0.00206003881351333	unweighted	No	D05M
9	0.695636363636364	0.0222485860809825	0.00222485860809825	unweighted	No	D05M
10	0.691909090909091	0.0220758809467691	0.00220758809467691	unweighted	No	D05M
11	0.693090909090909	0.0231906841289733	0.00231906841289733	unweighted	No	D05M
12	0.689727272727273	0.0228108655530152	0.00228108655530152	unweighted	No	D05M
13	0.693818181818182	0.0225615630121907	0.00225615630121907	unweighted	No	D05M
14	0.683818181818182	0.0217975108691373	0.00217975108691373	unweighted	No	D05M
15	0.682818181818182	0.0219241001135767	0.00219241001135767	unweighted	No	D05M
16	0.680636363636364	0.0207809383718829	0.00207809383718829	unweighted	No	D05M
17	0.682090909090909	0.0222100935262614	0.00222100935262614	unweighted	No	D05M
18	0.678090909090909	0.0195147322987671	0.00195147322987671	unweighted	No	D05M
19	0.673818181818182	0.0177299213956864	0.00177299213956864	unweighted	No	D05M
20	0.672909090909091	0.0165462718897199	0.00165462718897199	unweighted	No	D05M
21	0.668	0.0120853463870617	0.00120853463870617	unweighted	No	D05M
22	0.667	0.0109377493173974	0.00109377493173974	unweighted	No	D05M
23	0.667727272727273	0.0124188660005908	0.00124188660005908	unweighted	No	D05M
24	0.663636363636364	0	0	unweighted	No	D05M
1	0.00909090909090909	0	0	weighted	Yes	D05M
2	0.00909090909090909	0	0	weighted	Yes	D05M
3	0.00909090909090909	0	0	weighted	Yes	D05M
4	0.00909090909090909	0	0	weighted	Yes	D05M
5	0.00909090909090909	0	0	weighted	Yes	D05M
6	0.00909090909090909	0	0	weighted	Yes	D05M
7	0.00909090909090909	0	0	weighted	Yes	D05M
8	0.00909090909090909	0	0	weighted	Yes	D05M
9	0.00909090909090909	0	0	weighted	Yes	D05M
10	0.00909090909090909	0	0	weighted	Yes	D05M
11	0.00909090909090909	0	0	weighted	Yes	D05M
12	0.00909090909090909	0	0	weighted	Yes	D05M
13	0.00909090909090909	0	0	weighted	Yes	D05M
14	0.00909090909090909	0	0	weighted	Yes	D05M
15	0.00909090909090909	0	0	weighted	Yes	D05M
16	0.00909090909090909	0	0	weighted	Yes	D05M
17	0.00909090909090909	0	0	weighted	Yes	D05M
18	0.00909090909090909	0	0	weighted	Yes	D05M
19	0.00909090909090909	0	0	weighted	Yes	D05M
20	0.00909090909090909	0	0	weighted	Yes	D05M
21	0.00909090909090909	0	0	weighted	Yes	D05M
22	0.00909090909090909	0	0	weighted	Yes	D05M
23	0.00909090909090909	0	0	weighted	Yes	D05M
24	0.00909090909090909	0	0	weighted	Yes	D05M
1	0.00909090909090909	0	0	unweighted	Yes	D05M
2	0.00909090909090909	0	0	unweighted	Yes	D05M
3	0.00909090909090909	0	0	unweighted	Yes	D05M
4	0.00909090909090909	0	0	unweighted	Yes	D05M
5	0.00909090909090909	0	0	unweighted	Yes	D05M
6	0.00909090909090909	0	0	unweighted	Yes	D05M
7	0.00909090909090909	0	0	unweighted	Yes	D05M
8	0.00909090909090909	0	0	unweighted	Yes	D05M
9	0.00909090909090909	0	0	unweighted	Yes	D05M
10	0.00909090909090909	0	0	unweighted	Yes	D05M
11	0.00909090909090909	0	0	unweighted	Yes	D05M
12	0.00909090909090909	0	0	unweighted	Yes	D05M
13	0.00909090909090909	0	0	unweighted	Yes	D05M
14	0.00909090909090909	0	0	unweighted	Yes	D05M
15	0.00909090909090909	0	0	unweighted	Yes	D05M
16	0.00909090909090909	0	0	unweighted	Yes	D05M
17	0.00909090909090909	0	0	unweighted	Yes	D05M
18	0.00909090909090909	0	0	unweighted	Yes	D05M
19	0.00909090909090909	0	0	unweighted	Yes	D05M
20	0.00909090909090909	0	0	unweighted	Yes	D05M
21	0.00909090909090909	0	0	unweighted	Yes	D05M
22	0.00909090909090909	0	0	unweighted	Yes	D05M
23	0.00909090909090909	0	0	unweighted	Yes	D05M
24	0.00909090909090909	0	0	unweighted	Yes	D05M
1	0.714727272727273	0.011684987939682	0.0011684987939682	weighted	No	D05M
2	0.713272727272727	0.013076668103351	0.0013076668103351	weighted	No	D05M
3	0.709909090909091	0.0160398014842889	0.00160398014842889	weighted	No	D05M
4	0.708545454545454	0.0174231045262653	0.00174231045262653	weighted	No	D05M
5	0.709181818181818	0.0166225310932151	0.00166225310932151	weighted	No	D05M
6	0.702454545454545	0.0216928986438785	0.00216928986438785	weighted	No	D05M
7	0.702272727272727	0.0212072013184653	0.00212072013184653	weighted	No	D05M
8	0.700545454545455	0.0213814571160709	0.00213814571160709	weighted	No	D05M
9	0.697363636363636	0.0226507435121062	0.00226507435121062	weighted	No	D05M
10	0.695909090909091	0.0235569408007096	0.00235569408007096	weighted	No	D05M
11	0.693909090909091	0.0224567926960159	0.00224567926960159	weighted	No	D05M
12	0.690363636363636	0.023107742792038	0.0023107742792038	weighted	No	D05M
13	0.682636363636364	0.0222341357163035	0.00222341357163035	weighted	No	D05M
14	0.685363636363636	0.0225250878118887	0.00225250878118887	weighted	No	D05M
15	0.686272727272727	0.0229145634578896	0.00229145634578896	weighted	No	D05M
16	0.679363636363636	0.021304599670238	0.0021304599670238	weighted	No	D05M
17	0.680090909090909	0.0211014428588529	0.00211014428588529	weighted	No	D05M
18	0.677909090909091	0.0198186535861827	0.00198186535861827	weighted	No	D05M
19	0.675363636363636	0.0190032532221317	0.00190032532221317	weighted	No	D05M
20	0.674363636363636	0.0189189421255394	0.00189189421255394	weighted	No	D05M
21	0.671909090909091	0.0168023527623995	0.00168023527623995	weighted	No	D05M
22	0.670090909090909	0.0150295365484826	0.00150295365484826	weighted	No	D05M
23	0.665909090909091	0.00907942341469806	0.000907942341469806	weighted	No	D05M
24	0.663636363636364	0	0	weighted	No	D05M
1	0.714545454545454	0.0117006945353142	0.00117006945353142	unweighted	No	D05M
2	0.712181818181818	0.0148014660065447	0.00148014660065447	unweighted	No	D05M
3	0.712272727272727	0.0148102053379451	0.00148102053379451	unweighted	No	D05M
4	0.707909090909091	0.0169783036025826	0.00169783036025826	unweighted	No	D05M
5	0.704181818181818	0.020365636790108	0.0020365636790108	unweighted	No	D05M
6	0.703090909090909	0.0204392862172387	0.00204392862172387	unweighted	No	D05M
7	0.7	0.0212317893862233	0.00212317893862233	unweighted	No	D05M
8	0.703818181818182	0.0206003881351333	0.00206003881351333	unweighted	No	D05M
9	0.695636363636364	0.0222485860809825	0.00222485860809825	unweighted	No	D05M
10	0.691909090909091	0.0220758809467691	0.00220758809467691	unweighted	No	D05M
11	0.693090909090909	0.0231906841289733	0.00231906841289733	unweighted	No	D05M
12	0.689727272727273	0.0228108655530152	0.00228108655530152	unweighted	No	D05M
13	0.693818181818182	0.0225615630121907	0.00225615630121907	unweighted	No	D05M
14	0.683818181818182	0.0217975108691373	0.00217975108691373	unweighted	No	D05M
15	0.682818181818182	0.0219241001135767	0.00219241001135767	unweighted	No	D05M
16	0.680636363636364	0.0207809383718829	0.00207809383718829	unweighted	No	D05M
17	0.682090909090909	0.0222100935262614	0.00222100935262614	unweighted	No	D05M
18	0.678090909090909	0.0195147322987671	0.00195147322987671	unweighted	No	D05M
19	0.673818181818182	0.0177299213956864	0.00177299213956864	unweighted	No	D05M
20	0.672909090909091	0.0165462718897199	0.00165462718897199	unweighted	No	D05M
21	0.668	0.0120853463870617	0.00120853463870617	unweighted	No	D05M
22	0.667	0.0109377493173974	0.00109377493173974	unweighted	No	D05M
23	0.667727272727273	0.0124188660005908	0.00124188660005908	unweighted	No	D05M
24	0.663636363636364	0	0	unweighted	No	D05M
