Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
1	0	0	0	weighted	Yes	D12M
2	0	0	0	weighted	Yes	D12M
3	0	0	0	weighted	Yes	D12M
4	0	0	0	weighted	Yes	D12M
5	0	0	0	weighted	Yes	D12M
6	0	0	0	weighted	Yes	D12M
7	0	0	0	weighted	Yes	D12M
8	0	0	0	weighted	Yes	D12M
9	0	0	0	weighted	Yes	D12M
10	0	0	0	weighted	Yes	D12M
11	0	0	0	weighted	Yes	D12M
12	0	0	0	weighted	Yes	D12M
13	0	0	0	weighted	Yes	D12M
14	0	0	0	weighted	Yes	D12M
15	0	0	0	weighted	Yes	D12M
16	0	0	0	weighted	Yes	D12M
17	0	0	0	weighted	Yes	D12M
18	0	0	0	weighted	Yes	D12M
19	0	0	0	weighted	Yes	D12M
20	0	0	0	weighted	Yes	D12M
21	0	0	0	weighted	Yes	D12M
22	0	0	0	weighted	Yes	D12M
23	0	0	0	weighted	Yes	D12M
24	0	0	0	weighted	Yes	D12M
25	0	0	0	weighted	Yes	D12M
1	0	0	0	unweighted	Yes	D12M
2	0	0	0	unweighted	Yes	D12M
3	0	0	0	unweighted	Yes	D12M
4	0	0	0	unweighted	Yes	D12M
5	0	0	0	unweighted	Yes	D12M
6	0	0	0	unweighted	Yes	D12M
7	0	0	0	unweighted	Yes	D12M
8	0	0	0	unweighted	Yes	D12M
9	0	0	0	unweighted	Yes	D12M
10	0	0	0	unweighted	Yes	D12M
11	0	0	0	unweighted	Yes	D12M
12	0	0	0	unweighted	Yes	D12M
13	0	0	0	unweighted	Yes	D12M
14	0	0	0	unweighted	Yes	D12M
15	0	0	0	unweighted	Yes	D12M
16	0	0	0	unweighted	Yes	D12M
17	0	0	0	unweighted	Yes	D12M
18	0	0	0	unweighted	Yes	D12M
19	0	0	0	unweighted	Yes	D12M
20	0	0	0	unweighted	Yes	D12M
21	0	0	0	unweighted	Yes	D12M
22	0	0	0	unweighted	Yes	D12M
23	0	0	0	unweighted	Yes	D12M
24	0	0	0	unweighted	Yes	D12M
25	0	0	0	unweighted	Yes	D12M
1	0.798685714285714	0.00412982475221698	0.000412982475221698	weighted	No	D12M
2	0.7972	0.00541770005841065	0.000541770005841065	weighted	No	D12M
3	0.795371428571429	0.00701948285551395	0.000701948285551395	weighted	No	D12M
4	0.7944	0.00791544680247868	0.000791544680247868	weighted	No	D12M
5	0.793428571428571	0.00872399099983272	0.000872399099983272	weighted	No	D12M
6	0.791714285714286	0.00872399099983271	0.000872399099983271	weighted	No	D12M
7	0.789428571428571	0.00965707625684662	0.000965707625684662	weighted	No	D12M
8	0.788628571428571	0.0102250898973851	0.00102250898973851	weighted	No	D12M
