OTU1028		2	2	3		1		3			2			1	2		1	1	1	1
OTU1036	1	1	1	6	1			1		1	1	1	2			1		2	6	1
OTU1080	23	9	17	49	9	2	57	61	4	8	22	19	28	4	9	11	10	10	19	31
OTU110	37	33	156	31	28	37	235	43	71	31	24	107	58	34	119	36	26	49	52	47
OTU1108			4		1	3	49	3	3			7	3	2	3	7				12
OTU1117		1				1	1	1		1	2			1		2	2	1		
OTU1119	1	1	4	3	3	1	5	3	1	4	6	2	1	3	1	3	2	3	9	3
OTU1123	2	2	4	1	3	1	1	1			2	2	1	1	2	1	1		3	
OTU1189	6	1	2	4	5	2	3	3	1	2	2	8	1	1	1	2	4	3	4	2
OTU1280	1	4		7		1	6	3		1	3	4	1	2		3	4		5	2
OTU1305	1	1	42			1	1		1			5	1	1	2	1	1	5		
OTU1319	3		3	2	1		1	4		1	3	1			3		1	1	1	
OTU1321	5	3	5	5			5	14	2	1	3	3	1	6			8	3	11	2
OTU1345	2	2	27			7	59	1	13	3		13	6	1	14	8	4	11	2	1
OTU1365	1			3	1		1	1	1	2	2	1	1			1	3	1	2	
OTU1380	2	1		3				1		1	1		1			1	2	2	2	1
OTU1382		1	1		1		1			2	1		2	1	5	1	2	1	1	
OTU1402	8	1	2	7	1	2	6	12	2		4	10	5	4	1	1	5	6	13	5
OTU1423		1	1					2			1	1		3	1		1	1	2	
OTU1425	14	8	3	15	6	1	7	6	2	2	8	2	5	4	3	4	10	7	11	7
OTU1449	2			2	1	1		1		1	2	3		2	1			1		2
OTU1452	3	4	1	10			5	4	3	3	1	2	3	2	1	3	2	5	11	4
OTU1463	7	2	2	2	1		1	2	1		1	3	1	2		3	1	3	2	
OTU1479	1					1		1	1		1	1			1		1	1		1
OTU1486	1	1					1	1		4		1		1	1		2			1
OTU1504	1			1		1			1				2			1	2	1	1	1
OTU1508	11	3	9	10	4	2	9	13	6	5	9	4	1	7	7	2	10	4	12	8
OTU1513	4		2	2			4	3	1			4		1	1	2	2	3	2	2
OTU1557	2	1	1	10	1		3	1			1	1	2		2		1		4	7
OTU1605	73	39	37	74	19	35	44	56	27	35	49	54	18	27	16	22	72	67	81	50
OTU1621	5	6	1	3	2	4	7	1		4	3	2	3	2	2	3	2	2	7	6
OTU1675	1	1	1	3		1	1	1		2	1		1	1			2	1	6	
OTU1677	9		3	11		3	10	10	1	2	3	6	1	3	5		6	9	14	12
OTU1685	1		2	1	1	1		3	1		1			2			1		1	1
OTU1686	1	2		1	3	1		2	1	1				3	1			3	1	1
OTU1693	2	1			1			2			2	1		1			1		2	1
OTU1704	4	2	4	2			4	1			1			1			2	1	6	3
OTU1707		1	2	1	1	2	1	1			2	1	1	2	1	1	1		2	2
OTU1723	4	1		6	3		2	2		3	2	1			1		3	1	2	
OTU1781	1		1	1	1	1	1	1		1	1			2			1			
OTU1788	2		6	4			3		2	8		4	3	5						3
OTU1874	7	6	7	9	6	8	9	9	1	6	8	6	3	8	6	3	14	10	14	7
OTU1898	5	1	1	6	1	2	1	6	1		4	5		1	1	2	3	7	6	6
OTU1920	4			1		1	1	4			1		2	2			1	1	2	1
OTU1936	23	18	10	18	6	11	18	19	2	11	15	7	10	9	15	5	17	12	16	8
OTU1938		1	2	2	1		1		1			2	1	1				1	4	
OTU1941	3			2		1	2			1		5	1	2		1	3		4	1
OTU1945	5	2	1	17	3	4	13	8	5	3	3	5	6	4	3		12	12	10	7
OTU1954	4	1					1			4	1		1	2			1	2	2	1
OTU1999	1	1	2	2			2	1	2	2	1		1			2	2	2	6	
OTU2009	27	6	11	14	12	14	8	14	8	13	6	3	4	19	9	10	11	12	9	9
OTU2086	10	2	3	5	1	2	4	10	2	1	7	1	2	2	1	1	8	3	18	9
OTU2141	3	1	1	1	1		3			1	1				1			1	3	3
OTU2179	5	24	25	6	7	19	84	7	29	5	7	21	13	11	50	13	7	20	6	9
OTU2183	1	3	2	3	1	1	1	3		3	1	2	1	4		1	2	1	2	3
OTU2185	1	2	1			1	1	2			1	1		1			2	1	2	1
OTU2198		2	4	1	1	1	41		9	2	1	13	1	2	12	3	2	7		7
OTU2224	2	1		5	1	1	3	4		2	2	2	1		2		1	8	4	2
OTU2252	2	3		4				1		1			1	3	1	1		1	1	3
OTU2262		2		1	1	1	2			1		3	1				3	1	3	4
OTU2274	1	2	1	2	2	1	22	1	5	1		5	1	3	6	2	4	3		1
OTU2277	2		1	1		1	1				1					2	2	2	1	1
