OTU103	2	2	5	7	4	2	5	9	3	2	9	12	1	4	1	8		11	5	
OTU1036			3	1	3	2	7	2	4		2	2		1		2	3	6	4	
OTU1080	155	42	47	80	53	67	104	131	40	20	54	80	9	72	42	45	15	74	77	30
OTU1099			3	1	2	2	2	2	1		2	3	1			5	1	2		1
OTU110	181	312	212	103	52	101	100	59	134	99	173	117	112	60	233	111	3	51	119	341
OTU1108	2	8	72		2	1	1	3	8	19	3		1	3	37	7		1		38
OTU1117			1		4	1	1				2		1	1	1	2		1		
OTU1119			10	5	17	11	6	10	3	3	9	6	5	5	6	4	8	5	4	
OTU1120	1		3	2	2	3		2	1	1	2			1	2	2		3	2	
OTU1123			1	3	3	3	3		2	1	2	2	3	2		1		1	1	
OTU1189	1		2	4	5	5	1	3	1		5	1	1	2	2	5	1	2	2	1
OTU1234	1			4		2		1	1	1	1	1		2	1	1	1	1		
OTU1280		1	3	2	2	6	6	9	2	1	1	6	1	4	4	4	2	5	2	
OTU1301		1	1		1	1		1			3	1			2			1	1	1
OTU1306			1	1	2		1	1	1		2	2	3		2			2		
OTU1319			1	1	1	3	1	4	1		3	1			2	1		2	3	
OTU1321	4	1	5	12	8	8	11	10	7	1	9	8	3	3	2	8	9	4	9	1
OTU1345	2	4	17	4	1	1		2	21	7	2	4		1	20	1			2	11
OTU1365	1		2	3	5	5	1	6		1	2	4	3	1	1	5	2	1	4	
OTU1380					2	1	2		2	1	1	2		1	1	1	2		1	
OTU1382	1	3	3		1	1	2		1	4	1	1	6	2	6	4			1	6
OTU1402	12	3	8	9	12	11	11	14	9	1	13	12	7	8	5	11	1	8	2	
OTU1423			1	1	4	6	2	2			2	2		2		1	1	3		
OTU1425	6		12	9	6	11	7	17	3		9	8	6	16	2	9	11	23	10	5
OTU1431			1	3		2	1		1			4	1	1	1	2		2		
OTU1449	1	1			1	1	1	2			1			1	1			2		
OTU1452			6	6	5	14	6	9	1	2	6	8	6	3	3	7	7	6	5	
OTU1457	3		1	2	1	1	1	1				3			1	1			8	1
OTU1463			2	3	3	4	2	2			3	4		6	2			4	5	
OTU1464			2	1	1							1	1	1		1		1	2	1
OTU1479			1		5	2	3			2	1		2		1	1		1	2	
OTU1481			1		1		1	4	1			2	1			4			1	1
OTU1504				2	4	1	1	3	1	1				1	2			4	2	
OTU1506					2				2		1	1	1	3	1	1		2	2	
OTU1508		1	4	7	13	6	11	7	3	4	9	12	6	6	6	9	2	10	9	
OTU1513			2	1	4	2	3	8	1		2	5		2		7	1	4	3	1
OTU1546			2	3	2		1	3	3				2	1		5		5	2	
OTU1554	2		2	1	2			2	1	1	1	1		1	1	2				
OTU1557			3	5	6	1	4	4	1	2	3	4	2	3	1	7	1	4	2	2
OTU1605	1		48	48	123	82	67	77	60	28	56	71	47	48	60	106	35	72	37	7
OTU1621	1		1	1	4	2	9	6	2		5	3	5	4	4	3	2	6	3	
