from	to	type
OTU442	OTU455	0.9707915
OTU3992	OTU4132	0.967835
OTU1080	OTU1677	0.9623988
OTU7440	OTU7471	0.957218
OTU2086	OTU2340	0.9540415
OTU5465	OTU5974	0.9468124
OTU5465	OTU5576	0.9511208
OTU7471	OTU7527	0.944342
OTU110	OTU2179	0.9429061
OTU2198	OTU8418	0.9621299
OTU5576	OTU5653	0.9393816
OTU3992	OTU442	0.9648712
OTU4132	OTU442	0.9457587
OTU5151	OTU5455	0.9361726
OTU5576	OTU7440	0.9589465
OTU1898	OTU3536	0.9375144
OTU2874	OTU3536	0.9332113
OTU1605	OTU7782	0.937239
OTU5465	OTU7471	0.9476556
OTU2198	OTU2274	0.9294858
OTU1080	OTU7471	0.9482864
OTU5649	OTU6841	0.9436028
OTU1080	OTU5497	0.9461785
OTU6042	OTU8418	0.9277961
OTU1080	OTU1321	0.9258534
OTU3536	OTU3806	0.9255235
OTU7394	OTU7527	0.9408595
OTU1080	OTU3245	0.9438386
OTU110	OTU2274	0.9224913
OTU6816	OTU6841	0.9221413
OTU8700	OTU8907	0.921972
OTU1605	OTU1898	0.919467
OTU2340	OTU2405	0.9183332
OTU5039	OTU8700	0.9422931
OTU1605	OTU5576	0.9239125
OTU1108	OTU1345	0.917211
OTU103	OTU1080	0.91563
OTU2274	OTU8418	0.9419448
OTU5653	OTU7782	0.9212364
OTU5465	OTU5649	0.9297252
OTU1605	OTU5146	0.9219081
OTU1321	OTU3536	0.920811
OTU7394	OTU8700	0.9191163
OTU5974	OTU7440	0.9474127
OTU2086	OTU5497	0.9228183
OTU6622	OTU6841	0.9113816
OTU1605	OTU3245	0.9175851
OTU5465	OTU7782	0.9168634
OTU1954	OTU5128	0.9339499
OTU7644	OTU7831	0.9094068
OTU3984	OTU5576	0.9153524
OTU2274	OTU6042	0.9089629
OTU6841	OTU6880	0.9087164
OTU2874	OTU6841	0.9366069
OTU5638	OTU6841	0.9134783
OTU2279	OTU6749	-0.9069924
OTU3638	OTU7038	0.9069322
OTU2778	OTU8700	0.9131113
OTU1080	OTU8370	0.9345607
OTU3169	OTU5128	0.9281866
OTU1605	OTU7471	0.9123387
OTU1080	OTU2874	0.9323532
OTU1694	OTU1945	0.9029484
OTU2340	OTU2874	0.9262536
OTU1605	OTU8907	0.9120552
OTU5128	OTU5146	0.9016115
OTU7782	OTU8700	0.9014506
OTU2340	OTU3536	0.9657741
OTU1080	OTU5146	0.9344465
OTU5465	OTU5638	0.9187641
OTU1605	OTU7997	0.9352269
OTU8053	OTU8700	0.8999426
OTU5465	OTU5497	0.8998843
OTU3245	OTU3536	0.8996839
OTU1704	OTU6841	0.9303405
OTU7440	OTU7744	0.9524067
OTU1605	OTU2874	0.9074082
OTU3536	OTU5649	0.9069644
OTU5497	OTU8700	0.9066004
OTU2536	OTU2727	0.898136
OTU1945	OTU2086	0.8979356
OTU6234	OTU8147	-0.8969499
OTU1080	OTU1119	0.8965772
OTU3984	OTU3992	0.8965245
OTU3536	OTU5146	0.9038228
OTU3536	OTU6622	0.9038408
OTU5795	OTU8700	0.9267832
OTU7440	OTU7527	0.9470487
OTU1108	OTU8583	0.9295188
OTU4331	OTU5128	0.8933447
OTU1345	OTU284	0.8928855
OTU5576	OTU6841	0.9269441
OTU1936	OTU8828	0.8923751
OTU5649	OTU5653	0.8919689
OTU5146	OTU5151	0.89182
OTU2198	OTU3523	0.8913718
OTU1605	OTU1694	0.8911879
OTU5465	OTU8434	0.9005386
OTU3536	OTU7471	0.9346637
OTU1425	OTU5570	0.8963672
OTU1080	OTU6257	0.9242989
OTU1605	OTU1954	0.8897181
OTU6257	OTU8700	0.8977706
OTU2283	OTU2753	0.8894339
OTU3992	OTU455	0.9552455
OTU3536	OTU4778	0.8974673
OTU1080	OTU7765	0.9232475
OTU5653	OTU5709	0.8881443
OTU6602	OTU6841	0.8880445
OTU1677	OTU1945	0.8874905
OTU3638	OTU8583	0.8874311
OTU2185	OTU994	0.8866519
OTU438	OTU4665	0.8863056
OTU2778	OTU3536	0.8860676
OTU1605	OTU5649	0.8978334
OTU3536	OTU8053	0.8964657
OTU3245	OTU5128	0.9188899
OTU5638	OTU5653	0.8854884
OTU8804	OTU8876	0.8852681
OTU3984	OTU4778	0.8922395
OTU1119	OTU3536	0.894951
OTU1080	OTU5732	0.9233115
OTU5497	OTU7440	0.9394402
OTU7644	OTU7744	0.88425
OTU5497	OTU6195	0.8841312
OTU7249	OTU8751	0.8840888
OTU6841	OTU7471	0.919732
OTU2179	OTU6042	0.8834809
OTU7092	OTU8649	0.8833953
OTU5649	OTU8700	0.8939662
OTU7549	OTU7644	0.8827299
OTU5465	OTU7394	0.8918116
OTU3169	OTU3536	0.8817415
OTU7744	OTU8053	0.8813091
OTU8199	OTU8700	0.8812461
OTU4132	OTU4412	0.8812447
OTU3536	OTU373	0.8812184
OTU2086	OTU7744	0.9639526
OTU1080	OTU3169	0.8904657
OTU1605	OTU1704	0.8796613
OTU2179	OTU2198	0.8781209
OTU5653	OTU6816	0.8781009
OTU4778	OTU5128	0.8775628
OTU1677	OTU8700	0.9261597
OTU7744	OTU8370	0.8771508
OTU1080	OTU8053	0.9213155
OTU8446	OTU8700	0.8768072
OTU3536	OTU7765	0.8891606
OTU5783	OTU7083	0.9022494
OTU1685	OTU8700	0.8887938
OTU1605	OTU8434	0.8903637
OTU1677	OTU7440	0.9447811
OTU6880	OTU7440	0.8760052
OTU791	OTU8700	0.8749589
OTU5576	OTU8700	0.9250475
OTU4778	OTU8700	0.8870469
OTU5465	OTU8199	0.8870181
OTU5653	OTU7997	0.8864546
OTU1605	OTU3748	0.8875066
OTU455	OTU5465	0.9381841
OTU5465	OTU5709	0.8848141
OTU3536	OTU3748	0.8739359
OTU2753	OTU4665	0.8737235
OTU3536	OTU7394	0.8862732
OTU1605	OTU6602	0.8862804
OTU7092	OTU7449	0.8732075
OTU283	OTU4848	0.8731527
OTU1605	OTU8370	0.887256
OTU1898	OTU6841	0.9209454
OTU110	OTU3523	0.8722033
OTU2874	OTU8700	0.9265371
OTU3984	OTU8907	0.8853929
OTU373	OTU6841	0.9166589
OTU1080	OTU2477	0.8800702
OTU1080	OTU1898	0.913227
OTU1080	OTU1704	0.906573
OTU3748	OTU3984	0.8702072
OTU5465	OTU6816	0.8812377
OTU7527	OTU7549	0.8700279
OTU1605	OTU8199	0.8839252
OTU8657	OTU8804	0.8695655
OTU3984	OTU8199	0.8832296
OTU3245	OTU6841	0.9166423
OTU1677	OTU2340	0.9363972
OTU1080	OTU5974	0.9169631
OTU5465	OTU7997	0.9207851
OTU1080	OTU1694	0.9067606
OTU2340	OTU5465	0.9761277
OTU3245	OTU3984	0.8790307
OTU4214	OTU6841	0.9092597
OTU5465	OTU5795	0.8784471
OTU5795	OTU6841	0.8671785
OTU5974	OTU6841	0.9079161
OTU5054	OTU5465	0.8877928
OTU5570	OTU6602	0.8669594
OTU7976	OTU8199	0.8668755
OTU5465	OTU8370	0.8803959
OTU1677	OTU6841	0.9190793
OTU1605	OTU5039	0.8816225
OTU5455	OTU5465	0.8666332
OTU8195	OTU8678	0.8664069
OTU4665	OTU7353	0.9144976
OTU5653	OTU8876	0.9600018
OTU2340	OTU3245	0.910497
OTU8370	OTU8700	0.9034151
OTU1605	OTU5974	0.8813926
OTU5146	OTU6841	0.9093827
OTU5039	OTU6195	0.8763731
OTU3536	OTU791	0.8798825
OTU2874	OTU6195	0.8786991
OTU3806	OTU3992	0.9322345
OTU3245	OTU8700	0.879813
OTU7644	OTU7782	0.9017486
OTU5871	OTU6854	0.86371
OTU1605	OTU5497	0.8802884
OTU1605	OTU5732	0.879365
OTU5998	OTU6994	-0.8623048
OTU7744	OTU7765	0.8618267
OTU1605	OTU791	0.8788523
OTU4815	OTU7976	0.8914521
OTU8418	OTU8583	0.8612765
OTU1677	OTU5128	0.9113503
OTU1704	OTU2340	0.914443
OTU1321	OTU3984	0.8763987
OTU103	OTU8603	-0.8608022
OTU5128	OTU6622	0.8732645
OTU4778	OTU5340	0.860613
OTU1119	OTU1621	0.860293
OTU5576	OTU6195	0.8601296
OTU5924	OTU7139	-0.860081
OTU3536	OTU5497	0.8750911
OTU3536	OTU5795	0.8750399
OTU2446	OTU7825	0.8598274
OTU5146	OTU8700	0.8754787
OTU5570	OTU5765	0.8686284
OTU4778	OTU5049	0.8592238
OTU6622	OTU7440	0.9018101
OTU3536	OTU8370	0.8745969
OTU5128	OTU5570	0.92206
OTU5465	OTU6257	0.8682992
OTU5974	OTU8700	0.8735527
OTU2405	OTU2778	0.8579378
OTU2753	OTU3860	0.8578097
OTU2405	OTU3245	0.8573677
OTU1704	OTU2086	0.8572062
OTU5128	OTU7394	0.9085314
OTU1080	OTU8199	0.9157437
OTU1605	OTU5709	0.873955
OTU1080	OTU6622	0.9130109
OTU1080	OTU5649	0.9145041
OTU5465	OTU6602	0.8972149
OTU2405	OTU373	0.8676759
OTU7394	OTU7440	0.8553768
OTU4665	OTU8828	0.8553351
OTU5465	OTU7765	0.8714415
OTU2766	OTU3536	0.8552733
OTU5570	OTU5732	0.8644962
OTU1605	OTU718	0.8710978
OTU7527	OTU7644	0.9018885
OTU3748	OTU6403	0.8695153
OTU1321	OTU1480	0.8540521
OTU718	OTU7440	0.8538851
OTU7782	OTU8657	0.8537366
OTU2766	OTU7440	0.8702792
OTU5653	OTU7831	0.8694571
OTU1704	OTU8700	0.8707951
OTU2274	OTU3638	0.8530639
OTU5146	OTU5340	0.8528546
OTU5974	OTU6403	0.8930972
OTU3860	OTU3984	0.8526097
OTU455	OTU4815	0.8525673
OTU2727	OTU8657	0.8657418
OTU7083	OTU8658	0.8521206
OTU3192	OTU6403	0.8521186
OTU2297	OTU5092	0.8519944
OTU6880	OTU7644	0.9339468
OTU1898	OTU8700	0.8696461
OTU3536	OTU6880	0.8688573
OTU5653	OTU8907	0.8685373
OTU5653	OTU5795	0.8512497
OTU1080	OTU5795	0.9088985
OTU2778	OTU6195	0.8669588
OTU5465	OTU8862	0.8676689
OTU373	OTU5128	0.8645108
OTU1954	OTU2086	0.8501523
OTU1321	OTU1945	0.8666782
OTU4412	OTU5653	0.9153972
OTU1898	OTU2086	0.8934835
OTU7527	OTU8199	0.9237421
OTU6234	OTU6816	-0.8498094
OTU3984	OTU7782	0.9263494
OTU5732	OTU7549	0.8620564
OTU5732	OTU7976	0.8899771
OTU5653	OTU6622	0.8610063
OTU7092	OTU8828	0.8493614
OTU3656	OTU8536	0.8492637
OTU5653	OTU8199	0.8650498
OTU7907	OTU8053	0.8489826
OTU3806	OTU442	0.944009
OTU6403	OTU7440	0.9275359
OTU2874	OTU5128	0.9048723
OTU4132	OTU5092	0.8486267
OTU7765	OTU8804	0.8485301
OTU1119	OTU6841	0.9036845
OTU5465	OTU5570	0.8482436
OTU1954	OTU3984	0.8960411
OTU3536	OTU7831	0.8662997
OTU5732	OTU8700	0.8650005
OTU1605	OTU6622	0.8683254
OTU2442	OTU4023	0.8473482
OTU1402	OTU1677	0.8472799
OTU7549	OTU791	0.8472096
OTU1704	OTU5653	0.9216834
OTU8370	OTU8446	0.8469924
OTU2578	OTU7736	0.8468537
OTU3536	OTU6602	0.8649065
OTU1605	OTU4778	0.9170722
OTU5570	OTU5744	0.8464746
OTU8055	OTU8195	0.8464494
OTU5497	OTU5653	0.8464458
OTU1080	OTU791	0.910623
OTU3992	OTU4214	0.8462009
OTU1321	OTU1605	0.8879153
OTU8379	OTU8569	0.8461041
OTU2589	OTU2598	0.8459435
OTU1119	OTU2405	0.8665523
OTU1936	OTU2185	0.8454703
OTU1605	OTU3860	0.8615996
OTU1677	OTU2086	0.9037215
OTU1080	OTU7394	0.9082705
OTU2598	OTU8405	0.8450595
OTU3748	OTU8700	0.8627795
OTU1605	OTU6257	0.8656743
OTU1080	OTU373	0.9033278
OTU3536	OTU5890	0.8628688
OTU1694	OTU7038	0.8561374
OTU8055	OTU8434	0.8440471
OTU4331	OTU6841	0.8612011
OTU3748	OTU5128	0.8583857
OTU4815	OTU5570	0.8435973
OTU1605	OTU5638	0.8617094
OTU4803	OTU8976	0.8434796
OTU8804	OTU8907	0.8434754
OTU2874	OTU7527	0.9524173
OTU1605	OTU6816	0.8645513
OTU3169	OTU7527	0.9250237
OTU4412	OTU6841	0.8986311
