id	degree	closeness	betweenness	hub_score	zi_scores	pi_scores	No..module
OTU442	17	0.000103135313531353	145.214319593074	0.195660553801665	2.45491020261841	0.470588235294118	1
OTU3992	36	0.000103498240529911	329.385117794868	0.583331895165237	1.49048119444689	0.62037037037037	1
OTU1080	53	0.000103573278094252	468.000460168452	0.953301489155081	2.6617047564109	0.425062299750801	3
OTU7440	50	0.000103906899418121	608.509679239629	0.910410224669645	1.9098486839821	0.532	3
OTU2086	22	0.000103241792277514	405.723217855742	0.370191564915097	0.213661293078083	0.65702479338843	2
OTU5465	43	0.000103691414350892	401.875912160929	0.725157710406977	1.58762465294118	0.50730124391563	3
OTU7471	18	0.000103050288540808	30.9219401245746	0.464738167009626	-0.238311522957345	0.475308641975309	3
OTU110	3	9.76181179226865e-05	43	1.55621192884485e-05	-0.445941292507922	0	7
OTU2198	5	9.76848686138517e-05	87.0119047619048	3.39794591821039e-05	0.573353090367329	0	7
OTU5576	21	0.000103305785123967	85.8627892145679	0.54316210101852	0.083912508083572	0.458049886621315	3
OTU4132	24	0.000103412616339193	577.713096153419	0.308786416286154	1.7805107756507	0.621527777777778	2
OTU5151	35	0.00010353038616834	308.130400424702	0.645590311558027	1.05058460120632	0.476734693877551	3
OTU1898	23	0.000103241792277514	459.211578685779	0.528202759661975	0.997086034364389	0.536862003780718	2
OTU2874	20	0.000103135313531353	32.8364032041806	0.56782961040421	-0.130903512610372	0.53	3
OTU1605	51	0.000103562551781276	561.154399996202	0.90987778488343	2.12466470467604	0.507497116493656	3
OTU5649	20	0.000103103412722961	73.1325306297536	0.541162891901476	0.191320518430544	0.345	3
OTU6042	5	9.76944118796405e-05	225	1.82524378702152e-05	0.573353090367329	0	7
OTU3536	51	0.000103616205574552	483.529349351553	0.882157577717807	1.80244067363513	0.566705113417916	3
OTU7394	12	0.000102944204241301	14.0390899751658	0.369552862157265	-0.560535553998261	0.416666666666667	3
OTU6816	16	0.000103401923275773	373.826423513003	0.429996630260573	-0.238311522957345	0.4140625	3
OTU8700	47	0.000103466114847387	651.663705659136	0.849495772077571	1.9098486839821	0.498868266183794	3
OTU2340	27	0.00010338054378166	180.809439221375	0.428523260284467	1.81195753050407	0.647462277091907	1
OTU5039	16	0.000103039670273055	207.062121983899	0.411428479213193	-0.116900485838972	0.6015625	1
OTU1108	6	9.93640699523052e-05	188.833333333333	0.000421964795329333	1.08300028180495	0	7
OTU103	11	0.000102732689541812	49.1879451946982	0.280300516494548	-0.560535553998261	0.297520661157025	3
OTU2274	5	9.93443274389032e-05	811.511904761905	0.000376217629808944	0.573353090367329	0	7
OTU5653	53	0.000103896103896104	1150.49149784982	0.853498767500288	2.82507709736577	0.621573513705945	2
OTU1321	23	0.00010366991499067	595.36429700252	0.536998264987329	0.997086034364389	0.536862003780718	2
