from	to	type
OTU3806	OTU7083	0.9955676
OTU4132	OTU442	0.9912115
OTU4812	OTU8285	0.9750801
OTU3781	OTU3806	0.9673754
OTU6680	OTU7083	0.965697
OTU2179	OTU2198	0.9571453
OTU4266	OTU8285	0.9583993
OTU1605	OTU2283	0.9579267
OTU455	OTU8881	0.9583196
OTU6816	OTU7083	0.9583225
OTU3547	OTU6512	0.9548846
OTU1119	OTU3806	0.9538735
OTU7083	OTU8881	0.9602486
OTU6195	OTU7083	0.9549091
OTU455	OTU6680	0.9536522
OTU4613	OTU4659	0.9446283
OTU4266	OTU5837	0.9465155
OTU110	OTU2179	0.9433082
OTU530	OTU7083	0.9455091
OTU455	OTU530	0.9414134
OTU4684	OTU4865	0.9410275
OTU455	OTU5576	0.943099
OTU4266	OTU4613	0.9400906
OTU455	OTU6816	0.9472228
OTU4132	OTU6195	0.953043
OTU4187	OTU4609	0.9403555
OTU4762	OTU5465	0.9360573
OTU3806	OTU455	0.972693
OTU8657	OTU8881	0.9351452
OTU7083	OTU8342	0.946906
OTU3781	OTU8876	0.9486216
OTU4553	OTU4659	0.9338665
OTU3987	OTU4132	0.9326555
OTU6512	OTU6750	0.9322123
OTU4266	OTU4695	0.9350889
OTU3391	OTU3781	0.9320402
OTU7083	OTU8275	0.9318379
OTU5455	OTU7083	0.935149
OTU6816	OTU8657	0.9470122
OTU1605	OTU791	0.9445409
OTU2756	OTU3806	0.9299027
OTU3806	OTU3992	0.9297873
OTU2759	OTU2866	0.9296357
OTU6594	OTU7083	0.9281193
OTU4609	OTU4659	0.9275665
OTU3524	OTU4659	0.930383
OTU455	OTU6195	0.9470625
OTU4659	OTU4695	0.9263611
OTU3135	OTU4187	0.9263126
OTU442	OTU4923	0.9257117
OTU455	OTU8342	0.9449337
OTU3090	OTU3488	0.9254741
OTU7083	OTU791	0.9252526
OTU3806	OTU4132	0.9597341
OTU4293	OTU4682	0.9240638
OTU3899	OTU4266	0.922263
OTU4266	OTU4553	0.929714
OTU7744	OTU8700	0.9432926
OTU2824	OTU4758	0.9337397
OTU4812	OTU6055	0.9208883
OTU6680	OTU8657	0.9406629
OTU442	OTU455	0.9203631
OTU2835	OTU4542	0.9195371
OTU455	OTU4815	0.9193941
OTU7440	OTU7744	0.9326463
OTU5576	OTU5653	0.918786
OTU2086	OTU3984	0.9338918
OTU8055	OTU8678	0.9179005
OTU1605	OTU5783	0.9438015
OTU4187	OTU4188	0.9164066
OTU1661	OTU4758	0.9157053
OTU533	OTU6543	0.9183146
OTU4659	OTU6769	0.9197556
OTU8876	OTU8881	0.9126604
OTU2756	OTU8235	0.9277442
OTU442	OTU4848	0.9121804
OTU5653	OTU6816	0.9403607
OTU1452	OTU7083	0.9565295
OTU8804	OTU8876	0.9108598
OTU4659	OTU4774	0.9151352
OTU2086	OTU2141	0.9100556
OTU4266	OTU8538	0.9284073
OTU6680	OTU8876	0.9158039
OTU2179	OTU8228	0.9130818
OTU3899	OTU4759	0.9130931
OTU5128	OTU8199	0.908616
OTU7083	OTU8195	0.9085444
OTU2765	OTU3271	0.9084768
OTU1605	OTU4815	0.9312667
OTU4815	OTU7083	0.9505274
OTU4815	OTU5653	0.9223297
OTU4266	OTU4609	0.9074403
OTU1452	OTU455	0.9587961
OTU2506	OTU5570	0.9259385
OTU1119	OTU1605	0.9069604
OTU4609	OTU6512	0.9132797
OTU4266	OTU6769	0.9138226
OTU5653	OTU5783	0.9068015
OTU4659	OTU4698	0.9067898
OTU1605	OTU8275	0.9476762
OTU4266	OTU4698	0.9114244
OTU6512	OTU8418	0.9058786
OTU4266	OTU4397	0.9057936
OTU4188	OTU4553	0.9433341
OTU6841	OTU7440	0.9290601
OTU3062	OTU4758	0.9206584
OTU3781	OTU8657	0.9473951
OTU2506	OTU4762	0.9043297
OTU1452	OTU4132	0.9469404
OTU5653	OTU8742	0.9103124
OTU3135	OTU4266	0.9095524
OTU533	OTU88	0.9037903
OTU4132	OTU6594	0.9282966
OTU4266	OTU6055	0.9102501
OTU2351	OTU4659	0.909462
OTU2198	OTU6042	0.902583
OTU3984	OTU3987	0.9021507
OTU3135	OTU4659	0.9091199
OTU442	OTU6880	0.9015177
OTU3992	OTU4132	0.9014076
OTU4613	OTU6512	0.9084983
OTU2179	OTU8418	0.9062575
OTU5128	OTU6602	0.9006033
OTU442	OTU4838	0.923148
OTU4698	OTU4846	0.9004658
OTU1452	OTU3992	0.9113583
OTU3806	OTU5455	0.9355242
OTU455	OTU6594	0.9196751
OTU4695	OTU4812	0.9274315
OTU1675	OTU2086	0.8988746
OTU3282	OTU3442	0.8985035
OTU4759	OTU4767	0.898354
OTU1605	OTU5151	0.9051496
OTU4187	OTU4397	0.9042329
OTU1677	OTU2340	0.8980304
OTU4812	OTU5837	0.8977744
OTU1605	OTU5455	0.9497445
OTU4759	OTU4812	0.9416867
OTU6578	OTU6594	0.8974028
OTU3899	OTU4812	0.9410889
OTU442	OTU7644	0.9277395
OTU5455	OTU5653	0.8966597
OTU3992	OTU455	0.9365835
OTU7304	OTU7882	0.8961745
OTU3524	OTU4266	0.901457
OTU3992	OTU5465	0.9585411
OTU455	OTU8275	0.9039811
OTU4188	OTU4266	0.8949907
OTU4759	OTU4774	0.894669
OTU360	OTU7083	0.9031618
OTU6594	OTU8876	0.9020343
OTU7440	OTU8055	0.8942495
OTU4762	OTU8876	0.9199707
OTU6512	OTU7900	0.9181451
OTU4659	OTU5475	0.9005103
OTU4187	OTU4691	0.901351
OTU2763	OTU6780	0.9046559
OTU5653	OTU6898	0.8932279
OTU3992	OTU4762	0.9423129
OTU4187	OTU5475	0.901456
OTU533	OTU5455	0.8928402
OTU8342	OTU8657	0.8927542
