Group1	Group2	Heterogeneous.Selection_Relative.Diff	Heterogeneous.Selection_Cohen.d	Heterogeneous.Selection_Effect.Size	Heterogeneous.Selection_P.value	Homogeneous.Selection_Relative.Diff	Homogeneous.Selection_Cohen.d	Homogeneous.Selection_Effect.Size	Homogeneous.Selection_P.value	Dispersal.Limitation_Relative.Diff	Dispersal.Limitation_Cohen.d	Dispersal.Limitation_Effect.Size	Dispersal.Limitation_P.value	Homogenizing.Dispersal_Relative.Diff	Homogenizing.Dispersal_Cohen.d	Homogenizing.Dispersal_Effect.Size	Homogenizing.Dispersal_P.value	Drift.and.Others_Relative.Diff	Drift.and.Others_Cohen.d	Drift.and.Others_Effect.Size	Drift.and.Others_P.value	Stochasticity_Relative.Diff	Stochasticity_Cohen.d	Stochasticity_Effect.Size	Stochasticity_P.value	Group
T00C	T05C	-0.37406900619251	-4.06303356184826	large	0.0015998400159984	0.14761784936006	1.67834067338799	large	0.119288071192881	-0.0944730915944036	-1.23239920149407	large	0.176582341765823	NaN	0	negligible	0	-0.500312609346221	-5.55915471373029	large	0	-0.117698012456684	-1.64248746344595	large	0.122687731226877	T00C_vs_T05C
T00C	T05M	0.561706978633306	4.52786371495358	large	0	0.122318894633096	1.12650493763139	large	0.206479352064794	-0.0681333151463028	-0.668051873732649	medium	0.3004699530047	NaN	0	negligible	0	-0.583045649623505	-7.90260360867442	large	0	-0.103995442372732	-1.15984371054103	large	0.1995800419958	T00C_vs_T05M
T00C	T12C	-0.483629775476706	-2.00518601524351	large	0.0684931506849315	0.234620879321791	2.69843715605291	large	0.0497950204979502	-0.161439365408569	-2.32631075492414	large	0.0666933306669333	NaN	0	negligible	0	-0.443323794768933	-5.72621744436513	large	0	-0.174979230995987	-2.65532298829407	large	0.0520947905209479	T00C_vs_T12C
T00C	T12M	0.344862276683162	2.20553013842725	large	0.0562943705629437	0.501570033915558	5.20415024609435	large	0.0004999500049995	-0.306937342410065	-4.85737748506539	large	0.0007999200079992	NaN	0	negligible	0	-0.534179258169046	-5.00795538437222	large	0	-0.317724583494431	-5.22302615235903	large	0.0004999500049995	T00C_vs_T12M
T00C	T21C	-0.39596264790174	-2.31095281409602	large	0.0651934806519348	0.200469800980969	2.45533358212639	large	0.0616938306169383	-0.140947223762839	-2.08895425340186	large	0.0833916608339166	NaN	0	negligible	0	-0.417410554189672	-4.75491130699947	large	0	-0.153959318352771	-2.41893125391903	large	0.0635936406359364	T00C_vs_T21C
T00C	T21M	-0.0992785842575174	-0.673206140050102	medium	0.318468153184682	0.550024735776609	6.19289803379143	large	0	-0.32782255420411	-5.48958423255984	large	0	NaN	0	negligible	0	-0.527761596042743	-3.4664883603307	large	0	-0.336921318438157	-6.1940217246653	large	0	T00C_vs_T21M
T00C	T30C	-0.601217200120916	-5.13549552857875	large	0	0.0729803624692977	0.86334318537253	large	0.243275672432757	-0.0324535180804918	-0.414542139197885	small	0.356464353564644	NaN	0	negligible	0	-0.455881567805071	-8.37457099191494	large	0	-0.056255956602469	-0.766805309134488	medium	0.266273372662734	T00C_vs_T30C
T00C	T30M	-0.0459576195634104	-0.195511074682472	negligible	0.445555444455554	0.54580357507878	6.31408196910881	large	0	-0.325027795599367	-5.82848982420066	large	0	NaN	0	negligible	0	-0.543594968526701	-4.56760714989516	large	0	-0.335343825620695	-6.31856871237728	large	0	T00C_vs_T30M
