OTUID	T05C01	T05C02	T05C03	T05C04	T05C05	T05C06	T05C07	T05C08	T05C09	T05C10	T05C11	T05C12	T05C13	T05C14	T05C15	T05C16	T05C17	T05C18	T05C19	T05C20	T12C01	T12C02	T12C03	T12C04	T12C05	T12C06	T12C07	T12C08	T12C09	T12C10	T12C11	T12C12	T12C13	T12C14	T12C15	T12C16	T12C17	T12C18	T12C19	T12C20	T21C01	T21C02	T21C03	T21C04	T21C05	T21C06	T21C07	T21C08	T21C09	T21C10	T21C11	T21C12	T21C13	T21C14	T21C15	T21C16	T21C17	T21C18	T21C19	T21C20	T30C01	T30C02	T30C03	T30C04	T30C05	T30C06	T30C07	T30C08	T30C09	T30C10	T30C11	T30C12	T30C13	T30C14	T30C15	T30C16	T30C17	T30C18	T30C19	T30C20
OTU100	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	2	1	0	0	0	0	1	0
OTU1006	0	0	1	0	2	0	1	0	0	3	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU1011	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
OTU1012	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1013	0	2	0	0	2	0	1	0	0	2	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU1025	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2
OTU1028	1	5	6	1	4	1	8	2	2	6	1	2	5	0	1	1	5	1	3	2	0	0	0	0	1	3	3	0	1	0	1	0	2	0	3	0	0	0	1	1	1	1	0	0	2	0	2	1	3	1	1	1	1	4	0	2	0	0	0	0	0	2	2	3	0	1	0	3	0	0	2	0	0	1	2	0	1	1	1	1
OTU1029	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	2	0	2	1
OTU103	1	2	3	1	5	4	9	2	0	4	3	8	1	4	4	2	6	1	3	0	2	2	5	7	4	2	5	9	3	2	9	12	1	4	1	8	0	11	5	0	1	2	0	0	1	0	3	1	0	1	0	3	2	3	1	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	3	3	1	2
OTU1030	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	2	0	0	1	0	0	2	0	2	0	2	1	1	0	0	0	0	1	3	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	1	1	2	0	0	0	0	1	1	2	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	2
OTU1036	1	1	0	0	1	0	3	0	1	2	0	2	0	1	1	1	2	0	3	0	0	0	3	1	3	2	7	2	4	0	2	2	0	1	0	2	3	6	4	0	3	2	0	1	3	0	0	0	6	2	3	2	0	1	1	0	0	0	0	0	1	1	1	6	1	0	0	1	0	1	1	1	2	0	0	1	0	2	6	1
OTU104	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU1051	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	2	1	2	0	2	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	1
OTU1052	0	1	2	0	1	0	1	0	0	2	0	2	0	1	0	0	2	0	2	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1
OTU107	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
OTU1072	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
OTU1074	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU1077	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OTU108	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
OTU1080	18	16	9	9	89	17	113	9	47	180	126	241	59	50	33	8	27	16	14	20	155	42	47	80	53	67	104	131	40	20	54	80	9	72	42	45	15	74	77	30	41	49	11	55	49	17	19	11	59	40	253	8	16	23	4	1	65	32	25	16	23	9	17	49	9	2	57	61	4	8	22	19	28	4	9	11	10	10	19	31
OTU1082	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	2	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU1094	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1097	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1099	0	0	0	0	4	2	0	1	1	3	2	1	0	0	1	1	0	0	2	0	0	0	3	1	2	2	2	2	1	0	2	3	1	0	0	5	1	2	0	1	3	3	0	2	1	0	1	2	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	1	2	1	0
OTU11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU110	2225	1100	527	51	993	1020	1194	1456	1006	885	1387	1466	2482	1071	1811	681	1007	979	1481	1264	181	312	212	103	52	101	100	59	134	99	173	117	112	60	233	111	3	51	119	341	58	42	86	53	67	51	39	39	59	122	147	53	2	42	81	82	104	356	88	159	37	33	156	31	28	37	235	43	71	31	24	107	58	34	119	36	26	49	52	47
OTU1104	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
OTU1108	109	10	101	1	62	108	147	33	40	31	218	163	214	122	56	69	34	290	40	88	2	8	72	0	2	1	1	3	8	19	3	0	1	3	37	7	0	1	0	38	4	0	3	8	0	1	9	1	2	20	20	2	0	3	1	3	3	2	5	8	0	0	4	0	1	3	49	3	3	0	0	7	3	2	3	7	0	0	0	12
OTU1109	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	2	1	1	1
OTU1115	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1116	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1117	0	1	2	0	0	0	0	0	0	3	0	1	1	1	0	0	2	1	0	0	0	0	1	0	4	1	1	0	0	0	2	0	1	1	1	2	0	1	0	0	1	0	1	0	2	1	0	2	3	2	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	1	1	0	1	2	0	0	1	0	2	2	1	0	0
OTU1119	5	14	16	1	9	5	12	2	22	14	9	9	11	8	20	14	13	1	11	8	0	0	10	5	17	11	6	10	3	3	9	6	5	5	6	4	8	5	4	0	6	2	7	3	7	4	8	4	8	5	3	8	0	3	5	2	0	0	0	0	1	1	4	3	3	1	5	3	1	4	6	2	1	3	1	3	2	3	9	3
OTU1120	1	0	0	0	1	1	1	1	3	5	1	4	3	1	1	0	0	1	4	0	1	0	3	2	2	3	0	2	1	1	2	0	0	1	2	2	0	3	2	0	1	1	1	1	0	0	0	0	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	2	1	0	0	0	0	1	0	0
OTU1121	0	1	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1122	1	0	1	0	0	1	2	0	1	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU1123	0	3	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	3	3	3	3	0	2	1	2	2	3	2	0	1	0	1	1	0	5	4	0	3	0	0	0	2	1	1	1	2	1	3	2	1	1	0	0	0	2	2	4	1	3	1	1	1	0	0	2	2	1	1	2	1	1	0	3	0
OTU1124	0	1	3	0	1	0	2	0	0	2	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU1133	0	1	0	0	2	1	0	0	1	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1136	0	0	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
OTU1141	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU1164	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	1	0	0	0	0
OTU1166	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU118	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0
OTU1181	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1189	0	4	6	1	2	2	4	3	7	7	3	3	4	4	8	3	8	2	5	2	1	0	2	4	5	5	1	3	1	0	5	1	1	2	2	5	1	2	2	1	6	4	4	2	4	3	6	3	8	0	2	5	3	8	4	2	0	0	1	0	6	1	2	4	5	2	3	3	1	2	2	8	1	1	1	2	4	3	4	2
OTU12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	1	1	0	2	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1225	1	0	1	0	1	1	2	0	1	1	1	3	1	3	0	3	2	1	0	0	0	0	1	0	2	0	1	2	0	0	1	3	0	1	0	1	0	5	0	0	1	0	3	0	1	1	1	0	2	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	1	0	0	0	1	0	0	0	0	0
OTU1227	2	2	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	5	2	1	2	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU123	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU1234	0	2	2	0	1	0	2	0	1	1	0	1	0	1	1	2	0	1	1	1	1	0	0	4	0	2	0	1	1	1	1	1	0	2	1	1	1	1	0	0	1	0	0	0	2	1	2	2	2	1	0	1	0	2	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0
OTU1235	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	2	1	2	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0
OTU1239	0	0	0	0	0	0	1	2	0	1	1	2	0	0	0	0	1	0	2	0	0	0	0	1	1	0	2	0	0	1	0	3	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU1240	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU1243	0	1	0	0	1	0	1	0	3	3	0	1	1	1	0	2	1	0	2	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	2	0	2	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
OTU1246	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU1247	1	0	0	0	0	1	3	0	1	2	0	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU1248	1	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	2	1	0	0	1	0	3	1	0	1	0	0	0	0	1	0	2	0	2	1	0	0	1	0	0	2	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	2	1	0	0	0	1	0	0	0	0	3	0
OTU1249	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1259	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0
OTU1269	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
OTU127	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1272	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1276	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	2	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0
OTU1280	3	1	1	0	4	4	13	2	8	4	1	3	1	0	5	3	4	0	4	2	0	1	3	2	2	6	6	9	2	1	1	6	1	4	4	4	2	5	2	0	3	1	0	5	4	1	1	3	8	1	0	1	0	2	1	0	0	0	0	0	1	4	0	7	0	1	6	3	0	1	3	4	1	2	0	3	4	0	5	2
OTU1282	0	0	0	0	3	0	0	0	0	3	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1283	0	0	0	0	0	1	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
OTU1285	0	3	2	0	1	2	0	2	1	2	0	0	0	1	0	0	3	2	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1	2	0	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
OTU1287	0	0	1	0	3	0	0	1	0	1	2	1	0	0	0	0	4	0	0	0	2	0	0	2	0	2	2	0	0	0	2	0	1	0	0	1	0	3	0	0	1	3	2	0	0	0	0	4	1	0	0	0	0	3	2	0	1	0	0	1	0	1	0	0	0	0	3	0	0	2	0	0	0	0	1	0	1	0	5	1
OTU1288	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU1294	0	0	0	0	1	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	1	0	0	0	1	0	1	0
OTU1296	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	2	1	0	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
OTU1297	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
OTU1300	0	1	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
OTU1301	2	1	3	0	5	1	3	2	1	2	0	3	2	1	2	0	2	1	1	0	0	1	1	0	1	1	0	1	0	0	3	1	0	0	2	0	0	1	1	1	0	0	0	0	1	0	0	0	2	1	0	1	0	1	0	0	1	0	0	0	2	0	0	0	2	0	1	2	0	0	0	0	1	1	1	0	0	0	0	0
OTU1305	3	6	4	0	1	1	1	2	2	0	5	5	2	5	2	3	3	3	1	7	2	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	3	1	1	0	0	1	0	0	0	0	1	3	1	0	1	1	0	0	6	0	3	1	1	42	0	0	1	1	0	1	0	0	5	1	1	2	1	1	5	0	0
OTU1306	1	3	3	0	1	1	3	0	5	5	1	2	1	1	0	0	4	0	1	1	0	0	1	1	2	0	1	1	1	0	2	2	3	0	2	0	0	2	0	0	1	0	0	1	0	0	0	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	1	0	0	0	1	1
OTU1307	2	0	0	2	1	7	2	1	0	0	2	3	3	1	3	0	2	8	6	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0
OTU1308	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
OTU1310	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	2	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	2	0
OTU1314	1	0	1	1	0	2	0	1	3	6	0	3	2	1	0	2	0	0	2	0	0	0	1	1	0	3	0	1	0	0	0	0	1	4	0	1	1	5	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	2	0	0	0	0	0	3	0	0	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	1	1
