OTUID	T05C01	T05C02	T05C03	T05C04	T05C05	T05C06	T05C07	T05C08	T05C09	T05C10	T05C11	T05C12	T05C13	T05C14	T05C15	T05C16	T05C17	T05C18	T05C19	T05C20	T12C01	T12C02	T12C03	T12C04	T12C05	T12C06	T12C07	T12C08	T12C09	T12C10	T12C11	T12C12	T12C13	T12C14	T12C15	T12C16	T12C17	T12C18	T12C19	T12C20	T21C01	T21C02	T21C03	T21C04	T21C05	T21C06	T21C07	T21C08	T21C09	T21C10	T21C11	T21C12	T21C13	T21C14	T21C15	T21C16	T21C17	T21C18	T21C19	T21C20	T30C01	T30C02	T30C03	T30C04	T30C05	T30C06	T30C07	T30C08	T30C09	T30C10	T30C11	T30C12	T30C13	T30C14	T30C15	T30C16	T30C17	T30C18	T30C19	T30C20
OTU3159	0	0	2	0	1	0	1	1	1	2	1	0	1	0	2	1	0	0	0	1	0	0	1	2	1	0	2	1	0	1	1	0	0	1	2	1	0	2	1	2	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1
OTU3160	8	0	5	0	7	3	5	6	5	7	14	9	7	10	19	2	18	3	6	2	2	3	1	1	0	1	0	7	2	1	0	1	0	1	1	3	0	0	3	4	4	0	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	11	0	5	1	1	3	0	0	0	4	0	0	2	0	8	3	0	1	0	0	8	1	1
OTU3163	13	10	16	0	17	18	16	29	9	18	14	13	9	24	11	15	4	14	16	14	6	9	8	3	15	3	5	9	6	2	2	6	3	2	4	6	0	5	5	4	0	0	6	4	2	3	6	5	9	3	1	6	0	6	6	0	8	0	2	2	6	3	2	1	0	3	5	6	0	6	1	1	3	4	2	1	6	2	4	4
OTU3164	1	12	3	0	3	2	1	3	6	3	2	3	11	4	4	5	1	0	10	3	9	1	3	7	5	5	2	3	4	6	5	6	5	4	3	3	0	2	6	0	0	1	0	1	5	8	2	1	2	4	1	2	0	2	1	3	1	1	0	1	1	3	4	0	2	0	2	3	1	7	1	0	3	0	2	1	2	0	3	2
OTU3169	0	0	1	0	7	3	2	1	5	4	2	2	3	7	1	1	6	1	2	2	0	0	2	5	5	9	5	12	1	1	5	6	2	1	2	3	2	2	7	1	6	11	0	1	3	1	5	7	8	2	2	4	0	10	2	1	3	1	1	0	1	2	1	6	1	1	4	5	2	0	3	5	1	3	3	2	5	1	9	2
OTU317	0	1	0	0	0	1	0	0	2	1	0	0	0	0	1	1	1	0	1	3	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
OTU3170	13	4	5	1	7	10	8	15	12	7	8	19	9	17	16	12	6	9	6	1	4	2	0	3	0	2	2	3	6	4	6	2	1	1	5	5	0	0	12	7	0	1	9	6	3	0	6	10	5	4	7	2	2	3	3	7	3	5	2	15	1	3	9	0	0	2	5	1	1	9	3	6	0	2	1	1	6	9	4	4
OTU3171	0	2	0	0	4	4	3	1	2	3	4	2	0	1	2	0	4	1	2	0	3	1	1	1	0	1	1	0	1	1	0	1	0	0	0	2	0	0	4	0	0	0	0	0	1	0	1	4	2	3	1	0	0	3	0	0	2	0	1	0	1	0	0	1	0	1	3	2	0	0	1	0	0	2	1	0	1	0	4	1
OTU3172	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0
OTU3173	3	0	2	0	0	0	0	1	4	4	2	0	3	2	0	1	2	0	2	0	0	0	3	5	4	4	2	3	0	0	3	2	0	2	5	3	0	6	2	0	0	3	0	0	1	1	0	0	2	3	0	3	0	2	0	0	0	0	0	0	5	3	1	2	0	0	0	2	1	1	0	3	2	1	0	0	3	1	3	0
OTU3176	0	1	1	0	2	2	1	2	5	3	1	1	1	4	0	0	0	1	2	1	5	0	10	2	2	4	13	5	1	6	4	4	6	8	1	14	1	7	5	1	7	8	3	5	1	3	1	2	8	1	2	2	1	4	3	1	1	4	2	1	3	3	1	5	1	0	1	0	2	9	0	1	1	2	1	0	1	2	2	4
OTU318	0	5	7	0	6	3	6	2	8	5	1	3	1	2	4	1	7	0	1	0	0	0	0	3	3	2	1	2	2	2	4	4	2	2	5	6	3	3	0	1	6	0	2	0	2	4	3	1	6	4	2	4	3	7	2	2	2	1	0	1	5	3	2	2	0	1	6	0	1	0	2	4	1	3	1	2	4	2	4	2
OTU3181	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3185	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	0	4	1	0	1	3	6	0	0	0	0	0	1	0	1	0	1	0	3	0	3	0	12	3	3	2	0	1	6	6	0	0	0	1	1	4	2	2	8	4	0	1	0	4	2	2	3	1	0	0	3	0	1	8
OTU3186	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	4	0	0	1	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	1	0	1	0
OTU3188	0	1	0	0	1	0	0	0	2	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU3192	0	1	0	1	2	1	4	0	6	1	3	0	1	2	0	1	2	0	2	1	0	0	1	0	1	2	2	4	0	0	0	1	0	3	2	2	2	3	4	1	0	1	0	2	1	0	2	0	0	1	1	1	1	2	0	0	0	1	0	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	2	2	1
OTU3197	81	16	9	2	20	75	16	96	13	30	34	9	31	51	58	23	3	56	54	31	75	124	12	31	17	10	27	5	36	71	6	9	9	16	42	60	5	30	33	142	26	35	47	24	2	21	35	14	12	22	40	38	1	14	40	24	108	3	326	136	7	22	24	10	9	8	63	6	50	10	9	23	32	24	30	28	53	1	9	42
OTU3198	5	15	5	6	9	4	4	3	3	6	2	12	0	4	0	1	0	0	0	0	889	598	577	721	684	601	401	337	879	1404	1034	550	734	413	697	209	360	681	479	585	672	438	528	900	655	350	283	246	498	534	624	866	627	304	941	1156	331	106	270	248	749	914	932	435	559	896	670	500	506	319	796	532	742	405	556	906	289	184	141	401
OTU3208	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU321	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	92	3	45	1	7	7	19	19	41	0	3	12	18	29	58	5	18	46	6	1	103	124	37	27	31	39	25	14	62	28	32	65	2	88	71	45	1	98	90	6	69	60	2	40	78	56	15	79	22	12	8	38	77	59	11	20	0	2	21
OTU3214	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3224	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	6	9	6	12	6	3	15	3	6	6	2	7	8	1	0	10	3	4	12	7	2	11	15	9	0	1	2	32	9	4	0	1	0	0	5	46	6	2	5	49	5	3	18	2	14	11	22	0	2	11	9	0	17	27	9	4	6	7
OTU3226	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
OTU3227	194	19	38	345	38	350	51	227	26	20	174	50	57	31	95	84	67	245	61	68	55	151	63	164	57	43	64	25	69	82	44	40	37	41	74	163	421	26	95	168	48	24	16	25	69	14	29	42	57	45	37	31	29	17	41	70	81	172	84	223	17	10	43	43	26	25	66	14	37	31	46	58	15	56	21	11	59	66	65	11
OTU3229	0	0	0	0	0	0	0	1	0	1	2	1	1	1	0	0	0	0	0	0	0	1	0	0	1	2	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU3230	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	2	0	0	1	1	1	0	0	0	1	3	3	0	1	0	0	0	1	0	7	2	0	3	0	4	0	3	0	1	0	0	0	2	1	2	1	0	0	1	2	0	0	9	0	1	1
OTU3231	2	9	8	2	30	5	12	4	8	20	6	12	3	8	3	10	0	3	8	4	9	11	5	4	3	13	3	9	0	10	6	7	11	10	4	10	1	4	9	1	8	8	9	10	2	7	8	6	0	5	4	6	2	23	2	2	4	2	4	0	5	4	3	3	1	0	3	7	1	5	2	4	4	2	4	1	3	0	3	5
