Species	M1	M2	TtestS	TtestP
S4	4Met	8Iso	2.82295568181446	0.0312980908144967
S4	5B7	6B12	-1.94382777952736	0.107204927753764
S4	5B7	7Cys	-3.41745561628746	0.022339546744519
S4	5B7	8Iso	2.60674452566166	0.0411073032827015
S4	6B12	7Cys	-1.87686576455565	0.104431348939151
S4	6B12	8Iso	3.28383990242582	0.0223934858834963
S4	7Cys	8Iso	4.28733862276082	0.0105342453027189
S5	1CK	2Pro	-1.42249288982856	0.19268201989127
S5	1CK	3Ori	-2.47255099902444	0.0392295390754446
S5	1CK	4Met	-1.85894604693149	0.107010729479292
S5	1CK	5B7	-14.1223390715013	2.11804219495079e-06
S5	1CK	6B12	-5.8398079979358	0.00212333345896461
S5	1CK	7Cys	-10.0552953580292	4.25616889133932e-05
S5	1CK	8Iso	-2.4621253407373	0.063903927116634
S5	2Pro	3Ori	-1.16282684976592	0.279163363030983
S5	2Pro	4Met	-0.786874714820905	0.458117671292389
S5	2Pro	5B7	-12.5988072699708	4.58377492780149e-06
S5	2Pro	6B12	-5.17258050516668	0.00360295206966043
S5	2Pro	7Cys	-8.77566663325446	9.47696385295175e-05
S5	2Pro	8Iso	-0.497603999820189	0.64264579968947
S5	3Ori	4Met	0.157343489265614	0.879213553894968
S5	3Ori	5B7	-10.2493283597373	2.08871802025454e-05
S5	3Ori	6B12	-4.49214911230829	0.00558345952122528
S5	3Ori	7Cys	-7.141021783197	0.000219881734879791
S5	3Ori	8Iso	1.07505349896589	0.339048768607487
S5	4Met	5B7	-8.40898008928897	0.000149024432381212
S5	4Met	6B12	-4.33466679461942	0.00442416393090978
S5	4Met	7Cys	-6.17248552917584	0.00048290533695881
S5	4Met	8Iso	0.602890811446234	0.577929236808658
S5	5B7	6B12	0.370087050498514	0.727312065284716
S5	5B7	7Cys	1.92122937712347	0.108157816502813
S5	5B7	8Iso	18.0206497852136	0.000173027713621628
S5	6B12	7Cys	0.573245351973933	0.58969748498627
S5	6B12	8Iso	5.2872611257846	0.00593361680265674
S5	7Cys	8Iso	10.7578107719067	0.00127765115789705
S6	1CK	2Pro	-1.27363997197673	0.258696717081198
S6	1CK	3Ori	-2.57560722504474	0.0420494455771547
S6	1CK	4Met	-0.480945746368057	0.651509356438083
S6	1CK	5B7	-1.16937633805305	0.282878342585235
S6	1CK	6B12	-2.11969382165224	0.0750705777430857
S6	1CK	7Cys	-17.0411965393077	2.03198598025139e-05
S6	1CK	8Iso	1.6635547855284	0.152794391747662
S6	2Pro	3Ori	0.0116638566771801	0.991139311283421
S6	2Pro	4Met	1.12747873042256	0.317765512568811
S6	2Pro	5B7	0.745934393688931	0.490326922322496
S6	2Pro	6B12	-0.0755557316430675	0.942084113314109
S6	2Pro	7Cys	-9.48197648024257	4.70639447234783e-05
S6	2Pro	8Iso	2.02883202497574	0.104308622066342
S6	3Ori	4Met	2.65085109753357	0.0477240119111019
S6	3Ori	5B7	1.55668294791215	0.166894299552957
S6	3Ori	6B12	-0.145176357335386	0.888945160561035
S6	3Ori	7Cys	-15.1236605767674	3.10746971525361e-05
S6	3Ori	8Iso	4.59237336894215	0.00506737386251429
S6	4Met	5B7	-0.946412094450546	0.377544472385592
S6	4Met	6B12	-2.02138100588981	0.0987365345064578
S6	4Met	7Cys	-18.2668823781137	0.000103396721797122
S6	4Met	8Iso	2.82865253463063	0.0311354730451822
S6	5B7	6B12	-1.31835158438941	0.233108802074325
S6	5B7	7Cys	-16.666342662388	3.25911814818523e-05
S6	5B7	8Iso	3.16004660387672	0.0161112969603252
S6	6B12	7Cys	-12.9403159465786	6.61956752409556e-06
S6	6B12	8Iso	3.46358609255017	0.0156067532066462
S6	7Cys	8Iso	19.2286654904169	5.03902260290728e-05
S7	1CK	2Pro	-2.71606420482328	0.0448836377214716
S7	1CK	3Ori	-0.851838095358216	0.43115697882024
S7	1CK	4Met	0.297073983665797	0.776427341451702
S7	1CK	5B7	1.21947600826005	0.27562807538519
S7	1CK	6B12	0.79663001259907	0.458544461801888
S7	1CK	7Cys	-14.1781731885908	8.1335235290462e-06
S7	1CK	8Iso	-1.27833333902173	0.250277913659308
S7	2Pro	3Ori	1.75684887845732	0.131464034041365
S7	2Pro	4Met	2.92602325963108	0.0356678290425079
S7	2Pro	5B7	2.85264243060375	0.0256760370419464
S7	2Pro	6B12	2.64889222612216	0.0330750301980562
S7	2Pro	7Cys	-6.76363280347207	0.00165756444309957
S7	2Pro	8Iso	1.63252051835607	0.16009002960119
S7	3Ori	4Met	1.09071414787898	0.322810100704645
S7	3Ori	5B7	1.6470462732511	0.149396212940438
S7	3Ori	6B12	1.30116505664869	0.23666733238224
S7	3Ori	7Cys	-10.2499398830254	0.000144466833307637
S7	3Ori	8Iso	-0.269917200824714	0.796525820743941
S7	4Met	5B7	1.06954025956992	0.332626968081843
S7	4Met	6B12	0.624178173748101	0.55751805481289
S7	4Met	7Cys	-14.5656586621515	6.86382073060098e-06
S7	4Met	8Iso	-1.54773110668941	0.174952346587112
S7	5B7	6B12	-0.428632965215694	0.679779961622234
S7	5B7	7Cys	-8.27972017962316	0.000427924561457238
S7	5B7	8Iso	-1.89093080057886	0.110516434143729
S7	6B12	7Cys	-8.91446864865293	0.000215098616186157
S7	6B12	8Iso	-1.57035431354529	0.166434233694878
S7	7Cys	8Iso	11.198691992422	5.10743075575301e-05
S8	1CK	2Pro	-3.69194283040649	0.0116209351121319
S8	1CK	3Ori	-4.09911886037337	0.00813565120033928
S8	1CK	4Met	-2.75645909893069	0.0280070206962562
S8	1CK	5B7	-2.6330229249822	0.0551917534205285
S8	1CK	6B12	-2.19521811852808	0.0595255233935918
S8	1CK	7Cys	-7.60082635914657	0.000148922023430291
S8	1CK	8Iso	-0.682817200580967	0.518612118684874
S8	2Pro	3Ori	1.99910791080661	0.111393304522612
S8	2Pro	4Met	2.42891153641679	0.0620259991180209
S8	2Pro	5B7	2.83836247377461	0.0463895083688291
S8	2Pro	6B12	2.35465312746536	0.0586737493538454
S8	2Pro	7Cys	-0.822877778959856	0.444196974809826
S8	2Pro	8Iso	3.57443712255114	0.0187493967587505
S8	3Ori	4Met	1.39112150174629	0.21048003691187
S8	3Ori	5B7	3.94068385926236	0.018538884400188
S8	3Ori	6B12	1.11386952617149	0.313936933876458
S8	3Ori	7Cys	-5.79546963552165	0.00448129650167992
S8	3Ori	8Iso	5.09907892412861	0.00151053427991291
S8	4Met	5B7	0.957671654882433	0.387557360835216
S8	4Met	6B12	0.117582087100014	0.909771567227744
S8	4Met	7Cys	-6.13475108951411	0.00127370592779102
S8	4Met	8Iso	2.8463352481055	0.0221758648679325
S8	5B7	6B12	-0.490782075070729	0.648234521199925
S8	5B7	7Cys	-7.89305311447675	0.00359229204414088
S8	5B7	8Iso	3.12376003057267	0.0293797427955937
S8	6B12	7Cys	-5.25182362276607	0.00124818506456146
S8	6B12	8Iso	1.99559638768961	0.091326014247974
S8	7Cys	8Iso	8.55051269811868	0.000436228697909494
S9	1CK	2Pro	-2.94250269073433	0.0225100331815746
S9	1CK	3Ori	-1.68166979704003	0.131161803599794
S9	1CK	4Met	-1.99686425451079	0.0844200613188882
S9	1CK	5B7	-1.5443435073029	0.16112161699454
S9	1CK	6B12	-3.22163091863774	0.0318163433992251
S9	1CK	7Cys	-4.93915081468965	0.00457098520505591
S9	1CK	8Iso	-0.646051055851865	0.54221170765194
S9	2Pro	3Ori	1.26056070699162	0.248876625972387
S9	2Pro	4Met	1.40935221437837	0.211758155213006
S9	2Pro	5B7	1.47695381509549	0.185227342356978
S9	2Pro	6B12	0.979696185191752	0.398942214868343
S9	2Pro	7Cys	-3.5625688790036	0.0164303672248522
S9	2Pro	8Iso	2.99679350638892	0.0345958862417339
S9	3Ori	4Met	-0.0439357209658123	0.966151341604581
S9	3Ori	5B7	0.183363511759726	0.859089365295893
S9	3Ori	6B12	-0.797698436587737	0.469361274137633
S9	3Ori	7Cys	-4.15780087611154	0.00905518537836242
S9	3Ori	8Iso	1.44619775122797	0.198995453244498
S9	4Met	5B7	0.259617162058153	0.802234112060504
S9	4Met	6B12	-1.05326198822183	0.350698358633103
S9	4Met	7Cys	-4.25636947263901	0.0102715291073609
S9	4Met	8Iso	1.91962275481051	0.0972629177197654
S9	5B7	6B12	-1.11067591811032	0.328418445664437
S9	5B7	7Cys	-4.26497257985897	0.00855293733187384
S9	5B7	8Iso	1.2780529073254	0.247862635711259
S9	6B12	7Cys	-4.12206290834152	0.0145569457341503
S9	6B12	8Iso	4.59898257809573	0.0180628010487735
S9	7Cys	8Iso	4.8852444357401	0.00690709892536529
S10	1CK	2Pro	-1.52237218691809	0.174553806161001
S10	1CK	3Ori	-1.75031258373028	0.14282040537814
S10	1CK	4Met	-0.95443611837883	0.378421359957861
S10	1CK	5B7	-0.404153505736593	0.703523582220904
S10	1CK	6B12	-0.409546424250274	0.700709836382073
S10	1CK	7Cys	-8.64229809827036	0.000355074553198877
S10	1CK	8Iso	1.18100812886869	0.284821204851858
S10	2Pro	3Ori	-0.0256838395813103	0.980639595304884
S10	2Pro	4Met	0.94246599550845	0.383609734806104
S10	2Pro	5B7	1.91588053413432	0.122286903742003
S10	2Pro	6B12	1.97860712453823	0.119711697920638
S10	2Pro	7Cys	-9.86000809321759	0.000283171935731902
S10	2Pro	8Iso	3.88208671822137	0.00898077777439714
S10	3Ori	4Met	1.36076794285476	0.217903279271015
S10	3Ori	5B7	3.12239190353619	0.020527302419836
S10	3Ori	6B12	3.40610824931413	0.013569443102595
S10	3Ori	7Cys	-15.2916051113203	5.32734231398825e-06
S10	3Ori	8Iso	5.54062507922882	0.00100887324060075
S10	4Met	5B7	1.1055584791679	0.307498048702715
S10	4Met	6B12	1.1664314400019	0.286187419374848
S10	4Met	7Cys	-13.6725666616524	3.15281579338756e-06
S10	4Met	8Iso	3.54230192312757	0.00759907743002194
S10	5B7	6B12	0.00182072860679447	0.998603721853307
S10	5B7	7Cys	-18.3549937674209	1.88205883457688e-06
S10	5B7	8Iso	3.05889307035291	0.0195000195712937
S10	6B12	7Cys	-19.8363342454054	1.34526258934866e-06
S10	6B12	8Iso	3.22700322585556	0.0168026977358949
S10	7Cys	8Iso	17.874330653736	4.99124137774181e-07
S11	1CK	2Pro	0.870761406311513	0.426435183947076
S11	1CK	3Ori	1.53410882473191	0.16639773761435
S11	1CK	4Met	1.47847345632068	0.198896938612222
S11	1CK	5B7	1.38122587510603	0.210794518731698
S11	1CK	6B12	0.320199297141079	0.758272697345975
S11	1CK	7Cys	-4.7715682296612	0.00455864391525445
S11	1CK	8Iso	-1.8260291742157	0.12496628076463
S11	2Pro	3Ori	1.25737181762823	0.262611405340936
S11	2Pro	4Met	1.43627022096769	0.190727093470671
S11	2Pro	5B7	1.04429209593846	0.339632298428983
S11	2Pro	6B12	-0.727890115167933	0.49655708862188
S11	2Pro	7Cys	-5.43804821005544	0.00516450626835829
S11	2Pro	8Iso	-2.68029939714783	0.0700713693872751
S11	3Ori	4Met	-0.41539396798445	0.692861899371194
S11	3Ori	5B7	-0.282518866241634	0.784894856524135
S11	3Ori	6B12	-1.53710681358233	0.163496493996396
S11	3Ori	7Cys	-5.63013353963524	0.00302049050248285
S11	3Ori	8Iso	-3.03811699894823	0.034739389854398
S11	4Met	5B7	0.0920567869287575	0.929498281442014
S11	4Met	6B12	-1.58279058580333	0.162711042518993
S11	4Met	7Cys	-5.67513131422663	0.00422294889441776
S11	4Met	8Iso	-3.06349537781956	0.0481316063470841
S11	5B7	6B12	-1.36862122017908	0.208336448032623
S11	5B7	7Cys	-5.58671054803864	0.00353557129621241
S11	5B7	8Iso	-2.95450590777125	0.0421513222191425
S11	6B12	7Cys	-5.10432502858955	0.00498307754610087
S11	6B12	8Iso	-2.21467991378489	0.0907904556736154
S11	7Cys	8Iso	3.21513665558312	0.0166658329742939
S12	1CK	2Pro	3.40443832070133	0.0291765912520585
S12	1CK	3Ori	2.91205557193816	0.0254209516786542
S12	1CK	4Met	5.49196457055442	0.00886633455894559
S12	1CK	5B7	5.40653628243667	0.00714418523001434
S12	1CK	6B12	2.9329174788456	0.0316671722502582
S12	1CK	7Cys	-1.83481132661506	0.124801392100869
S12	1CK	8Iso	2.30448658809128	0.0618406958901368
S12	2Pro	3Ori	0.162662316419313	0.876606459210032
S12	2Pro	4Met	4.53500184452766	0.005838196796139
S12	2Pro	5B7	4.11111173574768	0.00639581292071414
S12	2Pro	6B12	-0.279555743154289	0.788673496292639
S12	2Pro	7Cys	-7.84592550679274	0.000630753992282728
S12	2Pro	8Iso	-0.65636821690842	0.546471865589668
S12	3Ori	4Met	2.16337770710055	0.0868461349358389
S12	3Ori	5B7	2.15327262558425	0.0811638364762729
S12	3Ori	6B12	-0.337976206833714	0.744834751283805
S12	3Ori	7Cys	-5.69314512259967	0.000773650615594345
S12	3Ori	8Iso	-0.637904657664921	0.54439996214191
S12	4Met	5B7	0.148998245073703	0.886960762570154
S12	4Met	6B12	-3.38066226850453	0.0186313005052315
S12	4Met	7Cys	-11.4508238880681	0.000419676784425863
S12	4Met	8Iso	-2.97006895214099	0.0490634244864657
S12	5B7	6B12	-3.26253698426695	0.0168195807677909
S12	5B7	7Cys	-10.8875951186454	0.000192976320528377
S12	5B7	8Iso	-2.93361769581375	0.0435078941437379
S12	6B12	7Cys	-6.35300966752153	0.00044649178194044
S12	6B12	8Iso	-0.391719497426487	0.709398211633275
S12	7Cys	8Iso	4.89011714495192	0.00335914474738578
S13	1CK	2Pro	-14.6407115659941	0.000508329902668339
S13	1CK	3Ori	-5.85638180499992	0.00363853662208981
S13	1CK	4Met	-1.85183708963885	0.104661183577222
S13	1CK	5B7	-2.63576109200691	0.0464081280231473
S13	1CK	6B12	-3.23324182322387	0.0249597505546516
S13	1CK	7Cys	3.01315570207712	0.0270612239987785
S13	1CK	8Iso	-1.06348887115632	0.319001765984549
S13	2Pro	3Ori	-0.971203642499006	0.379106592854145
S13	2Pro	4Met	12.035287004249	0.000228070842562609
S13	2Pro	5B7	10.2187958059427	0.000250400438169835
S13	2Pro	6B12	5.31093551891342	0.00200759978216785
S13	2Pro	7Cys	17.8951053762135	0.00198015533532116
S13	2Pro	8Iso	14.3011311549424	0.000835678248641476
S13	3Ori	4Met	5.30848889292353	0.00468930766328346
S13	3Ori	5B7	4.92956470173599	0.00555543871414736
S13	3Ori	6B12	3.71207384930228	0.00994836450665126
S13	3Ori	7Cys	6.43194674572541	0.00291509526130908
S13	3Ori	8Iso	5.6481499558263	0.0043027664830193
S13	4Met	5B7	-0.943642520443554	0.38067760119148
S13	4Met	6B12	-2.23187275747432	0.0723548793734339
S13	4Met	7Cys	4.46887804721557	0.00744776244039546
S13	4Met	8Iso	1.05122945638585	0.328748248160838
S13	5B7	6B12	-1.58680118090529	0.16459839286814
S13	5B7	7Cys	4.82897872922948	0.0129039311984091
S13	5B7	8Iso	1.96771382389484	0.111138792421572
S13	6B12	7Cys	4.34416475610686	0.0113657429876553
S13	6B12	8Iso	2.84215231324331	0.0398758761698585
S13	7Cys	8Iso	-4.76341477757409	0.0035682191706923
