DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#4DBBD5BF
DATASET_LABEL	Hos
LEGEND_COLORS	#4DBBD5BF
LEGEND_LABELS	Min. (-6.0), Max. (2.9)
LEGEND_SHAPES	1
LEGEND_TITLE	Hos
MARGIN	5
WIDTH	200
DATA
Bin1	-0.000531119422398965
Bin2	-0.000238273790284675
Bin3	-0.201838455108763
Bin4	-0.00184243367995734
Bin5	0.00161471207964016
Bin6	-0.00437436707459647
Bin7	-0.000466888819515347
Bin8	0.000353243548918639
Bin9	0.00124974312644689
Bin10	-0.0886539503807076
Bin11	0.12225888959693
Bin12	-0.000644848909604014
Bin13	0.0127480520791346
Bin14	-5.9745313122009
Bin15	6.72199184717582e-05
Bin16	0.000257235165951976
Bin17	-0.855447176535106
Bin18	0.000849359643968749
Bin19	0.000161665325205613
Bin20	-5.55475876458578
Bin21	-0.147403307354851
Bin22	-1.99030747380495e-05
Bin23	0
Bin24	-0.0200115255336791
Bin25	0.0199454326312864
Bin26	-9.62037303714346e-05
Bin27	2.94276842716083
Bin28	-0.0344017458233084
Bin29	-0.362075635526333
Bin30	0
Bin31	-0.24929109484719
Bin32	-0.0691150261320728
Bin33	0.00621276665884428
Bin34	0.000828892474802055
Bin35	-0.00982616271654638
Bin36	0
Bin37	3.7505290252477e-05
Bin38	-0.000743672149189583
Bin39	-0.0485699363329501
Bin40	0.0202936875622542
Bin41	1.9578007370732
Bin42	-2.17783858767491e-05
Bin43	0.0386550165385007
Bin44	-0.000227372086536028
Bin45	0.854401876320668
Bin46	-0.00854053075111525
Bin47	-0.0509394436225785
Bin48	-0.000143893212998671
Bin49	0.107354081766741
Bin50	-5.22371436581318
Bin51	0.451771610627166
Bin52	1.47433045080076
Bin53	-0.000710222516889118
Bin54	0.0121320031480429
Bin55	-0.000825314035929368
Bin56	-0.000216720573660086
Bin57	0.157230458650055
Bin58	-0.0199728530509466
Bin59	-0.0150080856396535
Bin60	0.000350733595154458
Bin61	0.00241908077026477
Bin62	0.0137390687474999
Bin63	0
Bin64	-0.662607278451905
Bin65	-0.000111746386371586
Bin66	-0.00109158783672503
Bin67	0.0100789662402293
Bin68	0.00675033358347644
Bin69	0.000533540399028791
Bin70	-0.0189687765067768
Bin71	0.000269169932279635
Bin72	0.000177128726300789
Bin73	-0.000730710601470987
Bin74	0.00608037431889562
Bin75	0.00152933020339596
Bin76	0.0233291461076229
Bin77	0.0457269126622747
Bin78	-0.000503660637631154
Bin79	0.00553300632227383
Bin80	0.000966824408475579
Bin81	-0.000113971208047626
Bin82	-0.000225672570515509
Bin83	0.000539687090995218
Bin84	-0.000678952335113246
Bin85	2.2103622042118
Bin86	-0.0772444123803645
Bin87	-0.307344710956458
Bin88	-0.106820959616722
Bin89	-0.296204053175825
Bin90	0.0467089536973628
Bin91	0.000316311296578582
Bin92	-5.01401635378062
Bin93	-0.832190211142729
Bin94	-0.567755729013886
Bin95	0.1060354169587
Bin96	0.69170325439976
Bin97	-0.0245178647555486
Bin98	0.00525767802233266
Bin99	-0.000266536511712226
Bin100	-0.000584671928080773
Bin101	0
Bin102	-0.00143058982442097
Bin103	-0.000327948970852396
Bin104	8.56151803915492e-05
Bin105	2.41965182646409
Bin106	-0.376935700122188
Bin107	0.0803616146276654
Bin108	-0.0826585590270347
Bin109	0.000851352068170156
Bin110	-0.000798022058551101
Bin111	-0.00101412575453513
Bin112	-0.0460295249924802
Bin113	-0.00551452593809453
Bin114	7.32756891511529e-05
Bin115	-0.00045865451605358
Bin116	0.0021728469371408
Bin117	0.00723977057180756
Bin118	0.000519204075089175
Bin119	-0.0130289685820764
Bin120	0.0134588991832712
Bin121	-0.000106988167596004
Bin122	-0.000364942721165204
Bin123	0.000606511619043816
Bin124	-0.000549707186436876
Bin125	-0.000307717959867946
Bin126	0.00141481009510699
Bin127	-0.0671392232024403
Bin128	-0.00211919428363532
Bin129	-0.755065592060016
Bin130	0.00441832022418022
Bin131	-0.000303101689058933
Bin132	0.0150181273964042
Bin133	0.0026514024629754
Bin134	-0.0163564924800443
