DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#3C5488BF
DATASET_LABEL	DL
LEGEND_COLORS	#3C5488BF
LEGEND_LABELS	Min. (-4.3), Max. (10.5)
LEGEND_SHAPES	1
LEGEND_TITLE	DL
MARGIN	5
WIDTH	200
DATA
Bin1	0.0111996915688384
Bin2	0.0145475286937076
Bin3	0.0951961918531112
Bin4	0.0422613450760218
Bin5	0.0274175656423339
Bin6	0.0173042196623467
Bin7	-0.0198952125851707
Bin8	-3.59269130568271
Bin9	0.0410458473036366
Bin10	-0.0210373764276331
Bin11	-0.0966880870294756
Bin12	0.00639350587332227
Bin13	-0.0960852511800316
Bin14	-2.04206922610295
Bin15	-0.00146488490989119
Bin16	0.00712830278296605
Bin17	-0.219363096524788
Bin18	0.0156575856735726
Bin19	0.00603015369133918
Bin20	0.0329387242148273
Bin21	-4.28132858975839
Bin22	-0.116844574930048
Bin23	0.0212597557074446
Bin24	0.0362713505693695
Bin25	0.00706599784556279
Bin26	-0.00142460288411757
Bin27	3.92581297930538
Bin28	-0.016567511174819
Bin29	0.415627168305645
Bin30	0.688552217972167
Bin31	0.79054116346188
Bin32	-2.06449789776763
Bin33	-0.741357645723126
Bin34	-0.433965520874859
Bin35	-0.491426590265634
Bin36	-1.57638177475966
Bin37	-0.316102386390248
Bin38	-0.00726502746554677
Bin39	0.0373737548641245
Bin40	-0.0355664152725299
Bin41	10.5406911203692
Bin42	-0.0155258882930587
Bin43	-0.122337780309191
Bin44	0.0142090261056718
Bin45	-0.286132032041934
Bin46	0.122399600807057
Bin47	0.00263673888582844
Bin48	0.025003252901856
Bin49	-0.0402355073615011
Bin50	2.74777977553215
Bin51	0.352810092391408
Bin52	0.320080399863001
Bin53	-0.00946143339936298
Bin54	0.0461518429309497
Bin55	0.0225679055893883
Bin56	-0.0578422480891672
Bin57	0
Bin58	0.00626682343845414
Bin59	-0.0323050105427159
Bin60	-0.01416803822171
Bin61	-0.119342317355897
Bin62	-0.0271327685787766
Bin63	0.102938800137525
Bin64	0.0126698378615676
Bin65	0.0199143142955355
Bin66	0.0473804374021423
Bin67	-0.0341501833425799
Bin68	0.00431376739551626
Bin69	-0.00327073192332844
Bin70	-0.0358617779703274
Bin71	0.00465947477799252
Bin72	0.000756546357352927
Bin73	-0.000946448743412774
Bin74	0.0159654435874929
Bin75	-0.00620509389003555
Bin76	-0.0516217278171693
Bin77	-0.00634482269894057
Bin78	-0.000587012354764162
Bin79	-0.00360664049374422
Bin80	-0.00953365347387734
Bin81	-0.00592229688258872
Bin82	0.0104870522546857
Bin83	0.00805341121893726
Bin84	0.0988065830243247
Bin85	9.21041128803141
Bin86	0.709300380714592
Bin87	1.56542432427613
Bin88	-0.0936796052395047
Bin89	-0.278745685459456
Bin90	-0.282467788512109
Bin91	-0.141834138123109
Bin92	0.139724404421099
Bin93	-3.43842986965132
Bin94	-2.38375412210954
Bin95	-0.174442544142304
Bin96	8.25549217481757
Bin97	-0.834820840024079
Bin98	0.503833697035133
Bin99	0.178371468240308
Bin100	0.0313743669816176
Bin101	-0.139169893626903
Bin102	-0.0995282669200488
Bin103	0.000798182261676353
Bin104	-0.24636241207837
Bin105	-0.259097906267491
Bin106	-0.149019880492761
Bin107	-0.0683741379295253
Bin108	0.0994401916640967
Bin109	-0.0323628006456681
Bin110	0.00734704386643483
Bin111	-0.0114501921615842
Bin112	-1.98880218603328
Bin113	0.00250593667827024
Bin114	0.00861838500126353
Bin115	0.00811194101347965
Bin116	0.0132203122071926
Bin117	0.0014668650625326
Bin118	-0.0126331812116471
Bin119	0.0178726097970151
Bin120	0.021866304637739
Bin121	-0.00703357916101272
Bin122	-0.0269163363820689
Bin123	-0.000389996619921013
Bin124	0.000920586458438242
Bin125	0.0121846389525845
Bin126	-0.0995566240065573
Bin127	0.00757338424120881
Bin128	0.0267306536496026
Bin129	-0.147971766157308
Bin130	0.0141932238665657
Bin131	0.0448176810556008
Bin132	0.0160385153229796
Bin133	0.0326390849442402
Bin134	-0.0683572502848936
