DATASET_SIMPLEBAR
SEPARATOR TAB
COLOR	#ADACA5
DATASET_LABEL	abundace
LEGEND_COLORS	#ADACA5
LEGEND_LABELS	Min. (0.0), Max. (14.7)
LEGEND_SHAPES	1
LEGEND_TITLE	abundace
MARGIN	5
WIDTH	200
DATA
Bin1	0.0149318443001337
Bin2	0.0198936579844936
Bin3	0.48337926585647
Bin4	0.0639922223037326
Bin5	0.0487500707450034
Bin6	0.0220182584518185
Bin7	0.0276539430634622
Bin8	2.01148596170246
Bin9	0.0622138325808557
Bin10	0.400357710804514
Bin11	0.181918936044349
Bin12	0.014615566271956
Bin13	0.106424859106009
Bin14	4.46082234871999
Bin15	0.00712070563959037
Bin16	0.0079135798111845
Bin17	0.897900146398608
Bin18	0.0764339387501412
Bin19	0.0219502760843869
Bin20	3.27757613230721
Bin21	2.51311784487102
Bin22	0.0983976947141202
Bin23	0.0956816694829923
Bin24	0.058116193464252
Bin25	0.0551605559707387
Bin26	0.0702792824536254
Bin27	7.02198488665153
Bin28	0.178755804461648
Bin29	0.670396017265645
Bin30	2.10628910231513
Bin31	2.05806091084294
Bin32	1.20337691677286
Bin33	0.491584754095849
Bin34	0.404899142816332
Bin35	0.377546531235612
Bin36	1.41264981250007
Bin37	0.296147541983046
Bin38	0.035079423995724
Bin39	0.125923738793408
Bin40	0.185138490776426
Bin41	14.6672111628638
Bin42	0.0279252077739346
Bin43	0.173910512688331
Bin44	0.0521050052693755
Bin45	0.953122247081711
Bin46	0.13699762268575
Bin47	0.0769619980046402
Bin48	0.0931881338107712
Bin49	0.251595432282509
Bin50	9.84295904676291
Bin51	0.683796046678352
Bin52	0.994270659265108
Bin53	0.0184987081586691
Bin54	0.0559528095604027
Bin55	0.27596089428194
Bin56	0.0955145911253735
Bin57	1.54739101197584
Bin58	0.045322794929407
Bin59	0.139895298008283
Bin60	0.0240222746061226
Bin61	0.319774724103365
Bin62	0.0713596692959082
Bin63	1.17910884168842
Bin64	0.432036865838645
Bin65	0.0267126200755949
Bin66	0.120733453237904
Bin67	0.0783790339816572
Bin68	0.0161402974107849
Bin69	0.0246782436857417
Bin70	0.0697317589235167
Bin71	0.0102683338735094
Bin72	0.0218596536138624
Bin73	0.0249459988171635
Bin74	0.034793342465362
Bin75	0.0826992137189522
Bin76	0.0882578345444263
Bin77	0.138090657848278
Bin78	0.0330310766861748
Bin79	0.0820686580754882
Bin80	0.026534730905076
Bin81	0.0704401155642365
Bin82	0.0253960352267808
Bin83	0.0489195212231148
Bin84	0.193113229910361
Bin85	6.05942777412723
Bin86	0.580977689746166
Bin87	0.931635951017818
Bin88	0.121351063925086
Bin89	1.6368239127132
Bin90	0.256172785409882
Bin91	0.182110066627062
Bin92	2.92810037358155
Bin93	2.60644011058138
Bin94	2.06396424866824
Bin95	0.690568622962517
Bin96	5.04537191914847
Bin97	0.485554329622637
Bin98	0.276794350232572
Bin99	0.200891430335857
Bin100	0.0285834736579379
Bin101	1.62422442314745
Bin102	1.14054505668709
Bin103	0.0487919655942144
Bin104	0.172859254338548
Bin105	3.81869044905874
Bin106	0.324328984890851
Bin107	0.103827607782864
Bin108	0.45571494020333
Bin109	0.202125421227303
Bin110	0.0321169129982279
Bin111	0.0170572976815336
Bin112	1.1986800130785
Bin113	0.025828429663562
Bin114	0.0163975757689343
Bin115	0.0320163943570209
Bin116	0.025366429996519
Bin117	0.0827782571385815
Bin118	0.0288682087988295
Bin119	0.0569820504084855
Bin120	0.0684497814703473
Bin121	0.0177913043508849
Bin122	0.0301669117913574
Bin123	0.0239352884726075
Bin124	0.01196040375407
Bin125	0.0492486824586839
Bin126	0.0595181239112398
Bin127	0.158121540737032
Bin128	0.0278511564950001
Bin129	0.560700923019048
Bin130	0.0555645550997979
Bin131	0.159075739308722
Bin132	0.0779425964033037
Bin133	0.061604706191284
Bin134	0.0944855704414932
